domain,transform,mean_acc,mean_auc
chirp,replay,1.0,1.0
chirp,stitch,1.0,1.0
chirp,reverse,1.0,1.0
chirp,swap,1.0,1.0
rw_trend,replay,0.9,0.9
rw_trend,stitch,0.65,0.5
rw_trend,reverse,0.6,0.7
rw_trend,swap,0.6,0.6
regime_switch,replay,1.0,1.0
regime_switch,stitch,1.0,1.0
regime_switch,reverse,0.65,0.7
regime_switch,swap,0.7,0.7
chaotic_logistic,replay,1.0,1.0
chaotic_logistic,stitch,1.0,1.0
chaotic_logistic,reverse,1.0,1.0
chaotic_logistic,swap,1.0,1.0
coupled_osc,replay,1.0,1.0
coupled_osc,stitch,1.0,1.0
coupled_osc,reverse,1.0,1.0
coupled_osc,swap,1.0,1.0
