topology,cycle,max_forward_loc,final_back_loc,recovery_delta,fractured,convergence_status,manifold_status
all-to-all,0,0.030,0.027,0.000,False,converging,separable
all-to-all,1,0.030,0.016,0.000,False,converging,separable
all-to-all,2,0.041,0.041,0.000,True,converged,merged
all-to-all,3,0.043,0.012,0.000,True,converged,merged
all-to-all,4,0.040,0.038,0.000,True,converged,merged
erdos-renyi,0,0.030,0.027,0.000,False,converging,separable
erdos-renyi,1,0.030,0.016,0.000,False,converging,separable
erdos-renyi,2,0.041,0.041,0.000,True,converged,merged
erdos-renyi,3,0.043,0.012,0.000,True,converged,merged
erdos-renyi,4,0.040,0.038,0.000,True,converged,merged
small-world,0,0.030,0.027,0.000,False,converging,separable
small-world,1,0.030,0.016,0.000,False,converging,separable
small-world,2,0.041,0.041,0.000,True,converged,merged
small-world,3,0.043,0.012,0.000,True,converged,merged
small-world,4,0.040,0.038,0.000,True,converged,merged
scale-free,0,0.030,0.027,0.000,False,converging,separable
scale-free,1,0.030,0.016,0.000,False,converging,separable
scale-free,2,0.041,0.041,0.000,True,converged,merged
scale-free,3,0.043,0.012,0.000,True,converged,merged
scale-free,4,0.040,0.038,0.000,True,converged,merged
modular,0,0.030,0.027,0.000,False,converging,separable
modular,1,0.030,0.016,0.000,False,converging,separable
modular,2,0.041,0.041,0.000,True,converged,merged
modular,3,0.043,0.012,0.000,True,converged,merged
modular,4,0.040,0.038,0.000,True,converged,merged
