k_value,transfer_gain,delta_transfer,regime,saturation_candidate,collapse_candidate,recursive_candidate,tier_status,limitations
0.000,-0.030,NA,amplification,no,no,no,TIER_1_CANDIDATE,multi_node_transfer_not_studied
0.050,-0.026,0.004,amplification,no,no,no,TIER_1_CANDIDATE,implementation_sensitive
0.100,-0.027,-0.001,amplification,no,no,no,TIER_1_CANDIDATE,high_variance
0.150,-0.025,0.002,amplification,no,no,no,TIER_1_CANDIDATE,finite_size_effect
0.200,-0.021,0.004,amplification,no,no,no,TIER_1_CANDIDATE,topology_dependent
0.250,-0.022,-0.001,amplification,no,no,no,TIER_1_CANDIDATE,sign_fluctuations
0.300,-0.019,0.003,amplification,no,no,no,TIER_1_CANDIDATE,variance_present
0.350,-0.016,0.003,amplification,no,no,no,TIER_1_CANDIDATE,saturation_not_yet
0.400,-0.011,0.005,amplification,no,no,no,TIER_1_CANDIDATE,approaching_regime_change
0.450,-0.008,0.003,amplification,no,no,no,TIER_1_CANDIDATE,transition_region
0.500,-0.006,0.002,amplification,no,no,no,TIER_1_CANDIDATE,regime_boundary
0.550,-0.005,0.001,amplification,no,no,no,TIER_1_CANDIDATE,onset_of_saturation
0.600,-0.003,0.002,amplification,no,no,no,TIER_1_CANDIDATE,variance_reducing
0.650,-0.002,0.001,amplification,yes,no,no,TIER_2_CANDIDATE,approaching_plateau
0.700,-0.001,0.001,saturation,yes,no,no,TIER_2_CANDIDATE,plateau_begins
0.750,0.000,0.001,saturation,yes,no,no,TIER_2_CANDIDATE,transition_to_positive
0.800,0.000,0.000,saturation,yes,no,no,TIER_2_CANDIDATE,very_low_variance
0.850,-0.001,-0.001,saturation,yes,no,no,TIER_2_CANDIDATE,low_variance
0.900,-0.004,-0.003,saturation,yes,no,no,TIER_2_CANDIDATE,increased_variance
0.950,-0.005,-0.001,saturation,yes,no,no,TIER_2_CANDIDATE,high_k_regime
1.000,-0.006,-0.001,saturation,yes,no,no,TIER_2_VERIFIED,stable_plateau
