Duration,Topology,ForwardMax,BackwardFinal,Delta,Classification
1x,all-to-all,0.0254,0.0209,0.0046,RECOVERABLE
1x,erdos-renyi,0.0320,0.0287,0.0033,RECOVERABLE
1x,small-world,0.0312,0.0215,0.0098,RECOVERABLE
1x,scale-free,0.0258,0.0163,0.0091,RECOVERABLE
1x,modular,0.0299,0.0248,0.0052,RECOVERABLE
2x,all-to-all,0.0254,0.0196,0.0059,RECOVERABLE
2x,erdos-renyi,0.0320,0.0222,0.0098,RECOVERABLE
2x,small-world,0.0312,0.0143,0.0170,FRAGILE
2x,scale-free,0.0258,0.0000,0.0254,DEGRADED
2x,modular,0.0299,0.0202,0.0098,RECOVERABLE
4x,all-to-all,0.0254,0.0078,0.0176,FRAGILE
4x,erdos-renyi,0.0320,0.0261,0.0059,RECOVERABLE
4x,small-world,0.0312,0.0026,0.0287,DEGRADED
4x,scale-free,0.0258,0.0215,0.0046,RECOVERABLE
4x,modular,0.0299,0.0169,0.0130,FRAGILE
8x,all-to-all,0.0254,0.0078,0.0176,FRAGILE
8x,erdos-renyi,0.0320,0.0294,0.0026,RECOVERABLE
8x,small-world,0.0312,0.0254,0.0059,RECOVERABLE
8x,scale-free,0.0258,0.0238,0.0020,RECOVERABLE
8x,modular,0.0299,0.0091,0.0209,DEGRADED
