chain_id,depth,final_sector,classification,recurrence_rate,escape_rate,rg_preserved,topology_stable
1,1,projection,FIXED,1.0000,0.0000,,
2,5,neutral,METASTABLE,0.8000,0.2500,,
3,5,projection,METASTABLE,0.8000,0.2500,,
4,5,projection,CYCLIC,0.6000,0.5000,,
5,5,neutral,METASTABLE,0.8000,0.2500,,
6,10,projection,METASTABLE,0.7000,0.1111,True,True
7,10,neutral,METASTABLE,0.8000,0.1111,,
8,10,projection,CYCLIC,0.6000,0.2222,,
9,10,neutral,METASTABLE,0.7000,0.1111,,
10,10,projection,FIXED,1.0000,0.0000,,
11,15,projection,METASTABLE,0.7333,0.0714,,
12,15,neutral,METASTABLE,0.6667,0.0714,,
13,15,projection,CYCLIC,0.5333,0.2143,,
14,15,neutral,METASTABLE,0.8000,0.0714,,
15,15,projection,CYCLIC,0.6000,0.1429,,
16,20,projection,METASTABLE,0.7000,0.0526,True,True
17,20,neutral,METASTABLE,0.7500,0.0526,,
18,20,projection,CYCLIC,0.6000,0.1579,,
19,20,neutral,METASTABLE,0.7000,0.0526,,
20,20,projection,CYCLIC,0.5500,0.2105,,
