depth,sector,transition_entropy,sector_persistence,accessible_fraction,constraint_retention,rg_stability
1,projection,0.6063,0.7054,0.2305,0.1625,
1,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
1,neutral,0.5950,0.2822,0.3855,0.1088,
3,projection,0.4498,0.8338,0.1929,0.1609,
3,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
3,neutral,0.4826,0.1875,0.2643,0.0496,
6,projection,0.5467,0.7638,0.1888,0.1442,True
6,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
6,neutral,0.5114,0.2081,0.2631,0.0547,
9,projection,0.5188,0.7863,0.1965,0.1545,
9,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
9,neutral,0.5548,0.2432,0.3805,0.0925,
12,projection,0.5607,0.7515,0.2304,0.1731,True
12,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
12,neutral,0.5640,0.2515,0.2879,0.0724,
15,projection,0.5440,0.7661,0.2282,0.1748,
15,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
15,neutral,0.5932,0.2803,0.3654,0.1024,
20,projection,0.6145,0.6957,0.2245,0.1561,True
20,antisymmetry,-0.0000,0.0000,0.0000,0.0000,
20,neutral,0.5586,0.2467,0.3726,0.0919,True
