depth,sector,mean_curvature,curvature_variance,trajectory_dispersion,sector_bending,flow_alignment,rg_stability
1,projection,1.3896,0.274302,0.0243,41.1141,-0.3896,
1,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
1,neutral,1.2441,0.329760,0.0238,42.0049,-0.4441,
3,projection,1.4780,0.286429,0.0248,40.3556,-0.4780,
3,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
3,neutral,1.2462,0.240930,0.0263,38.0289,-0.2462,
6,projection,1.3929,0.303554,0.0219,45.7038,-0.3929,True
6,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
6,neutral,1.3762,0.318057,0.0255,39.1598,-0.3762,
9,projection,1.4891,0.275013,0.0254,39.3276,-0.4891,
9,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
9,neutral,1.6926,0.123278,0.0229,43.7092,-0.6926,
12,projection,1.4163,0.271982,0.0223,44.7573,-0.4163,
12,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
12,neutral,1.3370,0.344355,0.0249,40.1121,-0.3370,
15,projection,1.5207,0.247568,0.0254,39.4209,-0.5207,
15,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
15,neutral,1.5578,0.162495,0.0204,49.0292,-0.5578,
20,projection,1.4774,0.259088,0.0254,39.3110,-0.4774,True
20,antisymmetry,0.0000,0.000000,0.0000,10000000000.0000,0.0000,
20,neutral,1.3831,0.269137,0.0305,32.7477,-0.3831,True
