depth,sector,transport_strength,directional_bias,path_dispersion,channel_persistence,escape_transport_ratio,rg_stability
1,projection,0.9975,0.0000,0.0000,0.0000,0.3392,
1,antisymmetry,0.4150,0.0000,0.0000,0.0000,0.0000,
1,neutral,0.7354,0.0000,0.0000,0.0000,0.1996,
3,projection,0.9325,0.0176,0.1295,0.0915,0.3040,
3,antisymmetry,0.1383,-0.4150,0.0000,0.0000,0.0000,
3,neutral,0.4256,-0.3554,0.0744,0.0244,0.0776,
6,projection,0.9325,0.0176,0.1874,0.0366,0.1365,True
6,antisymmetry,0.0000,-0.4150,0.0007,0.0000,0.0000,
6,neutral,0.3333,-0.3425,0.0838,0.0330,0.0572,
9,projection,0.9325,0.0176,0.1934,0.0229,0.0930,
9,antisymmetry,0.0461,-0.4150,0.0000,0.0000,0.0000,
9,neutral,0.3641,-0.3385,0.0805,0.0352,0.0480,
12,projection,0.9325,0.0176,0.1879,0.0166,0.0719,True
12,antisymmetry,0.0000,-0.4150,0.0004,0.0000,0.0000,
12,neutral,0.3333,-0.3366,0.0766,0.0361,0.0429,
15,projection,0.9325,0.0176,0.1800,0.0131,0.0587,
15,antisymmetry,0.0277,-0.4150,0.0000,0.0000,0.0000,
15,neutral,0.3518,-0.3356,0.0725,0.0367,0.0401,
20,projection,0.9325,0.0176,0.1669,0.0096,0.0450,True
20,antisymmetry,0.0000,-0.4150,0.0002,0.0000,0.0000,
20,neutral,0.3397,-0.3327,0.0670,0.0382,0.0378,
