depth,sector_pair,boundary_strength,transition_flux,interface_dispersion,sector_separability,boundary_retention,rg_stability
1,projection-neutral,0.0541,0.1504,0.1676,0.0000,0.0833,
1,projection-antisymmetry,0.1538,0.1962,0.2039,0.0000,0.1167,
1,neutral-antisymmetry,0.1222,0.1833,0.2098,0.0000,0.1667,
3,projection-neutral,0.1900,0.1187,0.1712,0.0000,0.0500,
3,projection-antisymmetry,0.3591,0.2192,0.1635,0.0000,0.1000,
3,neutral-antisymmetry,0.1680,0.1750,0.1892,0.0000,0.1500,
6,projection-neutral,0.2574,0.1905,0.1850,0.0000,0.0000,True
6,projection-antisymmetry,0.4569,0.3710,0.1647,0.0000,0.1000,True
6,neutral-antisymmetry,0.1923,0.1879,0.1811,0.0000,0.1000,True
9,projection-neutral,0.2860,0.2288,0.1913,0.0000,0.0000,
9,projection-antisymmetry,0.4983,0.6392,0.1682,0.0000,0.1000,
9,neutral-antisymmetry,0.2018,0.1862,0.1801,0.0000,0.1000,
12,projection-neutral,0.3020,0.2051,0.1938,0.0000,0.0000,True
12,projection-antisymmetry,0.5215,0.6598,0.1708,0.0000,0.1000,True
12,neutral-antisymmetry,0.2071,0.1854,0.1785,0.0000,0.1000,True
15,projection-neutral,0.3121,0.2701,0.1974,0.0000,0.0000,
15,projection-antisymmetry,0.5361,0.6761,0.1724,0.0000,0.1000,
15,neutral-antisymmetry,0.2103,0.1848,0.1784,0.0000,0.1000,
20,projection-neutral,0.3228,0.4604,0.1991,0.0000,0.0000,True
20,projection-antisymmetry,0.5516,0.6881,0.1742,0.0000,0.1000,True
20,neutral-antisymmetry,0.2137,0.1842,0.1770,0.0000,0.1000,True
