depth,sector,defect_density,defect_persistence,defect_dispersion,boundary_concentration,transport_strength,recursive_retention,compatibility_disruption,rg_stability
1,projection,0.2500,0.5000,0.2684,0.7500,0.6097,0.5000,0.0416,
1,antisymmetry,0.1317,0.5000,0.3017,0.7350,0.0118,0.5000,0.0410,
1,neutral,0.2383,0.5000,0.2586,0.6283,0.3226,0.5000,0.0415,
3,projection,0.2500,0.5000,0.2726,0.7500,0.2593,0.5000,0.0426,
3,antisymmetry,0.1150,0.5000,0.2537,0.7350,0.0039,0.5000,0.0424,
3,neutral,0.2479,0.5000,0.2638,0.7471,0.0954,0.5000,0.0422,
6,projection,0.2300,0.5000,0.2256,0.7414,0.1297,0.5000,0.0431,True
6,antisymmetry,0.1129,0.5000,0.2607,0.7300,0.0000,0.5000,0.0432,
6,neutral,0.2495,0.5000,0.2802,0.7498,0.0464,0.5000,0.0426,
9,projection,0.2405,0.5000,0.2010,0.7395,0.0864,0.5000,0.0433,
9,antisymmetry,0.1317,0.5000,0.3017,0.7350,0.0013,0.5000,0.0435,
9,neutral,0.2478,0.5000,0.2772,0.7492,0.0318,0.5000,0.0428,
12,projection,0.2500,0.5000,0.2051,0.7500,0.0648,0.5000,0.0435,True
12,antisymmetry,0.1138,0.5000,0.2574,0.7323,0.0000,0.5000,0.0436,
12,neutral,0.2467,0.5000,0.2771,0.7497,0.0232,0.5000,0.0429,
15,projection,0.2486,0.5000,0.1889,0.7498,0.0519,0.5000,0.0435,
15,antisymmetry,0.1317,0.5000,0.3017,0.7350,0.0008,0.5000,0.0437,
15,neutral,0.2482,0.5000,0.2796,0.7495,0.0191,0.5000,0.0429,
20,projection,0.2483,0.5000,0.1729,0.7486,0.0389,0.5000,0.0436,True
20,antisymmetry,0.1143,0.5000,0.2560,0.7333,0.0000,0.5000,0.0439,
20,neutral,0.2494,0.5000,0.2824,0.7482,0.0168,0.5000,0.0430,
