depth,sector,coherence_strength,transfer_retention,degradation_rate,boundary_transfer,recursive_stability,sector_coupling,dispersion,rg_stability
1,projection,0.0000,0.9388,0.0000,0.0000,1.0000,11.5213,0.3158,
1,antisymmetry,0.0000,0.6000,0.0000,0.0000,1.0000,11.6848,0.2562,
1,neutral,0.0000,0.7000,0.0000,0.0000,1.0000,11.5408,0.2783,
3,projection,0.0238,0.4700,0.0000,0.0000,0.8749,11.2270,0.3419,
3,antisymmetry,-0.4200,0.6000,0.2100,-0.0000,0.7564,11.2896,0.2562,
3,neutral,-0.3635,0.5000,0.1817,-0.0000,0.7736,11.3521,0.2878,
6,projection,0.0238,0.2144,0.0000,0.0000,0.8749,11.0946,0.3415,True
6,antisymmetry,-0.4200,0.6000,0.0840,-0.0000,0.7564,11.0858,0.2562,
6,neutral,-0.3459,0.4500,0.0692,0.5000,0.7994,11.2390,0.2871,
9,projection,0.0238,0.1394,0.0000,0.0000,0.8749,11.0373,0.3400,
9,antisymmetry,-0.4200,0.6000,0.0525,-0.0000,0.7564,11.0018,0.2562,
9,neutral,-0.3416,0.4334,0.0427,0.5000,0.8024,11.1876,0.2864,
12,projection,0.0238,0.1034,0.0000,0.0000,0.8749,11.0074,0.3388,True
12,antisymmetry,-0.4200,0.6000,0.0382,-0.0000,0.7564,10.9573,0.2562,
12,neutral,-0.3396,0.4250,0.0309,0.5000,0.8033,11.1620,0.2860,
15,projection,0.0238,0.0821,0.0000,0.0000,0.8749,10.9871,0.3379,
15,antisymmetry,-0.4200,0.6000,0.0300,-0.0000,0.7564,10.9289,0.2562,
15,neutral,-0.3384,0.4200,0.0242,0.5000,0.8037,11.1438,0.2856,
20,projection,0.0238,0.0612,0.0000,0.0000,0.8749,10.9672,0.3368,True
20,antisymmetry,-0.4200,0.6000,0.0221,-0.0000,0.7564,10.9003,0.2562,
20,neutral,-0.3353,0.4150,0.0176,0.5000,0.8042,11.1269,0.2853,
