depth,sector,invariance_strength,symmetry_deviation,constraint_stability,pathway_invariance,sector_bias,recursive_retention,bounded_variation,rg_stability
1,projection,0.9211,0.8212,0.5894,0.3913,0.2487,0.3913,0.9415,
1,antisymmetry,0.9976,0.7841,0.6079,0.9895,0.2912,0.9895,0.9972,
1,neutral,0.9608,0.8124,0.5938,0.5226,0.2686,0.5226,0.9542,
3,projection,0.9053,0.7831,0.6084,0.4737,0.2398,0.4737,0.8957,
3,antisymmetry,0.9976,0.7841,0.6079,0.9895,0.2907,0.9895,0.9972,
3,neutral,0.9655,0.8193,0.5904,0.4074,0.2710,0.4074,0.9633,
6,projection,0.8842,0.7369,0.6316,0.5045,0.2275,0.5045,0.8915,True
6,antisymmetry,0.9976,0.7835,0.6083,0.9895,0.2890,0.9895,0.9973,
6,neutral,0.9716,0.8187,0.5906,0.3981,0.2732,0.3981,0.9682,
9,projection,0.8863,0.7142,0.6429,0.5197,0.2281,0.5197,0.8979,
9,antisymmetry,0.9976,0.7841,0.6079,0.9895,0.2881,0.9895,0.9972,
9,neutral,0.9747,0.8186,0.5907,0.3981,0.2744,0.3981,0.9708,
12,projection,0.8917,0.7012,0.6494,0.5285,0.2306,0.5285,0.9049,True
12,antisymmetry,0.9976,0.7838,0.6081,0.9895,0.2875,0.9895,0.9973,
12,neutral,0.9766,0.8180,0.5910,0.3980,0.2750,0.3980,0.9726,
15,projection,0.8972,0.6928,0.6536,0.5343,0.2333,0.5343,0.9110,
15,antisymmetry,0.9976,0.7841,0.6079,0.9895,0.2871,0.9895,0.9972,
15,neutral,0.9780,0.8180,0.5910,0.3980,0.2756,0.3980,0.9739,
20,projection,0.9053,0.6839,0.6580,0.5406,0.2372,0.5406,0.9195,True
20,antisymmetry,0.9976,0.7839,0.6080,0.9895,0.2867,0.9895,0.9972,
20,neutral,0.9796,0.8177,0.5911,0.3980,0.2762,0.3980,0.9755,
