depth,sector_pair,composite_strength,composite_variability,retention_strength,metastability,sector_bias,recursive_consistency,boundedness,rg_stability
1,projection-neutral,0.0794,0.2242,0.7493,0.6653,0.8237,0.7493,0.7758,
1,projection-antisymmetry,0.2278,0.2490,0.4957,0.4340,0.3982,0.4957,0.7510,
1,neutral-antisymmetry,0.1807,0.2439,0.5504,0.4833,0.1642,0.5504,0.7561,
3,projection-neutral,0.2792,0.2264,0.8390,0.7440,0.5634,0.8390,0.7736,
3,projection-antisymmetry,0.5337,0.2530,0.5100,0.4455,0.1591,0.5100,0.7470,
3,neutral-antisymmetry,0.2481,0.2407,0.5429,0.4776,0.5419,0.5429,0.7593,
6,projection-neutral,0.3809,0.2396,0.9959,0.8766,0.4484,0.9959,0.7604,True
6,projection-antisymmetry,0.6842,0.2648,0.5000,0.4338,0.1042,0.5000,0.7352,True
6,neutral-antisymmetry,0.2838,0.2391,0.5000,0.4402,0.1758,0.5000,0.7609,True
9,projection-neutral,0.4246,0.2449,0.8390,0.7362,0.4039,0.8390,0.7551,
9,projection-antisymmetry,0.7488,0.2692,0.5100,0.4414,0.0865,0.5100,0.7308,
9,neutral-antisymmetry,0.2978,0.2388,0.5429,0.4781,0.0823,0.5429,0.7612,
12,projection-neutral,0.4491,0.2473,0.9959,0.8728,0.3801,0.9959,0.7527,True
12,projection-antisymmetry,0.7851,0.2712,0.5000,0.4322,0.0776,0.5000,0.7288,True
12,neutral-antisymmetry,0.3057,0.2386,0.5000,0.4404,0.0393,0.5000,0.7614,True
15,projection-neutral,0.4647,0.2486,0.8390,0.7347,0.3655,0.8390,0.7514,
15,projection-antisymmetry,0.8080,0.2722,0.5100,0.4406,0.0724,0.5100,0.7278,
15,neutral-antisymmetry,0.3104,0.2385,0.5429,0.4782,0.0142,0.5429,0.7615,
20,projection-neutral,0.4811,0.2499,0.9954,0.8711,0.3503,0.9954,0.7501,True
20,projection-antisymmetry,0.8323,0.2731,0.5000,0.4317,0.0666,0.5000,0.7269,True
20,neutral-antisymmetry,0.3153,0.2385,0.5000,0.4404,0.0103,0.5000,0.7615,True
