depth,initialization_class,sector,universality_strength,convergence_rate,perturbation_stability,sector_dependence,recursive_retention,bounded_variation,rg_stability
1,0,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,0,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,0,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
1,1,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,1,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,1,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
1,2,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,2,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,2,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
1,3,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,3,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,3,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
1,4,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,4,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,4,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
1,5,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,5,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,5,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
1,6,projection,1.000000,0.785369,0.930685,0.000000,0.986137,0.900000,0.950000
1,6,antisymmetry,1.000000,0.785369,0.930685,0.050000,0.986137,0.900000,0.950000
1,6,neutral,1.000000,0.785369,0.930685,0.120000,0.986137,0.900000,0.950000
3,0,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,0,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,0,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
3,1,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,1,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,1,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
3,2,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,2,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,2,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
3,3,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,3,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,3,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
3,4,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,4,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,4,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
3,5,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,5,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,5,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
3,6,projection,1.000000,0.758212,0.861371,0.000000,0.972274,0.900000,0.950000
3,6,antisymmetry,1.000000,0.758212,0.861371,0.050000,0.972274,0.900000,0.950000
3,6,neutral,1.000000,0.758212,0.861371,0.120000,0.972274,0.900000,0.950000
6,0,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,0,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,0,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
6,1,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,1,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,1,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
6,2,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,2,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,2,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
6,3,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,3,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,3,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
6,4,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,4,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,4,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
6,5,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,5,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,5,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
6,6,projection,1.000000,0.722245,0.805409,0.000000,0.961082,0.900000,0.950000
6,6,antisymmetry,1.000000,0.722245,0.805409,0.050000,0.961082,0.900000,0.950000
6,6,neutral,1.000000,0.722245,0.805409,0.120000,0.961082,0.900000,0.950000
9,0,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,0,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,0,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
9,1,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,1,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,1,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
9,2,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,2,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,2,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
9,3,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,3,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,3,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
9,4,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,4,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,4,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
9,5,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,5,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,5,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
9,6,projection,1.000000,0.691288,0.769741,0.000000,0.953948,0.900000,0.950000
9,6,antisymmetry,1.000000,0.691288,0.769741,0.050000,0.953948,0.900000,0.950000
9,6,neutral,1.000000,0.691288,0.769741,0.120000,0.953948,0.900000,0.950000
12,0,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,0,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,0,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
12,1,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,1,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,1,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
12,2,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,2,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,2,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
12,3,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,3,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,3,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
12,4,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,4,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,4,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
12,5,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,5,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,5,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
12,6,projection,1.000000,0.664643,0.743505,0.000000,0.948701,0.900000,0.950000
12,6,antisymmetry,1.000000,0.664643,0.743505,0.050000,0.948701,0.900000,0.950000
12,6,neutral,1.000000,0.664643,0.743505,0.120000,0.948701,0.900000,0.950000
15,0,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,0,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,0,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
15,1,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,1,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,1,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
15,2,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,2,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,2,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
15,3,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,3,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,3,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
15,4,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,4,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,4,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
15,5,projection,1.000000,0.641710,0.722741,0.000000,0.944548,0.900000,0.950000
15,5,antisymmetry,1.000000,0.641710,0.722741,0.050000,0.944548,0.900000,0.950000
15,5,neutral,1.000000,0.641710,0.722741,0.120000,0.944548,0.900000,0.950000
