depth,rg_iteration,sector,closure_strength,hierarchy_preservation,universality_retention,structural_drift,collapse_indicator,recursive_stability
1,1,projection,0.965343,0.979206,0.986137,0.134657,0.000000,0.986137
1,1,antisymmetry,0.946036,0.959621,0.986137,0.134657,0.000000,0.966414
1,1,neutral,0.888115,0.900869,0.986137,0.134657,0.000000,0.907246
1,2,projection,0.930685,0.958411,0.972274,0.169315,0.000000,0.972274
1,2,antisymmetry,0.912072,0.939243,0.972274,0.169315,0.000000,0.952829
1,2,neutral,0.856230,0.881738,0.972274,0.169315,0.000000,0.894492
1,3,projection,0.896028,0.937617,0.958411,0.203972,0.050000,0.958411
1,3,antisymmetry,0.878107,0.918864,0.958411,0.203972,0.050000,0.939243
1,3,neutral,0.824346,0.862607,0.958411,0.203972,0.050000,0.881738
1,4,projection,0.861371,0.916822,0.944548,0.238629,0.100000,0.944548
1,4,antisymmetry,0.844143,0.898486,0.944548,0.238629,0.100000,0.925657
1,4,neutral,0.792461,0.843477,0.944548,0.238629,0.100000,0.868984
1,5,projection,0.826713,0.896028,0.930685,0.273287,0.150000,0.930685
1,5,antisymmetry,0.810179,0.878107,0.930685,0.273287,0.150000,0.912072
1,5,neutral,0.760576,0.824346,0.930685,0.273287,0.150000,0.856230
3,1,projection,0.930685,0.958411,0.972274,0.169315,0.000000,0.972274
3,1,antisymmetry,0.912072,0.939243,0.972274,0.169315,0.000000,0.952829
3,1,neutral,0.856230,0.881738,0.972274,0.169315,0.000000,0.894492
3,2,projection,0.861371,0.916822,0.944548,0.238629,0.000000,0.944548
3,2,antisymmetry,0.844143,0.898486,0.944548,0.238629,0.000000,0.925657
3,2,neutral,0.792461,0.843477,0.944548,0.238629,0.000000,0.868984
3,3,projection,0.792056,0.875234,0.916822,0.307944,0.050000,0.916822
3,3,antisymmetry,0.776215,0.857729,0.916822,0.307944,0.050000,0.898486
3,3,neutral,0.728691,0.805215,0.916822,0.307944,0.050000,0.843477
3,4,projection,0.722741,0.833645,0.889096,0.377259,0.100000,0.889096
3,4,antisymmetry,0.708286,0.816972,0.889096,0.377259,0.100000,0.871315
3,4,neutral,0.664922,0.766953,0.889096,0.377259,0.100000,0.817969
3,5,projection,0.653426,0.792056,0.861371,0.446574,0.150000,0.861371
3,5,antisymmetry,0.640358,0.776215,0.861371,0.446574,0.150000,0.844143
3,5,neutral,0.601152,0.728691,0.861371,0.446574,0.150000,0.792461
6,1,projection,0.902704,0.941623,0.961082,0.197296,0.000000,0.961082
6,1,antisymmetry,0.884650,0.922790,0.961082,0.197296,0.000000,0.941860
6,1,neutral,0.830488,0.866293,0.961082,0.197296,0.000000,0.884195
6,2,projection,0.805409,0.883245,0.922164,0.294591,0.000000,0.922164
6,2,antisymmetry,0.789301,0.865580,0.922164,0.294591,0.000000,0.903720
6,2,neutral,0.740976,0.812586,0.922164,0.294591,0.000000,0.848391
6,3,projection,0.708113,0.824868,0.883245,0.391887,0.050000,0.883245
6,3,antisymmetry,0.693951,0.808371,0.883245,0.391887,0.050000,0.865580
6,3,neutral,0.651464,0.758879,0.883245,0.391887,0.050000,0.812586
6,4,projection,0.610818,0.766491,0.844327,0.489182,0.100000,0.844327
6,4,antisymmetry,0.598602,0.751161,0.844327,0.489182,0.100000,0.827441
6,4,neutral,0.561953,0.705172,0.844327,0.489182,0.100000,0.776781
6,5,projection,0.513522,0.708113,0.805409,0.586478,0.150000,0.805409
6,5,antisymmetry,0.503252,0.693951,0.805409,0.586478,0.150000,0.789301
6,5,neutral,0.472441,0.651464,0.805409,0.586478,0.150000,0.740976
9,1,projection,0.884871,0.930922,0.953948,0.215129,0.000000,0.953948
9,1,antisymmetry,0.867173,0.912304,0.953948,0.215129,0.000000,0.934869
9,1,neutral,0.814081,0.856449,0.953948,0.215129,0.000000,0.877632
9,2,projection,0.769741,0.861845,0.907897,0.330259,0.000000,0.907897
9,2,antisymmetry,0.754347,0.844608,0.907897,0.330259,0.000000,0.889739
9,2,neutral,0.708162,0.792897,0.907897,0.330259,0.000000,0.835265
9,3,projection,0.654612,0.792767,0.861845,0.445388,0.050000,0.861845
9,3,antisymmetry,0.641520,0.776912,0.861845,0.445388,0.050000,0.844608
9,3,neutral,0.602243,0.729346,0.861845,0.445388,0.050000,0.792897
9,4,projection,0.539483,0.723690,0.815793,0.560517,0.100000,0.815793
9,4,antisymmetry,0.528693,0.709216,0.815793,0.560517,0.100000,0.799477
9,4,neutral,0.496324,0.665795,0.815793,0.560517,0.100000,0.750530
9,5,projection,0.500000,0.654612,0.769741,0.675646,0.150000,0.769741
9,5,antisymmetry,0.490000,0.641520,0.769741,0.675646,0.150000,0.754347
9,5,neutral,0.460000,0.602243,0.769741,0.675646,0.150000,0.708162
12,1,projection,0.871753,0.923052,0.948701,0.228247,0.000000,0.948701
12,1,antisymmetry,0.854317,0.904590,0.948701,0.228247,0.000000,0.929727
12,1,neutral,0.802012,0.849207,0.948701,0.228247,0.000000,0.872805
12,2,projection,0.743505,0.846103,0.897402,0.356495,0.000000,0.897402
12,2,antisymmetry,0.728635,0.829181,0.897402,0.356495,0.000000,0.879454
12,2,neutral,0.684025,0.778415,0.897402,0.356495,0.000000,0.825610
12,3,projection,0.615258,0.769155,0.846103,0.484742,0.050000,0.846103
12,3,antisymmetry,0.602952,0.753771,0.846103,0.484742,0.050000,0.829181
12,3,neutral,0.566037,0.707622,0.846103,0.484742,0.050000,0.778415
12,4,projection,0.500000,0.692206,0.794804,0.612990,0.100000,0.794804
12,4,antisymmetry,0.490000,0.678362,0.794804,0.612990,0.100000,0.778908
12,4,neutral,0.460000,0.636830,0.794804,0.612990,0.100000,0.731220
12,5,projection,0.500000,0.615258,0.743505,0.741237,0.150000,0.743505
12,5,antisymmetry,0.490000,0.602952,0.743505,0.741237,0.150000,0.728635
12,5,neutral,0.460000,0.566037,0.743505,0.741237,0.150000,0.684025
15,1,projection,0.861371,0.916822,0.944548,0.238629,0.000000,0.944548
15,1,antisymmetry,0.844143,0.898486,0.944548,0.238629,0.000000,0.925657
15,1,neutral,0.792461,0.843477,0.944548,0.238629,0.000000,0.868984
15,2,projection,0.722741,0.833645,0.889096,0.377259,0.000000,0.889096
15,2,antisymmetry,0.708286,0.816972,0.889096,0.377259,0.000000,0.871315
15,2,neutral,0.664922,0.766953,0.889096,0.377259,0.000000,0.817969
15,3,projection,0.584112,0.750467,0.833645,0.515888,0.050000,0.833645
15,3,antisymmetry,0.572429,0.735458,0.833645,0.515888,0.050000,0.816972
15,3,neutral,0.537383,0.690430,0.833645,0.515888,0.050000,0.766953
15,4,projection,0.500000,0.667289,0.778193,0.654518,0.100000,0.778193
15,4,antisymmetry,0.490000,0.653944,0.778193,0.654518,0.100000,0.762629
15,4,neutral,0.460000,0.613906,0.778193,0.654518,0.100000,0.715937
15,5,projection,0.500000,0.584112,0.722741,0.793147,0.150000,0.722741
15,5,antisymmetry,0.490000,0.572429,0.722741,0.793147,0.150000,0.708286
15,5,neutral,0.460000,0.537383,0.722741,0.793147,0.150000,0.664922
20,1,projection,0.847774,0.908664,0.939110,0.252226,0.000000,0.939110
20,1,antisymmetry,0.830818,0.890491,0.939110,0.252226,0.000000,0.920327
20,1,neutral,0.779952,0.835971,0.939110,0.252226,0.000000,0.863981
20,2,projection,0.695548,0.817329,0.878219,0.404452,0.000000,0.878219
20,2,antisymmetry,0.681637,0.800982,0.878219,0.404452,0.000000,0.860655
20,2,neutral,0.639904,0.751942,0.878219,0.404452,0.000000,0.807962
20,3,projection,0.543322,0.725993,0.817329,0.556678,0.050000,0.817329
20,3,antisymmetry,0.532455,0.711473,0.817329,0.556678,0.050000,0.800982
20,3,neutral,0.499856,0.667914,0.817329,0.556678,0.050000,0.751942
20,4,projection,0.500000,0.634657,0.756438,0.708904,0.100000,0.756438
20,4,antisymmetry,0.490000,0.621964,0.756438,0.708904,0.100000,0.741309
