depth,sector,domain_strength,internal_stability,interaction_strength,boundedness,recursive_retention,dispersion,rg_stability,metastability
1,projection,1.000000,0.986137,0.347943,0.986137,0.989603,0.120794,0.950000,0.000000
1,antisymmetry,0.980000,0.966414,0.347943,0.986137,0.969811,0.120794,0.950000,0.000000
1,neutral,0.880000,0.867801,0.347943,0.986137,0.870850,0.120794,0.950000,0.000000
3,projection,1.000000,0.972274,0.399749,0.972274,0.979206,0.141589,0.950000,0.000000
3,antisymmetry,0.980000,0.952829,0.399749,0.972274,0.959621,0.141589,0.950000,0.000000
3,neutral,0.880000,0.855601,0.399749,0.972274,0.861701,0.141589,0.950000,0.000000
6,projection,1.000000,0.961082,0.314112,0.961082,0.970811,0.158377,0.950000,0.000000
6,antisymmetry,0.980000,0.941860,0.314112,0.961082,0.951395,0.158377,0.950000,0.000000
6,neutral,0.880000,0.845752,0.314112,0.961082,0.854314,0.158377,0.950000,0.000000
9,projection,1.000000,0.953948,0.202247,0.953948,0.965461,0.169078,0.950000,0.000000
9,antisymmetry,0.980000,0.934869,0.202247,0.953948,0.946152,0.169078,0.950000,0.000000
9,neutral,0.880000,0.839475,0.202247,0.953948,0.849606,0.169078,0.950000,0.000000
12,projection,1.000000,0.948701,0.272058,0.948701,0.961526,0.176948,0.950000,0.000000
12,antisymmetry,0.980000,0.929727,0.272058,0.948701,0.942295,0.176948,0.950000,0.000000
12,neutral,0.880000,0.834857,0.272058,0.948701,0.846143,0.176948,0.950000,0.000000
15,projection,1.000000,0.944548,0.393800,0.944548,0.958411,0.183178,0.950000,0.000000
15,antisymmetry,0.980000,0.925657,0.393800,0.944548,0.939243,0.183178,0.950000,0.000000
15,neutral,0.880000,0.831202,0.393800,0.944548,0.843402,0.183178,0.950000,0.000000
20,projection,1.000000,0.939110,0.245598,0.939110,0.954332,0.191336,0.950000,0.000000
20,antisymmetry,0.980000,0.920327,0.245598,0.939110,0.935246,0.191336,0.950000,0.000000
20,neutral,0.880000,0.826416,0.245598,0.939110,0.839812,0.191336,0.950000,0.000000
