depth,sector_pair,interface_strength,interaction_stability,cross_domain_coupling,boundedness,recursive_retention,dispersion,rg_stability,metastability
1,projection-antisymmetry,0.990000,0.986137,0.993069,0.989603,0.993069,0.170794,0.930000,0.000000
1,projection-neutral,0.940000,0.986137,0.993069,0.989603,0.993069,0.170794,0.930000,0.000000
1,antisymmetry-neutral,0.930000,0.986137,0.993069,0.989603,0.993069,0.170794,0.930000,0.000000
3,projection-antisymmetry,0.989788,0.972274,0.985926,0.979206,0.986137,0.191589,0.930000,0.000000
3,projection-neutral,0.939799,0.972274,0.985926,0.979206,0.986137,0.191589,0.930000,0.000000
3,antisymmetry-neutral,0.929801,0.972274,0.985926,0.979206,0.986137,0.191589,0.930000,0.000000
6,projection-antisymmetry,0.989590,0.961082,0.980135,0.970811,0.980541,0.208377,0.930000,0.000000
6,projection-neutral,0.939611,0.961082,0.980135,0.970811,0.980541,0.208377,0.930000,0.000000
6,antisymmetry-neutral,0.929615,0.961082,0.980135,0.970811,0.980541,0.208377,0.930000,0.000000
9,projection-antisymmetry,0.989312,0.953948,0.976295,0.965461,0.976974,0.219078,0.930000,0.000000
9,projection-neutral,0.939347,0.953948,0.976295,0.965461,0.976974,0.219078,0.930000,0.000000
9,antisymmetry-neutral,0.929354,0.953948,0.976295,0.965461,0.976974,0.219078,0.930000,0.000000
12,projection-antisymmetry,0.988993,0.948701,0.973359,0.961526,0.974351,0.226948,0.930000,0.000000
12,projection-neutral,0.939044,0.948701,0.973359,0.961526,0.974351,0.226948,0.930000,0.000000
12,antisymmetry-neutral,0.929054,0.948701,0.973359,0.961526,0.974351,0.226948,0.930000,0.000000
15,projection-antisymmetry,0.988576,0.944548,0.970875,0.958411,0.972274,0.233178,0.930000,0.000000
15,projection-neutral,0.938648,0.944548,0.970875,0.958411,0.972274,0.233178,0.930000,0.000000
15,antisymmetry-neutral,0.928662,0.944548,0.970875,0.958411,0.972274,0.233178,0.930000,0.000000
20,projection-antisymmetry,0.988097,0.939110,0.967691,0.954332,0.969555,0.241336,0.930000,0.000000
20,projection-neutral,0.938193,0.939110,0.967691,0.954332,0.969555,0.241336,0.930000,0.000000
20,antisymmetry-neutral,0.928212,0.939110,0.967691,0.954332,0.969555,0.241336,0.930000,0.000000
