depth,sector,propagation_strength,pathway_stability,retention_strength,boundedness,recursive_retention,dispersion,rg_stability,metastability
1,projection,1.000000,0.987523,0.989603,0.991682,0.993069,0.113863,0.910000,0.000000
1,antisymmetry,0.970000,0.957898,0.959915,0.991682,0.963276,0.113863,0.910000,0.000000
1,neutral,0.850000,0.839395,0.841162,0.991682,0.844108,0.113863,0.910000,0.000000
3,projection,1.000000,0.975047,0.979206,0.983364,0.986137,0.127726,0.910000,0.000000
3,antisymmetry,0.970000,0.945795,0.949829,0.983364,0.956553,0.127726,0.910000,0.000000
3,neutral,0.850000,0.828790,0.832325,0.983364,0.838216,0.127726,0.910000,0.000000
6,projection,1.000000,0.964974,0.970811,0.976649,0.980541,0.138918,0.910000,0.000000
6,antisymmetry,0.970000,0.936024,0.941687,0.976649,0.951125,0.138918,0.910000,0.000000
6,neutral,0.850000,0.820228,0.825190,0.976649,0.833460,0.138918,0.910000,0.000000
9,projection,1.000000,0.958553,0.965461,0.972369,0.976974,0.146052,0.910000,0.000000
9,antisymmetry,0.970000,0.929797,0.936497,0.972369,0.947665,0.146052,0.910000,0.000000
9,neutral,0.850000,0.814770,0.820642,0.972369,0.830428,0.146052,0.910000,0.000000
12,projection,1.000000,0.953831,0.961526,0.969221,0.974351,0.151299,0.910000,0.000000
12,antisymmetry,0.970000,0.925216,0.932680,0.969221,0.945120,0.151299,0.910000,0.000000
12,neutral,0.850000,0.810756,0.817297,0.969221,0.828198,0.151299,0.910000,0.000000
15,projection,1.000000,0.950093,0.958411,0.966729,0.972274,0.155452,0.910000,0.000000
15,antisymmetry,0.970000,0.921591,0.929659,0.966729,0.943106,0.155452,0.910000,0.000000
15,neutral,0.850000,0.807579,0.814649,0.966729,0.826433,0.155452,0.910000,0.000000
20,projection,1.000000,0.945199,0.954332,0.963466,0.969555,0.160890,0.910000,0.000000
20,antisymmetry,0.970000,0.916843,0.925702,0.963466,0.940468,0.160890,0.910000,0.000000
20,neutral,0.850000,0.803419,0.811182,0.963466,0.824122,0.160890,0.910000,0.000000
