phase,sector,class_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
280,projection,1.000000,0.980000,0.980000,0.990000,0.950000,0.150000,0.980000,0.000000
280,antisymmetry,0.960000,0.940800,0.980000,0.950400,0.950000,0.150000,0.980000,0.000000
280,neutral,0.840000,0.823200,0.980000,0.831600,0.950000,0.150000,0.980000,0.000000
281,projection,1.000000,0.978807,0.979363,0.989204,0.948213,0.150000,0.979165,0.000000
281,antisymmetry,0.960000,0.939655,0.979363,0.949636,0.948213,0.150000,0.979165,0.000000
281,neutral,0.840000,0.822198,0.979363,0.830931,0.948213,0.150000,0.979165,0.000000
282,projection,1.000000,0.977629,0.978730,0.988416,0.946453,0.150000,0.978340,0.000000
282,antisymmetry,0.960000,0.938523,0.978730,0.948879,0.946453,0.150000,0.978340,0.000000
282,neutral,0.840000,0.821208,0.978730,0.830269,0.946453,0.150000,0.978340,0.000000
283,projection,1.000000,0.976464,0.978103,0.987636,0.944720,0.150000,0.977525,0.000000
283,antisymmetry,0.960000,0.937405,0.978103,0.948130,0.944720,0.150000,0.977525,0.000000
283,neutral,0.840000,0.820230,0.978103,0.829614,0.944720,0.150000,0.977525,0.000000
284,projection,1.000000,0.975313,0.977481,0.986863,0.943012,0.150000,0.976719,0.000000
284,antisymmetry,0.960000,0.936301,0.977481,0.947389,0.943012,0.150000,0.976719,0.000000
284,neutral,0.840000,0.819263,0.977481,0.828965,0.943012,0.150000,0.976719,0.000000
285,projection,1.000000,0.974176,0.976863,0.986098,0.941329,0.150000,0.975924,0.000000
285,antisymmetry,0.960000,0.935209,0.976863,0.946654,0.941329,0.150000,0.975924,0.000000
285,neutral,0.840000,0.818308,0.976863,0.828323,0.941329,0.150000,0.975924,0.000000
286,projection,1.000000,0.973053,0.976251,0.985341,0.939672,0.150000,0.975137,0.000000
286,antisymmetry,0.960000,0.934131,0.976251,0.945928,0.939672,0.150000,0.975137,0.000000
286,neutral,0.840000,0.817365,0.976251,0.827687,0.939672,0.150000,0.975137,0.000000
287,projection,1.000000,0.971943,0.975643,0.984592,0.938039,0.150000,0.974360,0.000000
287,antisymmetry,0.960000,0.933065,0.975643,0.945208,0.938039,0.150000,0.974360,0.000000
287,neutral,0.840000,0.816432,0.975643,0.827057,0.938039,0.150000,0.974360,0.000000
288,projection,1.000000,0.970846,0.975040,0.983849,0.936430,0.150000,0.973592,0.000000
288,antisymmetry,0.960000,0.932013,0.975040,0.944495,0.936430,0.150000,0.973592,0.000000
288,neutral,0.840000,0.815511,0.975040,0.826433,0.936430,0.150000,0.973592,0.000000
289,projection,1.000000,0.969763,0.974442,0.983114,0.934846,0.150000,0.972834,0.000000
289,antisymmetry,0.960000,0.930972,0.974442,0.943790,0.934846,0.150000,0.972834,0.000000
289,neutral,0.840000,0.814601,0.974442,0.825816,0.934846,0.150000,0.972834,0.000000
290,projection,1.000000,0.968692,0.973849,0.982387,0.933285,0.150000,0.972084,0.000000
290,antisymmetry,0.960000,0.929944,0.973849,0.943092,0.933285,0.150000,0.972084,0.000000
290,neutral,0.840000,0.813701,0.973849,0.825205,0.933285,0.150000,0.972084,0.000000
291,projection,1.000000,0.967634,0.973261,0.981667,0.931747,0.150000,0.971344,0.000000
291,antisymmetry,0.960000,0.928929,0.973261,0.942400,0.931747,0.150000,0.971344,0.000000
291,neutral,0.840000,0.812813,0.973261,0.824600,0.931747,0.150000,0.971344,0.000000
292,projection,1.000000,0.966589,0.972677,0.980954,0.930232,0.150000,0.970612,0.000000
292,antisymmetry,0.960000,0.927925,0.972677,0.941715,0.930232,0.150000,0.970612,0.000000
292,neutral,0.840000,0.811935,0.972677,0.824001,0.930232,0.150000,0.970612,0.000000
293,projection,1.000000,0.965556,0.972098,0.980248,0.928740,0.150000,0.969889,0.000000
293,antisymmetry,0.960000,0.926934,0.972098,0.941038,0.928740,0.150000,0.969889,0.000000
293,neutral,0.840000,0.811067,0.972098,0.823408,0.928740,0.150000,0.969889,0.000000
294,projection,1.000000,0.964535,0.971524,0.979549,0.927270,0.150000,0.969175,0.000000
294,antisymmetry,0.960000,0.925954,0.971524,0.940367,0.927270,0.150000,0.969175,0.000000
294,neutral,0.840000,0.810210,0.971524,0.822821,0.927270,0.150000,0.969175,0.000000
295,projection,1.000000,0.963527,0.970954,0.978857,0.925822,0.150000,0.968469,0.000000
295,antisymmetry,0.960000,0.924986,0.970954,0.939702,0.925822,0.150000,0.968469,0.000000
