phase,sector,equilibrium_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
280,projection,1.000000,0.970000,0.980000,0.980000,0.950000,0.130000,0.980000,0.000000
280,antisymmetry,0.960000,0.931200,0.980000,0.940800,0.950000,0.130000,0.980000,0.000000
280,neutral,0.860000,0.834200,0.980000,0.842800,0.950000,0.130000,0.980000,0.000000
281,projection,1.000000,0.968926,0.979373,0.979403,0.948838,0.130000,0.979344,0.000000
281,antisymmetry,0.960000,0.930169,0.979373,0.940227,0.948838,0.130000,0.979344,0.000000
281,neutral,0.860000,0.833277,0.979373,0.842287,0.948838,0.130000,0.979344,0.000000
282,projection,1.000000,0.967866,0.978751,0.978812,0.947690,0.130000,0.978694,0.000000
282,antisymmetry,0.960000,0.929151,0.978751,0.939659,0.947690,0.130000,0.978694,0.000000
282,neutral,0.860000,0.832365,0.978751,0.841778,0.947690,0.130000,0.978694,0.000000
283,projection,1.000000,0.966818,0.978135,0.978227,0.946558,0.130000,0.978052,0.000000
283,antisymmetry,0.960000,0.928145,0.978135,0.939098,0.946558,0.130000,0.978052,0.000000
283,neutral,0.860000,0.831463,0.978135,0.841275,0.946558,0.130000,0.978052,0.000000
284,projection,1.000000,0.965782,0.977525,0.977647,0.945440,0.130000,0.977417,0.000000
284,antisymmetry,0.960000,0.927151,0.977525,0.938541,0.945440,0.130000,0.977417,0.000000
284,neutral,0.860000,0.830573,0.977525,0.840777,0.945440,0.130000,0.977417,0.000000
285,projection,1.000000,0.964759,0.976920,0.977074,0.944336,0.130000,0.976789,0.000000
285,antisymmetry,0.960000,0.926168,0.976920,0.937991,0.944336,0.130000,0.976789,0.000000
285,neutral,0.860000,0.829693,0.976920,0.840283,0.944336,0.130000,0.976789,0.000000
286,projection,1.000000,0.963748,0.976320,0.976506,0.943247,0.130000,0.976168,0.000000
286,antisymmetry,0.960000,0.925198,0.976320,0.937446,0.943247,0.130000,0.976168,0.000000
286,neutral,0.860000,0.828823,0.976320,0.839795,0.943247,0.130000,0.976168,0.000000
287,projection,1.000000,0.962749,0.975726,0.975944,0.942172,0.130000,0.975553,0.000000
287,antisymmetry,0.960000,0.924239,0.975726,0.936906,0.942172,0.130000,0.975553,0.000000
287,neutral,0.860000,0.827964,0.975726,0.839312,0.942172,0.130000,0.975553,0.000000
288,projection,1.000000,0.961762,0.975137,0.975387,0.941110,0.130000,0.974946,0.000000
288,antisymmetry,0.960000,0.923291,0.975137,0.936372,0.941110,0.130000,0.974946,0.000000
288,neutral,0.860000,0.827115,0.975137,0.838833,0.941110,0.130000,0.974946,0.000000
289,projection,1.000000,0.960786,0.974554,0.974836,0.940063,0.130000,0.974345,0.000000
289,antisymmetry,0.960000,0.922355,0.974554,0.935842,0.940063,0.130000,0.974345,0.000000
289,neutral,0.860000,0.826276,0.974554,0.838359,0.940063,0.130000,0.974345,0.000000
290,projection,1.000000,0.959823,0.973975,0.974290,0.939029,0.130000,0.973750,0.000000
290,antisymmetry,0.960000,0.921430,0.973975,0.935319,0.939029,0.130000,0.973750,0.000000
290,neutral,0.860000,0.825448,0.973975,0.837890,0.939029,0.130000,0.973750,0.000000
291,projection,1.000000,0.958871,0.973402,0.973750,0.938008,0.130000,0.973162,0.000000
291,antisymmetry,0.960000,0.920516,0.973402,0.934800,0.938008,0.130000,0.973162,0.000000
291,neutral,0.860000,0.824629,0.973402,0.837425,0.938008,0.130000,0.973162,0.000000
292,projection,1.000000,0.957930,0.972834,0.973215,0.937000,0.130000,0.972580,0.000000
292,antisymmetry,0.960000,0.919613,0.972834,0.934287,0.937000,0.130000,0.972580,0.000000
292,neutral,0.860000,0.823820,0.972834,0.836965,0.937000,0.130000,0.972580,0.000000
293,projection,1.000000,0.957000,0.972271,0.972686,0.936006,0.130000,0.972005,0.000000
293,antisymmetry,0.960000,0.918720,0.972271,0.933778,0.936006,0.130000,0.972005,0.000000
293,neutral,0.860000,0.823020,0.972271,0.836510,0.936006,0.130000,0.972005,0.000000
294,projection,1.000000,0.956082,0.971713,0.972161,0.935024,0.130000,0.971436,0.000000
294,antisymmetry,0.960000,0.917839,0.971713,0.933275,0.935024,0.130000,0.971436,0.000000
294,neutral,0.860000,0.822230,0.971713,0.836059,0.935024,0.130000,0.971436,0.000000
295,projection,1.000000,0.955174,0.971160,0.971642,0.934055,0.130000,0.970874,0.000000
295,antisymmetry,0.960000,0.916967,0.971160,0.932777,0.934055,0.130000,0.970874,0.000000
295,neutral,0.860000,0.821450,0.971160,0.835613,0.934055,0.130000,0.970874,0.000000
296,projection,1.000000,0.954278,0.970612,0.971129,0.933099,0.130000,0.970317,0.000000
296,antisymmetry,0.960000,0.916107,0.970612,0.932283,0.933099,0.130000,0.970317,0.000000
296,neutral,0.860000,0.820679,0.970612,0.835171,0.933099,0.130000,0.970317,0.000000
297,projection,1.000000,0.953392,0.970069,0.970620,0.932155,0.130000,0.969767,0.000000
297,antisymmetry,0.960000,0.915256,0.970069,0.931795,0.932155,0.130000,0.969767,0.000000
297,neutral,0.860000,0.819917,0.970069,0.834733,0.932155,0.130000,0.969767,0.000000
298,projection,1.000000,0.952516,0.969531,0.970116,0.931223,0.130000,0.969222,0.000000
298,antisymmetry,0.960000,0.914416,0.969531,0.931312,0.931223,0.130000,0.969222,0.000000
298,neutral,0.860000,0.819164,0.969531,0.834300,0.931223,0.130000,0.969222,0.000000
299,projection,1.000000,0.951651,0.968998,0.969618,0.930303,0.130000,0.968684,0.000000
299,antisymmetry,0.960000,0.913585,0.968998,0.930833,0.930303,0.130000,0.968684,0.000000
299,neutral,0.860000,0.818420,0.968998,0.833871,0.930303,0.130000,0.968684,0.000000
300,projection,1.000000,0.950797,0.968469,0.969124,0.929395,0.130000,0.968151,0.000000
300,antisymmetry,0.960000,0.912765,0.968469,0.930359,0.929395,0.130000,0.968151,0.000000
300,neutral,0.860000,0.817685,0.968469,0.833447,0.929395,0.130000,0.968151,0.000000
301,projection,1.000000,0.949952,0.967945,0.968635,0.928498,0.130000,0.967624,0.000000
301,antisymmetry,0.960000,0.911954,0.967945,0.929890,0.928498,0.130000,0.967624,0.000000
301,neutral,0.860000,0.816959,0.967945,0.833026,0.928498,0.130000,0.967624,0.000000
302,projection,1.000000,0.949118,0.967426,0.968151,0.927614,0.130000,0.967103,0.000000
302,antisymmetry,0.960000,0.911153,0.967426,0.929425,0.927614,0.130000,0.967103,0.000000
302,neutral,0.860000,0.816241,0.967426,0.832610,0.927614,0.130000,0.967103,0.000000
303,projection,1.000000,0.948293,0.966911,0.967672,0.926740,0.130000,0.966588,0.000000
303,antisymmetry,0.960000,0.910361,0.966911,0.928965,0.926740,0.130000,0.966588,0.000000
303,neutral,0.860000,0.815532,0.966911,0.832198,0.926740,0.130000,0.966588,0.000000
304,projection,1.000000,0.947479,0.966401,0.967198,0.925878,0.130000,0.966078,0.000000
304,antisymmetry,0.960000,0.909579,0.966401,0.928510,0.925878,0.130000,0.966078,0.000000
304,neutral,0.860000,0.814832,0.966401,0.831790,0.925878,0.130000,0.966078,0.000000
305,projection,1.000000,0.946674,0.965896,0.966728,0.925027,0.130000,0.965574,0.000000
305,antisymmetry,0.960000,0.908807,0.965896,0.928059,0.925027,0.130000,0.965574,0.000000
305,neutral,0.860000,0.814139,0.965896,0.831386,0.925027,0.130000,0.965574,0.000000
306,projection,1.000000,0.945878,0.965395,0.966263,0.924188,0.130000,0.965076,0.000000
306,antisymmetry,0.960000,0.908043,0.965395,0.927613,0.924188,0.130000,0.965076,0.000000
306,neutral,0.860000,0.813455,0.965395,0.830986,0.924188,0.130000,0.965076,0.000000
307,projection,1.000000,0.945093,0.964899,0.965803,0.923359,0.130000,0.964583,0.000000
307,antisymmetry,0.960000,0.907289,0.964899,0.927171,0.923359,0.130000,0.964583,0.000000
307,neutral,0.860000,0.812780,0.964899,0.830590,0.923359,0.130000,0.964583,0.000000
308,projection,1.000000,0.944316,0.964407,0.965347,0.922540,0.130000,0.964095,0.000000
308,antisymmetry,0.960000,0.906543,0.964407,0.926733,0.922540,0.130000,0.964095,0.000000
