phase,sector,differentiation_strength,stability,boundedness,retention,transition_control,dispersion,rg_stability,metastability
280,projection,1.000000,0.970000,0.980000,0.980000,0.950000,0.140000,0.980000,0.000000
280,antisymmetry,0.950000,0.921500,0.980000,0.931000,0.950000,0.140000,0.980000,0.000000
280,neutral,0.850000,0.824500,0.980000,0.833000,0.950000,0.140000,0.980000,0.000000
281,projection,1.000000,0.968688,0.979194,0.979303,0.948579,0.140000,0.979234,0.000000
281,antisymmetry,0.950000,0.920253,0.979194,0.930338,0.948579,0.140000,0.979234,0.000000
281,neutral,0.850000,0.823385,0.979194,0.832408,0.948579,0.140000,0.979234,0.000000
282,projection,1.000000,0.967391,0.978394,0.978614,0.947177,0.140000,0.978477,0.000000
282,antisymmetry,0.950000,0.919022,0.978394,0.929683,0.947177,0.140000,0.978477,0.000000
282,neutral,0.850000,0.822283,0.978394,0.831822,0.947177,0.140000,0.978477,0.000000
283,projection,1.000000,0.966110,0.977603,0.977931,0.945793,0.140000,0.977728,0.000000
283,antisymmetry,0.950000,0.917805,0.977603,0.929035,0.945793,0.140000,0.977728,0.000000
283,neutral,0.850000,0.821194,0.977603,0.831242,0.945793,0.140000,0.977728,0.000000
284,projection,1.000000,0.964845,0.976818,0.977255,0.944426,0.140000,0.976987,0.000000
284,antisymmetry,0.950000,0.916602,0.976818,0.928392,0.944426,0.140000,0.976987,0.000000
284,neutral,0.850000,0.820118,0.976818,0.830667,0.944426,0.140000,0.976987,0.000000
285,projection,1.000000,0.963594,0.976040,0.976586,0.943077,0.140000,0.976254,0.000000
285,antisymmetry,0.950000,0.915414,0.976040,0.927757,0.943077,0.140000,0.976254,0.000000
285,neutral,0.850000,0.819055,0.976040,0.830098,0.943077,0.140000,0.976254,0.000000
286,projection,1.000000,0.962358,0.975269,0.975924,0.941746,0.140000,0.975529,0.000000
286,antisymmetry,0.950000,0.914240,0.975269,0.927127,0.941746,0.140000,0.975529,0.000000
286,neutral,0.850000,0.818005,0.975269,0.829535,0.941746,0.140000,0.975529,0.000000
287,projection,1.000000,0.961137,0.974505,0.975268,0.940432,0.140000,0.974812,0.000000
287,antisymmetry,0.950000,0.913081,0.974505,0.926504,0.940432,0.140000,0.974812,0.000000
287,neutral,0.850000,0.816967,0.974505,0.828977,0.940432,0.140000,0.974812,0.000000
288,projection,1.000000,0.959931,0.973748,0.974618,0.939135,0.140000,0.974103,0.000000
288,antisymmetry,0.950000,0.911934,0.973748,0.925887,0.939135,0.140000,0.974103,0.000000
288,neutral,0.850000,0.815941,0.973748,0.828425,0.939135,0.140000,0.974103,0.000000
289,projection,1.000000,0.958739,0.972997,0.973975,0.937854,0.140000,0.973402,0.000000
289,antisymmetry,0.950000,0.910802,0.972997,0.925276,0.937854,0.140000,0.973402,0.000000
289,neutral,0.850000,0.814928,0.972997,0.827879,0.937854,0.140000,0.973402,0.000000
290,projection,1.000000,0.957561,0.972254,0.973339,0.936590,0.140000,0.972708,0.000000
290,antisymmetry,0.950000,0.909683,0.972254,0.924672,0.936590,0.140000,0.972708,0.000000
290,neutral,0.850000,0.813927,0.972254,0.827338,0.936590,0.140000,0.972708,0.000000
291,projection,1.000000,0.956398,0.971517,0.972708,0.935343,0.140000,0.972022,0.000000
291,antisymmetry,0.950000,0.908578,0.971517,0.924073,0.935343,0.140000,0.972022,0.000000
291,neutral,0.850000,0.812938,0.971517,0.826802,0.935343,0.140000,0.972022,0.000000
292,projection,1.000000,0.955248,0.970786,0.972084,0.934112,0.140000,0.971344,0.000000
292,antisymmetry,0.950000,0.907485,0.970786,0.923480,0.934112,0.140000,0.971344,0.000000
292,neutral,0.850000,0.811961,0.970786,0.826272,0.934112,0.140000,0.971344,0.000000
293,projection,1.000000,0.954112,0.970063,0.971467,0.932896,0.140000,0.970673,0.000000
293,antisymmetry,0.950000,0.906406,0.970063,0.922893,0.932896,0.140000,0.970673,0.000000
293,neutral,0.850000,0.810995,0.970063,0.825747,0.932896,0.140000,0.970673,0.000000
294,projection,1.000000,0.952989,0.969345,0.970855,0.931696,0.140000,0.970009,0.000000
294,antisymmetry,0.950000,0.905339,0.969345,0.922312,0.931696,0.140000,0.970009,0.000000
294,neutral,0.850000,0.810041,0.969345,0.825227,0.931696,0.140000,0.970009,0.000000
295,projection,1.000000,0.951880,0.968634,0.970250,0.930512,0.140000,0.969353,0.000000
295,antisymmetry,0.950000,0.904286,0.968634,0.921737,0.930512,0.140000,0.969353,0.000000
295,neutral,0.850000,0.809098,0.968634,0.824712,0.930512,0.140000,0.969353,0.000000
296,projection,1.000000,0.950784,0.967930,0.969650,0.929343,0.140000,0.968703,0.000000
296,antisymmetry,0.950000,0.903245,0.967930,0.921168,0.929343,0.140000,0.968703,0.000000
296,neutral,0.850000,0.808166,0.967930,0.824203,0.929343,0.140000,0.968703,0.000000
297,projection,1.000000,0.949701,0.967232,0.969057,0.928189,0.140000,0.968061,0.000000
297,antisymmetry,0.950000,0.902216,0.967232,0.920604,0.928189,0.140000,0.968061,0.000000
297,neutral,0.850000,0.807246,0.967232,0.823698,0.928189,0.140000,0.968061,0.000000
298,projection,1.000000,0.948631,0.966540,0.968469,0.927050,0.140000,0.967426,0.000000
298,antisymmetry,0.950000,0.901199,0.966540,0.920045,0.927050,0.140000,0.967426,0.000000
298,neutral,0.850000,0.806336,0.966540,0.823199,0.927050,0.140000,0.967426,0.000000
299,projection,1.000000,0.947574,0.965854,0.967887,0.925925,0.140000,0.966798,0.000000
299,antisymmetry,0.950000,0.900195,0.965854,0.919493,0.925925,0.140000,0.966798,0.000000
299,neutral,0.850000,0.805438,0.965854,0.822704,0.925925,0.140000,0.966798,0.000000
300,projection,1.000000,0.946529,0.965174,0.967311,0.924816,0.140000,0.966176,0.000000
300,antisymmetry,0.950000,0.899203,0.965174,0.918946,0.924816,0.140000,0.966176,0.000000
300,neutral,0.850000,0.804550,0.965174,0.822214,0.924816,0.140000,0.966176,0.000000
301,projection,1.000000,0.945497,0.964501,0.966741,0.923720,0.140000,0.965562,0.000000
301,antisymmetry,0.950000,0.898222,0.964501,0.918404,0.923720,0.140000,0.965562,0.000000
301,neutral,0.850000,0.803672,0.964501,0.821730,0.923720,0.140000,0.965562,0.000000
302,projection,1.000000,0.944477,0.963833,0.966176,0.922639,0.140000,0.964954,0.000000
302,antisymmetry,0.950000,0.897253,0.963833,0.917868,0.922639,0.140000,0.964954,0.000000
302,neutral,0.850000,0.802806,0.963833,0.821250,0.922639,0.140000,0.964954,0.000000
303,projection,1.000000,0.943469,0.963172,0.965617,0.921572,0.140000,0.964353,0.000000
303,antisymmetry,0.950000,0.896296,0.963172,0.917336,0.921572,0.140000,0.964353,0.000000
303,neutral,0.850000,0.801949,0.963172,0.820775,0.921572,0.140000,0.964353,0.000000
304,projection,1.000000,0.942474,0.962516,0.965064,0.920518,0.140000,0.963758,0.000000
304,antisymmetry,0.950000,0.895350,0.962516,0.916811,0.920518,0.140000,0.963758,0.000000
304,neutral,0.850000,0.801103,0.962516,0.820304,0.920518,0.140000,0.963758,0.000000
305,projection,1.000000,0.941490,0.961866,0.964516,0.919478,0.140000,0.963170,0.000000
305,antisymmetry,0.950000,0.894416,0.961866,0.916290,0.919478,0.140000,0.963170,0.000000
305,neutral,0.850000,0.800267,0.961866,0.819839,0.919478,0.140000,0.963170,0.000000
306,projection,1.000000,0.940518,0.961223,0.963974,0.918451,0.140000,0.962588,0.000000
306,antisymmetry,0.950000,0.893492,0.961223,0.915775,0.918451,0.140000,0.962588,0.000000
306,neutral,0.850000,0.799440,0.961223,0.819378,0.918451,0.140000,0.962588,0.000000
307,projection,1.000000,0.939558,0.960584,0.963437,0.917438,0.140000,0.962013,0.000000
307,antisymmetry,0.950000,0.892580,0.960584,0.915265,0.917438,0.140000,0.962013,0.000000
307,neutral,0.850000,0.798624,0.960584,0.818921,0.917438,0.140000,0.962013,0.000000
