depth,sector,generator_strength,generator_efficiency,basis_stability,generator_dispersion,recursive_retention,rg_similarity,classification
1,projection,0.842684,0.713012,0.946079,0.323849,0.977074,0.978039,GENERATOR-PRESERVING
1,antisymmetry,0.775270,0.641711,0.898775,0.291464,0.928220,0.929137,GENERATOR-PRESERVING
1,neutral,0.632013,0.499108,0.775785,0.242887,0.801200,0.801992,GENERATOR-PRESERVING
3,projection,0.829106,0.700232,0.938692,0.312930,0.971642,0.974346,GENERATOR-PRESERVING
3,antisymmetry,0.762778,0.630209,0.891757,0.281637,0.923060,0.925629,GENERATOR-PRESERVING
3,neutral,0.621830,0.490163,0.769727,0.234698,0.796747,0.798964,GENERATOR-PRESERVING
6,projection,0.811123,0.683721,0.928663,0.299503,0.964449,0.969331,GENERATOR-PRESERVING
6,antisymmetry,0.746233,0.615349,0.882230,0.269552,0.916227,0.920865,GENERATOR-PRESERVING
6,neutral,0.608342,0.478605,0.761503,0.224627,0.790848,0.794852,GENERATOR-PRESERVING
9,projection,0.795644,0.669930,0.919768,0.288940,0.958258,0.964884,GENERATOR-PRESERVING
9,antisymmetry,0.731993,0.602937,0.873779,0.260046,0.910345,0.916640,GENERATOR-PRESERVING
9,neutral,0.596733,0.468951,0.754209,0.216705,0.785771,0.791205,GENERATOR-PRESERVING
12,projection,0.782322,0.658410,0.911878,0.280631,0.952929,0.960939,GENERATOR-PRESERVING
12,antisymmetry,0.719736,0.592569,0.866284,0.252568,0.905282,0.912892,GENERATOR-PRESERVING
12,neutral,0.586741,0.460887,0.747740,0.210474,0.781402,0.787970,GENERATOR-PRESERVING
15,projection,0.770855,0.648788,0.904881,0.274096,0.948342,0.957441,GENERATOR-PRESERVING
15,antisymmetry,0.709187,0.583910,0.859637,0.246686,0.900925,0.909569,GENERATOR-PRESERVING
15,neutral,0.578141,0.454152,0.742003,0.205572,0.777640,0.785101,GENERATOR-PRESERVING
20,projection,0.755182,0.636143,0.894933,0.266152,0.942073,0.952466,GENERATOR-PRESERVING
20,antisymmetry,0.694767,0.572529,0.850186,0.239537,0.894969,0.904843,GENERATOR-PRESERVING
20,neutral,0.566386,0.445300,0.733845,0.199614,0.772500,0.781022,GENERATOR-PRESERVING
