depth,sector_pair,correspondence_strength,compatibility,relational_drift,boundedness,rg_similarity,classification
1,projection-antisymmetry,0.876079,0.876098,0.187671,0.947931,0.968039,CORRESPONDENCE-PRESERVING
1,projection-neutral,0.770949,0.788489,0.172657,0.891055,0.909957,CORRESPONDENCE-PRESERVING
1,antisymmetry-neutral,0.744667,0.770967,0.168904,0.872097,0.890596,CORRESPONDENCE-PRESERVING
3,projection-antisymmetry,0.868692,0.868857,0.183411,0.943975,0.964346,CORRESPONDENCE-PRESERVING
3,projection-neutral,0.764449,0.781971,0.168738,0.887337,0.906485,CORRESPONDENCE-PRESERVING
3,antisymmetry-neutral,0.738388,0.764594,0.165070,0.868457,0.887198,CORRESPONDENCE-PRESERVING
5,projection-antisymmetry,0.861873,0.862304,0.179633,0.940250,0.960937,CORRESPONDENCE-PRESERVING
5,projection-neutral,0.758448,0.776074,0.165262,0.883835,0.903280,CORRESPONDENCE-PRESERVING
5,antisymmetry-neutral,0.732592,0.758828,0.161669,0.865030,0.884062,CORRESPONDENCE-PRESERVING
8,projection-antisymmetry,0.852615,0.853626,0.174751,0.935064,0.956307,CORRESPONDENCE-PRESERVING
8,projection-neutral,0.750301,0.768263,0.160771,0.878960,0.898929,CORRESPONDENCE-PRESERVING
8,antisymmetry-neutral,0.724723,0.751191,0.157276,0.860259,0.879803,CORRESPONDENCE-PRESERVING
12,projection-antisymmetry,0.841878,0.843905,0.169470,0.928837,0.950939,CORRESPONDENCE-PRESERVING
12,projection-neutral,0.740853,0.759514,0.155912,0.873107,0.893883,CORRESPONDENCE-PRESERVING
12,antisymmetry-neutral,0.715597,0.742636,0.152523,0.854530,0.874864,CORRESPONDENCE-PRESERVING
16,projection-antisymmetry,0.832729,0.835946,0.165316,0.923315,0.946365,CORRESPONDENCE-PRESERVING
16,projection-neutral,0.732802,0.752352,0.152090,0.867916,0.889583,CORRESPONDENCE-PRESERVING
16,antisymmetry-neutral,0.707820,0.735633,0.148784,0.849450,0.870655,CORRESPONDENCE-PRESERVING
20,projection-antisymmetry,0.824933,0.829430,0.162048,0.918417,0.942466,CORRESPONDENCE-PRESERVING
20,projection-neutral,0.725941,0.746487,0.149084,0.863312,0.885918,CORRESPONDENCE-PRESERVING
20,antisymmetry-neutral,0.701193,0.729899,0.145843,0.844943,0.867069,CORRESPONDENCE-PRESERVING
