depth,sector,network_strength,constraint_coherence,network_drift,boundedness,rg_similarity,classification
1,projection,0.865687,0.865611,0.187088,0.937636,0.967647,NETWORK-PRESERVING
1,antisymmetry,0.805089,0.787706,0.175863,0.890754,0.919265,NETWORK-PRESERVING
1,neutral,0.692549,0.666520,0.164638,0.806367,0.832177,NETWORK-PRESERVING
3,projection,0.857561,0.857464,0.181764,0.933114,0.963215,NETWORK-PRESERVING
3,antisymmetry,0.797532,0.780292,0.170858,0.886459,0.915054,NETWORK-PRESERVING
3,neutral,0.686049,0.660247,0.159952,0.802478,0.828365,NETWORK-PRESERVING
5,projection,0.850060,0.850092,0.177041,0.928857,0.959124,NETWORK-PRESERVING
5,antisymmetry,0.790556,0.773584,0.166418,0.882414,0.911168,NETWORK-PRESERVING
5,neutral,0.680048,0.654571,0.155796,0.798817,0.824847,NETWORK-PRESERVING
8,projection,0.839876,0.840329,0.170939,0.922930,0.953569,NETWORK-PRESERVING
8,antisymmetry,0.781085,0.764699,0.160683,0.876784,0.905890,NETWORK-PRESERVING
8,neutral,0.671901,0.647053,0.150426,0.793720,0.820069,NETWORK-PRESERVING
12,projection,0.828066,0.829393,0.164338,0.915814,0.947127,NETWORK-PRESERVING
12,antisymmetry,0.770102,0.754748,0.154477,0.870023,0.899771,NETWORK-PRESERVING
12,neutral,0.662453,0.638633,0.144617,0.787600,0.814529,NETWORK-PRESERVING
16,projection,0.818002,0.820440,0.159145,0.909503,0.941638,NETWORK-PRESERVING
16,antisymmetry,0.760742,0.746600,0.149596,0.864028,0.894556,NETWORK-PRESERVING
16,neutral,0.654402,0.631738,0.140047,0.782172,0.809808,NETWORK-PRESERVING
20,projection,0.809426,0.813109,0.155060,0.903905,0.936960,NETWORK-PRESERVING
20,antisymmetry,0.752766,0.739929,0.145756,0.858710,0.890112,NETWORK-PRESERVING
20,neutral,0.647541,0.626094,0.136453,0.777358,0.805785,NETWORK-PRESERVING
