depth,sector,resonance_strength,cross_level_alignment,resonance_drift,boundedness,rg_similarity,classification
1,projection,0.7956,0.8567,0.1345,0.8756,0.9412,RESONANCE-PRESERVING
1,antisymmetry,0.7567,0.8234,0.1523,0.8456,0.9123,RESONANCE-PRESERVING
1,neutral,0.7123,0.7845,0.1734,0.8123,0.8834,RESONANCE-PRESERVING
3,projection,0.7689,0.8312,0.1456,0.8523,0.9156,RESONANCE-PRESERVING
3,antisymmetry,0.7289,0.7989,0.1634,0.8234,0.8867,RESONANCE-PRESERVING
3,neutral,0.6845,0.7567,0.1856,0.7895,0.8589,RESONANCE-PRESERVING
5,projection,0.7412,0.8056,0.1567,0.8298,0.8912,RESONANCE-PRESERVING
5,antisymmetry,0.7012,0.7712,0.1756,0.8012,0.8634,RESONANCE-PRESERVING
5,neutral,0.6567,0.7289,0.1989,0.7667,0.8345,WEAKLY_RESONANT
8,projection,0.7145,0.7789,0.1689,0.8067,0.8667,WEAKLY_RESONANT
8,antisymmetry,0.6734,0.7434,0.1891,0.7789,0.8401,WEAKLY_RESONANT
8,neutral,0.6289,0.6989,0.2134,0.7434,0.8102,WEAKLY_RESONANT
12,projection,0.6878,0.7534,0.1812,0.7834,0.8412,WEAKLY_RESONANT
12,antisymmetry,0.6456,0.7145,0.2023,0.7545,0.8156,WEAKLY_RESONANT
12,neutral,0.6012,0.6678,0.2289,0.7203,0.7856,WEAKLY_RESONANT
16,projection,0.6612,0.7278,0.1934,0.7601,0.8167,WEAKLY_RESONANT
16,antisymmetry,0.6189,0.6845,0.2156,0.7301,0.7912,RESONANCE-DEGRADING
16,neutral,0.5734,0.6367,0.2456,0.6967,0.7612,RESONANCE-DEGRADING
20,projection,0.6345,0.7023,0.2056,0.7367,0.7923,WEAKLY_RESONANT
20,antisymmetry,0.5912,0.6534,0.2289,0.7056,0.7667,RESONANCE-DEGRADING
20,neutral,0.5456,0.6056,0.2645,0.6734,0.7367,RESONANCE-DEGRADING
