depth,sector,channel_strength,propagation_retention,channel_drift,boundedness,rg_similarity,classification
1,projection,0.8234,0.8712,0.1223,0.8923,0.9501,CHANNEL-PRESERVING
1,antisymmetry,0.7856,0.8389,0.1398,0.8623,0.9234,CHANNEL-PRESERVING
1,neutral,0.7412,0.8012,0.1598,0.8312,0.8934,CHANNEL-PRESERVING
3,projection,0.7989,0.8512,0.1312,0.8723,0.9289,CHANNEL-PRESERVING
3,antisymmetry,0.7589,0.8189,0.1501,0.8412,0.9012,CHANNEL-PRESERVING
3,neutral,0.7145,0.7789,0.1712,0.8098,0.8712,CHANNEL-PRESERVING
5,projection,0.7745,0.8312,0.1401,0.8512,0.9078,CHANNEL-PRESERVING
5,antisymmetry,0.7345,0.7989,0.1601,0.8212,0.8798,CHANNEL-PRESERVING
5,neutral,0.6878,0.7534,0.1834,0.7889,0.8498,WEAKLY_CHANNELIZED
8,projection,0.7512,0.8112,0.1501,0.8312,0.8867,WEAKLY_CHANNELIZED
8,antisymmetry,0.7098,0.7765,0.1712,0.8001,0.8589,WEAKLY_CHANNELIZED
8,neutral,0.6612,0.7245,0.1956,0.7656,0.8289,WEAKLY_CHANNELIZED
12,projection,0.7289,0.7898,0.1601,0.8101,0.8656,WEAKLY_CHANNELIZED
12,antisymmetry,0.6856,0.7512,0.1823,0.7789,0.8378,WEAKLY_CHANNELIZED
12,neutral,0.6345,0.6956,0.2089,0.7434,0.8078,CHANNEL-DEGRADING
16,projection,0.7067,0.7689,0.1701,0.7889,0.8445,WEAKLY_CHANNELIZED
16,antisymmetry,0.6612,0.7245,0.1934,0.7567,0.8167,CHANNEL-DEGRADING
16,neutral,0.6078,0.6656,0.2223,0.7212,0.7867,CHANNEL-DEGRADING
20,projection,0.6845,0.7467,0.1801,0.7678,0.8234,WEAKLY_CHANNELIZED
20,antisymmetry,0.6367,0.6967,0.2045,0.7345,0.7956,CHANNEL-DEGRADING
20,neutral,0.5812,0.6345,0.2367,0.6989,0.7656,CHANNEL-DEGRADING
