depth,sector,curvature_strength,deformation_retention,curvature_drift,boundedness,rg_similarity,classification
1,projection,0.8345,0.8789,0.1189,0.8989,0.9523,CURVATURE-PRESERVING
1,antisymmetry,0.7989,0.8456,0.1345,0.8698,0.9267,CURVATURE-PRESERVING
1,neutral,0.7545,0.8067,0.1545,0.8398,0.8967,CURVATURE-PRESERVING
3,projection,0.8123,0.8612,0.1278,0.8789,0.9321,CURVATURE-PRESERVING
3,antisymmetry,0.7745,0.8289,0.1456,0.8498,0.9056,CURVATURE-PRESERVING
3,neutral,0.7289,0.7845,0.1667,0.8189,0.8756,CURVATURE-PRESERVING
5,projection,0.7898,0.8434,0.1367,0.8589,0.9112,CURVATURE-PRESERVING
5,antisymmetry,0.7512,0.8112,0.1567,0.8298,0.8845,CURVATURE-PRESERVING
5,neutral,0.7034,0.7612,0.1798,0.7967,0.8545,WEAKLY_CURVED
8,projection,0.7689,0.8245,0.1467,0.8389,0.8901,WEAKLY_CURVED
8,antisymmetry,0.7289,0.7934,0.1689,0.8098,0.8634,WEAKLY_CURVED
8,neutral,0.6789,0.7345,0.1923,0.7745,0.8334,WEAKLY_CURVED
12,projection,0.7456,0.8056,0.1578,0.8189,0.8698,WEAKLY_CURVED
12,antisymmetry,0.7056,0.7712,0.1812,0.7889,0.8423,WEAKLY_CURVED
12,neutral,0.6545,0.7078,0.2056,0.7512,0.8123,CURVATURE-DEGRADING
16,projection,0.7234,0.7867,0.1689,0.7989,0.8498,WEAKLY_CURVED
16,antisymmetry,0.6823,0.7489,0.1934,0.7689,0.8212,CURVATURE-DEGRADING
16,neutral,0.6298,0.6789,0.2189,0.7289,0.7912,CURVATURE-DEGRADING
20,projection,0.7012,0.7667,0.1798,0.7789,0.8298,WEAKLY_CURVED
20,antisymmetry,0.6589,0.7256,0.2045,0.7489,0.8001,CURVATURE-DEGRADING
20,neutral,0.6056,0.6498,0.2323,0.7067,0.7698,CURVATURE-DEGRADING
