depth,sector,integration_strength,coordination_retention,integration_drift,boundedness,rg_similarity,classification
1,projection,0.8456,0.8845,0.1145,0.9056,0.9567,INTEGRATION-PRESERVING
1,antisymmetry,0.8112,0.8534,0.1298,0.8745,0.9301,INTEGRATION-PRESERVING
1,neutral,0.7689,0.8167,0.1498,0.8456,0.9012,INTEGRATION-PRESERVING
3,projection,0.8234,0.8689,0.1223,0.8856,0.9389,INTEGRATION-PRESERVING
3,antisymmetry,0.7889,0.8356,0.1401,0.8545,0.9123,INTEGRATION-PRESERVING
3,neutral,0.7456,0.7989,0.1612,0.8245,0.8834,INTEGRATION-PRESERVING
5,projection,0.8012,0.8512,0.1312,0.8656,0.9212,INTEGRATION-PRESERVING
5,antisymmetry,0.7656,0.8189,0.1512,0.8345,0.8956,INTEGRATION-PRESERVING
5,neutral,0.7212,0.7756,0.1745,0.8012,0.8656,WEAKLY_INTEGRATED
8,projection,0.7789,0.8345,0.1412,0.8445,0.9034,WEAKLY_INTEGRATED
8,antisymmetry,0.7423,0.8012,0.1623,0.8134,0.8789,WEAKLY_INTEGRATED
8,neutral,0.6989,0.7534,0.1867,0.7801,0.8489,WEAKLY_INTEGRATED
12,projection,0.7567,0.8167,0.1512,0.8234,0.8856,WEAKLY_INTEGRATED
12,antisymmetry,0.7198,0.7789,0.1734,0.7923,0.8612,WEAKLY_INTEGRATED
12,neutral,0.6756,0.7267,0.1989,0.7589,0.8301,INTEGRATION-DEGRADING
16,projection,0.7345,0.7989,0.1612,0.8023,0.8678,WEAKLY_INTEGRATED
16,antisymmetry,0.6978,0.7567,0.1845,0.7712,0.8434,INTEGRATION-DEGRADING
16,neutral,0.6512,0.6989,0.2112,0.7367,0.8123,INTEGRATION-DEGRADING
20,projection,0.7123,0.7801,0.1712,0.7812,0.8501,WEAKLY_INTEGRATED
20,antisymmetry,0.6756,0.7345,0.1956,0.7501,0.8256,INTEGRATION-DEGRADING
20,neutral,0.6289,0.6712,0.2245,0.7145,0.7945,INTEGRATION-DEGRADING
