depth,sector_pair,coupling_strength,coupling_retention,coupling_drift,boundedness,rg_similarity,classification
1,projection-antisymmetry,0.8678,0.8989,0.1045,0.9189,0.9656,COUPLING-PRESERVING
1,projection-neutral,0.8234,0.8612,0.1198,0.8898,0.9345,COUPLING-PRESERVING
1,antisymmetry-neutral,0.8012,0.8434,0.1345,0.8656,0.9134,COUPLING-PRESERVING
3,projection-antisymmetry,0.8456,0.8834,0.1123,0.9012,0.9489,COUPLING-PRESERVING
3,projection-neutral,0.8012,0.8456,0.1298,0.8712,0.9212,COUPLING-PRESERVING
3,antisymmetry-neutral,0.7789,0.8267,0.1456,0.8478,0.9012,COUPLING-PRESERVING
5,projection-antisymmetry,0.8234,0.8689,0.1212,0.8834,0.9321,COUPLING-PRESERVING
5,projection-neutral,0.7789,0.8298,0.1401,0.8523,0.9078,COUPLING-PRESERVING
5,antisymmetry-neutral,0.7567,0.8098,0.1567,0.8298,0.8889,WEAKLY_COUPLED
8,projection-antisymmetry,0.8012,0.8545,0.1312,0.8645,0.9156,WEAKLY_COUPLED
8,projection-neutral,0.7567,0.8134,0.1512,0.8345,0.8945,WEAKLY_COUPLED
8,antisymmetry-neutral,0.7345,0.7923,0.1689,0.8112,0.8767,WEAKLY_COUPLED
12,projection-antisymmetry,0.7789,0.8401,0.1412,0.8456,0.8989,WEAKLY_COUPLED
12,projection-neutral,0.7345,0.7967,0.1623,0.8156,0.8812,WEAKLY_COUPLED
12,antisymmetry-neutral,0.7123,0.7712,0.1812,0.7912,0.8645,COUPLING-DEGRADING
16,projection-antisymmetry,0.7567,0.8256,0.1512,0.8267,0.8823,WEAKLY_COUPLED
16,projection-neutral,0.7123,0.7798,0.1734,0.7967,0.8678,COUPLING-DEGRADING
16,antisymmetry-neutral,0.6898,0.7489,0.1934,0.7712,0.8512,COUPLING-DEGRADING
20,projection-antisymmetry,0.7345,0.8112,0.1612,0.8078,0.8656,WEAKLY_COUPLED
20,projection-neutral,0.6898,0.7623,0.1845,0.7778,0.8545,COUPLING-DEGRADING
20,antisymmetry-neutral,0.6678,0.7267,0.2056,0.7512,0.8389,COUPLING-DEGRADING
