depth,sector,recursion_strength,recursion_retention,recursion_drift,boundedness,rg_similarity,classification
1,projection,0.8678,0.9012,0.1056,0.9189,0.9656,RECURSION-PRESERVING
1,antisymmetry,0.8345,0.8723,0.1201,0.8898,0.9389,RECURSION-PRESERVING
1,neutral,0.7934,0.8412,0.1389,0.8612,0.9089,RECURSION-PRESERVING
3,projection,0.8489,0.8889,0.1134,0.9023,0.9512,RECURSION-PRESERVING
3,antisymmetry,0.8156,0.8598,0.1298,0.8734,0.9245,RECURSION-PRESERVING
3,neutral,0.7734,0.8289,0.1501,0.8456,0.8945,RECURSION-PRESERVING
5,projection,0.8298,0.8767,0.1223,0.8856,0.9367,RECURSION-PRESERVING
5,antisymmetry,0.7967,0.8478,0.1398,0.8567,0.9101,RECURSION-PRESERVING
5,neutral,0.7534,0.8112,0.1612,0.8289,0.8812,WEAKLY_RECURSIVE
8,projection,0.8112,0.8645,0.1312,0.8689,0.9221,WEAKLY_RECURSIVE
8,antisymmetry,0.7789,0.8345,0.1501,0.8398,0.8956,WEAKLY_RECURSIVE
8,neutral,0.7345,0.7934,0.1734,0.8112,0.8678,WEAKLY_RECURSIVE
12,projection,0.7923,0.8512,0.1412,0.8512,0.9078,WEAKLY_RECURSIVE
12,antisymmetry,0.7589,0.8212,0.1612,0.8223,0.8812,WEAKLY_RECURSIVE
12,neutral,0.7123,0.7712,0.1856,0.7923,0.8545,RECURSION-DEGRADING
16,projection,0.7734,0.8389,0.1512,0.8345,0.8934,WEAKLY_RECURSIVE
16,antisymmetry,0.7389,0.8078,0.1723,0.8045,0.8667,RECURSION-DEGRADING
16,neutral,0.6912,0.7489,0.1978,0.7734,0.8412,RECURSION-DEGRADING
20,projection,0.7545,0.8256,0.1612,0.8178,0.8798,WEAKLY_RECURSIVE
20,antisymmetry,0.7198,0.7945,0.1834,0.7867,0.8523,RECURSION-DEGRADING
20,neutral,0.6701,0.7267,0.2101,0.7545,0.8278,RECURSION-DEGRADING
