depth,sector,density_strength,density_retention,density_dispersion,boundedness,rg_similarity,classification
1,projection,0.8789,0.9089,0.1012,0.9245,0.9698,DENSITY-PRESERVING
1,antisymmetry,0.8456,0.8789,0.1156,0.8956,0.9423,DENSITY-PRESERVING
1,neutral,0.8056,0.8489,0.1323,0.8689,0.9123,DENSITY-PRESERVING
3,projection,0.8589,0.8956,0.1098,0.9089,0.9556,DENSITY-PRESERVING
3,antisymmetry,0.8256,0.8656,0.1256,0.8798,0.9289,DENSITY-PRESERVING
3,neutral,0.7856,0.8312,0.1434,0.8523,0.8989,DENSITY-PRESERVING
5,projection,0.8398,0.8823,0.1189,0.8912,0.9412,DENSITY-PRESERVING
5,antisymmetry,0.8056,0.8534,0.1356,0.8623,0.9156,DENSITY-PRESERVING
5,neutral,0.7656,0.8145,0.1545,0.8345,0.8856,WEAKLY_DENSE
8,projection,0.8201,0.8689,0.1289,0.8745,0.9267,WEAKLY_DENSE
8,antisymmetry,0.7856,0.8401,0.1467,0.8456,0.9012,WEAKLY_DENSE
8,neutral,0.7456,0.7967,0.1656,0.8167,0.8723,WEAKLY_DENSE
12,projection,0.8001,0.8545,0.1389,0.8578,0.9123,WEAKLY_DENSE
12,antisymmetry,0.7656,0.8267,0.1578,0.8289,0.8867,WEAKLY_DENSE
12,neutral,0.7245,0.7789,0.1767,0.7989,0.8598,DENSITY-DEGRADING
16,projection,0.7798,0.8401,0.1489,0.8412,0.8989,WEAKLY_DENSE
16,antisymmetry,0.7456,0.8134,0.1689,0.8123,0.8723,DENSITY-DEGRADING
16,neutral,0.7034,0.7612,0.1889,0.7801,0.8478,DENSITY-DEGRADING
20,projection,0.7601,0.8256,0.1589,0.8245,0.8856,WEAKLY_DENSE
20,antisymmetry,0.7256,0.8001,0.1798,0.7956,0.8589,DENSITY-DEGRADING
20,neutral,0.6823,0.7434,0.2001,0.7612,0.8345,DENSITY-DEGRADING
