depth,sector,embedding_strength,embedding_drift,cross_depth_alignment,embedding_retention,deformation_bound,rg_similarity,classification
1,projection,0.8898,0.1045,0.9156,0.9056,0.9234,0.9712,EMBEDDING-PRESERVING
1,antisymmetry,0.8589,0.1198,0.8912,0.8745,0.9023,0.9456,EMBEDDING-PRESERVING
1,neutral,0.8212,0.1389,0.8623,0.8412,0.8789,0.9189,EMBEDDING-PRESERVING
3,projection,0.8712,0.1123,0.9012,0.8889,0.9089,0.9589,EMBEDDING-PRESERVING
3,antisymmetry,0.8398,0.1289,0.8756,0.8589,0.8878,0.9334,EMBEDDING-PRESERVING
3,neutral,0.8012,0.1489,0.8456,0.8256,0.8634,0.9067,EMBEDDING-PRESERVING
5,projection,0.8523,0.1212,0.8867,0.8712,0.8923,0.9456,EMBEDDING-PRESERVING
5,antisymmetry,0.8201,0.1389,0.8601,0.8412,0.8712,0.9212,EMBEDDING-PRESERVING
5,neutral,0.7801,0.1589,0.8289,0.8078,0.8478,0.8945,WEAKLY_EMBEDDED
8,projection,0.8334,0.1312,0.8712,0.8545,0.8756,0.9321,WEAKLY_EMBEDDED
8,antisymmetry,0.8012,0.1498,0.8456,0.8245,0.8545,0.9089,WEAKLY_EMBEDDED
8,neutral,0.7589,0.1698,0.8112,0.7898,0.8312,0.8823,WEAKLY_EMBEDDED
12,projection,0.8145,0.1401,0.8567,0.8378,0.8589,0.9189,WEAKLY_EMBEDDED
12,antisymmetry,0.7812,0.1589,0.8298,0.8078,0.8378,0.8967,WEAKLY_EMBEDDED
12,neutral,0.7389,0.1801,0.7934,0.7712,0.8145,0.8698,EMBEDDING-DEGRADING
16,projection,0.7945,0.1498,0.8412,0.8201,0.8412,0.9056,WEAKLY_EMBEDDED
16,antisymmetry,0.7612,0.1689,0.8134,0.7901,0.8201,0.8845,EMBEDDING-DEGRADING
16,neutral,0.7189,0.1901,0.7756,0.7534,0.7967,0.8578,EMBEDDING-DEGRADING
20,projection,0.7756,0.1598,0.8256,0.8023,0.8234,0.8923,WEAKLY_EMBEDDED
20,antisymmetry,0.7412,0.1789,0.7978,0.7734,0.8023,0.8712,EMBEDDING-DEGRADING
20,neutral,0.6978,0.2001,0.7578,0.7345,0.7789,0.8456,EMBEDDING-DEGRADING
