depth,sector,transport_strength,embedding_strength,compatibility_strength,interference_drift,compatibility_retention,rg_similarity,classification
1,projection,0.8456,0.8898,0.8678,0.1023,0.9012,0.9656,COMPATIBILITY-PRESERVING
1,antisymmetry,0.8123,0.8589,0.8345,0.1178,0.8712,0.9389,COMPATIBILITY-PRESERVING
1,neutral,0.7789,0.8212,0.7989,0.1345,0.8412,0.9123,COMPATIBILITY-PRESERVING
3,projection,0.8289,0.8712,0.8512,0.1098,0.8856,0.9534,COMPATIBILITY-PRESERVING
3,antisymmetry,0.7945,0.8398,0.8178,0.1267,0.8545,0.9267,COMPATIBILITY-PRESERVING
3,neutral,0.7612,0.8012,0.7812,0.1445,0.8245,0.9012,COMPATIBILITY-PRESERVING
5,projection,0.8123,0.8523,0.8345,0.1189,0.8698,0.9412,COMPATIBILITY-PRESERVING
5,antisymmetry,0.7789,0.8201,0.8012,0.1367,0.8378,0.9145,COMPATIBILITY-PRESERVING
5,neutral,0.7434,0.7801,0.7623,0.1556,0.8078,0.8898,WEAKLY_COMPATIBLE
8,projection,0.7956,0.8334,0.8178,0.1278,0.8545,0.9289,WEAKLY_COMPATIBLE
8,antisymmetry,0.7612,0.8012,0.7823,0.1467,0.8212,0.9023,WEAKLY_COMPATIBLE
8,neutral,0.7256,0.7589,0.7423,0.1667,0.7898,0.8789,WEAKLY_COMPATIBLE
12,projection,0.7789,0.8145,0.8012,0.1367,0.8389,0.9167,WEAKLY_COMPATIBLE
12,antisymmetry,0.7434,0.7812,0.7634,0.1567,0.8045,0.8901,WEAKLY_COMPATIBLE
12,neutral,0.7078,0.7389,0.7212,0.1778,0.7712,0.8678,COMPATIBILITY-DEGRADING
16,projection,0.7612,0.7945,0.7845,0.1456,0.8234,0.9045,WEAKLY_COMPATIBLE
16,antisymmetry,0.7256,0.7612,0.7445,0.1667,0.7878,0.8789,COMPATIBILITY-DEGRADING
16,neutral,0.6898,0.7189,0.7012,0.1889,0.7523,0.8567,COMPATIBILITY-DEGRADING
20,projection,0.7434,0.7756,0.7678,0.1545,0.8078,0.8923,WEAKLY_COMPATIBLE
20,antisymmetry,0.7078,0.7412,0.7256,0.1767,0.7712,0.8678,COMPATIBILITY-DEGRADING
20,neutral,0.6712,0.6978,0.6812,0.1998,0.7345,0.8456,COMPATIBILITY-DEGRADING
