depth,sector,protection_strength,deformation_drift,class_preservation,perturbation_stability,rg_similarity,classification
1,projection,0.9123,0.0823,0.9345,0.8956,0.9756,TOPOLOGY-PRESERVING
1,antisymmetry,0.8789,0.0956,0.9012,0.8612,0.9456,TOPOLOGY-PRESERVING
1,neutral,0.8345,0.1123,0.8678,0.8234,0.9156,TOPOLOGY-PRESERVING
3,projection,0.8956,0.0898,0.9189,0.8789,0.9634,TOPOLOGY-PRESERVING
3,antisymmetry,0.8612,0.1034,0.8856,0.8456,0.9321,TOPOLOGY-PRESERVING
3,neutral,0.8156,0.1201,0.8512,0.8089,0.9023,TOPOLOGY-PRESERVING
5,projection,0.8789,0.0978,0.9012,0.8612,0.9512,TOPOLOGY-PRESERVING
5,antisymmetry,0.8434,0.1112,0.8678,0.8289,0.9189,TOPOLOGY-PRESERVING
5,neutral,0.7967,0.1278,0.8345,0.7912,0.8898,WEAKLY_PROTECTED
8,projection,0.8612,0.1056,0.8834,0.8434,0.9389,WEAKLY_PROTECTED
8,antisymmetry,0.8256,0.1198,0.8512,0.8123,0.9056,WEAKLY_PROTECTED
8,neutral,0.7789,0.1356,0.8167,0.7734,0.8778,WEAKLY_PROTECTED
12,projection,0.8434,0.1134,0.8656,0.8256,0.9267,WEAKLY_PROTECTED
12,antisymmetry,0.8089,0.1278,0.8345,0.7956,0.8923,WEAKLY_PROTECTED
12,neutral,0.7589,0.1434,0.7989,0.7545,0.8645,PROTECTION-DEGRADING
16,projection,0.8256,0.1201,0.8478,0.8078,0.9145,WEAKLY_PROTECTED
16,antisymmetry,0.7912,0.1345,0.8167,0.7789,0.8789,PROTECTION-DEGRADING
16,neutral,0.7412,0.1501,0.7812,0.7367,0.8512,PROTECTION-DEGRADING
20,projection,0.8078,0.1278,0.8289,0.7901,0.9023,WEAKLY_PROTECTED
20,antisymmetry,0.7734,0.1412,0.7989,0.7612,0.8656,PROTECTION-DEGRADING
20,neutral,0.7234,0.1567,0.7623,0.7189,0.8389,PROTECTION-DEGRADING
