depth,sector,correlation_strength,synchronization_retention,relational_drift,perturbation_transfer,recursive_correlation,rg_similarity,classification
1,Projection,0.9412,0.9689,0.0891,0.8912,0.9345,0.9345,CORRELATED
2,Projection,0.9289,0.9545,0.0989,0.8767,0.9223,0.9223,CORRELATED
4,Projection,0.9134,0.9412,0.1145,0.8534,0.9056,0.9056,CORRELATED
6,Projection,0.8978,0.9278,0.1278,0.8312,0.8878,0.8878,CORRELATED
8,Projection,0.8823,0.9145,0.1412,0.8089,0.8701,0.8701,CORRELATED
12,Projection,0.8512,0.8879,0.1689,0.7634,0.8356,0.8356,CORRELATED
16,Projection,0.8201,0.8612,0.1967,0.7178,0.8012,0.8012,WEAKLY_CORRELATED
20,Projection,0.7890,0.8345,0.2245,0.6723,0.7667,0.7667,WEAKLY_CORRELATED
1,Antisymmetry,0.8845,0.9145,0.1345,0.8234,0.8778,0.8778,CORRELATED
2,Antisymmetry,0.8690,0.8989,0.1489,0.8056,0.8612,0.8612,CORRELATED
4,Antisymmetry,0.8378,0.8678,0.1789,0.7690,0.8278,0.8278,CORRELATED
6,Antisymmetry,0.8067,0.8367,0.2089,0.7323,0.7945,0.7945,CORRELATED
8,Antisymmetry,0.7756,0.8056,0.2389,0.6956,0.7612,0.7612,WEAKLY_CORRELATED
12,Antisymmetry,0.7134,0.7434,0.2989,0.6218,0.6956,0.6956,WEAKLY_CORRELATED
16,Antisymmetry,0.6512,0.6812,0.3589,0.5478,0.6301,0.6301,DECORRELATING
20,Antisymmetry,0.5890,0.6190,0.4189,0.4734,0.5645,0.5645,DECORRELATING
1,Neutral,0.8123,0.8434,0.1989,0.7345,0.8056,0.8056,CORRELATED
2,Neutral,0.7890,0.8190,0.2189,0.7056,0.7812,0.7812,CORRELATED
4,Neutral,0.7423,0.7723,0.2689,0.6478,0.7323,0.7323,WEAKLY_CORRELATED
6,Neutral,0.6956,0.7256,0.3189,0.5901,0.6834,0.6834,WEAKLY_CORRELATED
8,Neutral,0.6489,0.6789,0.3689,0.5323,0.6345,0.6345,DECORRELATING
12,Neutral,0.5556,0.5856,0.4689,0.4167,0.5367,0.5367,CORRELATION-COLLAPSING
16,Neutral,0.4623,0.4923,0.5689,0.3010,0.4389,0.4389,CORRELATION-COLLAPSING
20,Neutral,0.3690,0.3990,0.6689,0.1853,0.3411,0.3411,CORRELATION-COLLAPSING
1,Projection-Antisymmetry,0.9123,0.9389,0.1111,0.8572,0.9056,0.9056,CORRELATED
2,Projection-Antisymmetry,0.8956,0.9223,0.1278,0.8367,0.8878,0.8878,CORRELATED
4,Projection-Antisymmetry,0.8623,0.8890,0.1611,0.7956,0.8523,0.8523,CORRELATED
6,Projection-Antisymmetry,0.8290,0.8556,0.1945,0.7545,0.8167,0.8167,CORRELATED
8,Projection-Antisymmetry,0.7956,0.8223,0.2289,0.7134,0.7812,0.7812,WEAKLY_CORRELATED
12,Projection-Antisymmetry,0.7289,0.7556,0.2989,0.6312,0.7105,0.7105,WEAKLY_CORRELATED
16,Projection-Antisymmetry,0.6623,0.6889,0.3689,0.5490,0.6398,0.6398,DECORRELATING
20,Projection-Antisymmetry,0.5956,0.6223,0.4389,0.4667,0.5690,0.5690,DECORRELATING
1,Projection-Neutral,0.8434,0.8712,0.1656,0.7756,0.8367,0.8367,CORRELATED
2,Projection-Neutral,0.8178,0.8456,0.1912,0.7434,0.8098,0.8098,CORRELATED
4,Projection-Neutral,0.7667,0.7945,0.2456,0.6790,0.7562,0.7562,WEAKLY_CORRELATED
6,Projection-Neutral,0.7156,0.7434,0.2989,0.6145,0.7027,0.7027,WEAKLY_CORRELATED
8,Projection-Neutral,0.6645,0.6923,0.3523,0.5498,0.6492,0.6492,DECORRELATING
12,Projection-Neutral,0.5623,0.5901,0.4589,0.4201,0.5423,0.5423,CORRELATION-COLLAPSING
16,Projection-Neutral,0.4601,0.4878,0.5678,0.2904,0.4356,0.4356,CORRELATION-COLLAPSING
20,Projection-Neutral,0.3578,0.3856,0.6767,0.1607,0.3289,0.3289,CORRELATION-COLLAPSING
1,Antisymmetry-Neutral,0.7845,0.8123,0.2289,0.6956,0.7765,0.7765,WEAKLY_CORRELATED
2,Antisymmetry-Neutral,0.7512,0.7790,0.2645,0.6545,0.7412,0.7412,WEAKLY_CORRELATED
4,Antisymmetry-Neutral,0.6845,0.7123,0.3345,0.5723,0.6708,0.6708,DECORRELATING
6,Antisymmetry-Neutral,0.6178,0.6456,0.4045,0.4901,0.6004,0.6004,DECORRELATING
8,Antisymmetry-Neutral,0.5512,0.5789,0.4745,0.4078,0.5301,0.5301,CORRELATION-COLLAPSING
12,Antisymmetry-Neutral,0.4189,0.4467,0.6145,0.2423,0.3899,0.3899,CORRELATION-COLLAPSING
16,Antisymmetry-Neutral,0.2867,0.3145,0.7545,0.0768,0.2496,0.2496,CORRELATION-COLLAPSING
20,Antisymmetry-Neutral,0.1545,0.1823,0.8945,-0.0889,0.1093,0.1093,CORRELATION-COLLAPSING
