depth,sector,protection_strength,mode_retention,perturbation_dispersion,shielding_stability,recursive_protection,rg_similarity,classification
1,Projection,0.9456,0.9523,0.0723,0.9412,0.9389,0.9389,PROTECTED
2,Projection,0.9334,0.9401,0.0845,0.9289,0.9256,0.9256,PROTECTED
4,Projection,0.9089,0.9156,0.1091,0.9034,0.9001,0.9001,PROTECTED
6,Projection,0.8845,0.8912,0.1345,0.8778,0.8745,0.8745,WEAKLY_PROTECTED
8,Projection,0.8601,0.8668,0.1589,0.8523,0.8490,0.8490,WEAKLY_PROTECTED
12,Projection,0.8112,0.8179,0.2078,0.8023,0.7990,0.7990,WEAKLY_PROTECTED
16,Projection,0.7623,0.7690,0.2589,0.7523,0.7490,0.7490,WEAKLY_PROTECTED
20,Projection,0.7134,0.7201,0.3078,0.7023,0.6990,0.6990,PERTURBATION-DEGRADING
1,Antisymmetry,0.8723,0.8789,0.1489,0.8534,0.8501,0.8501,PROTECTED
2,Antisymmetry,0.8545,0.8612,0.1667,0.8356,0.8323,0.8323,WEAKLY_PROTECTED
4,Antisymmetry,0.8189,0.8256,0.2045,0.7989,0.7956,0.7956,WEAKLY_PROTECTED
6,Antisymmetry,0.7834,0.7901,0.2412,0.7623,0.7590,0.7590,WEAKLY_PROTECTED
8,Antisymmetry,0.7478,0.7545,0.2789,0.7256,0.7223,0.7223,PERTURBATION-DEGRADING
12,Antisymmetry,0.6767,0.6834,0.3545,0.6523,0.6490,0.6490,PERTURBATION-DEGRADING
16,Antisymmetry,0.6056,0.6123,0.4289,0.5790,0.5756,0.5756,COLLAPSING
20,Antisymmetry,0.5345,0.5412,0.5034,0.5056,0.5023,0.5023,COLLAPSING
1,Neutral,0.7989,0.8056,0.2189,0.7689,0.7656,0.7656,WEAKLY_PROTECTED
2,Neutral,0.7745,0.7812,0.2434,0.7434,0.7401,0.7401,WEAKLY_PROTECTED
4,Neutral,0.7256,0.7323,0.2945,0.6923,0.6890,0.6890,PERTURBATION-DEGRADING
6,Neutral,0.6767,0.6834,0.3467,0.6412,0.6378,0.6378,PERTURBATION-DEGRADING
8,Neutral,0.6278,0.6345,0.3989,0.5901,0.5867,0.5867,COLLAPSING
12,Neutral,0.5299,0.5367,0.5023,0.4889,0.4856,0.4856,COLLAPSING
16,Neutral,0.4321,0.4389,0.6056,0.3878,0.3845,0.3845,COLLAPSING
20,Neutral,0.3345,0.3412,0.7089,0.2867,0.2834,0.2834,COLLAPSING
1,Projection-Antisymmetry,0.9189,0.9256,0.0989,0.9012,0.8978,0.8978,PROTECTED
2,Projection-Antisymmetry,0.9001,0.9068,0.1178,0.8812,0.8778,0.8778,PROTECTED
4,Projection-Antisymmetry,0.8623,0.8690,0.1567,0.8412,0.8378,0.8378,WEAKLY_PROTECTED
6,Projection-Antisymmetry,0.8245,0.8312,0.1945,0.8012,0.7978,0.7978,WEAKLY_PROTECTED
8,Projection-Antisymmetry,0.7867,0.7934,0.2323,0.7612,0.7578,0.7578,WEAKLY_PROTECTED
12,Projection-Antisymmetry,0.7112,0.7179,0.3101,0.6834,0.6801,0.6801,PERTURBATION-DEGRADING
16,Projection-Antisymmetry,0.6356,0.6423,0.3889,0.6056,0.6023,0.6023,COLLAPSING
20,Projection-Antisymmetry,0.5601,0.5668,0.4678,0.5278,0.5245,0.5245,COLLAPSING
1,Projection-Neutral,0.8389,0.8456,0.1789,0.8123,0.8089,0.8089,PROTECTED
2,Projection-Neutral,0.8134,0.8201,0.2045,0.7856,0.7823,0.7823,WEAKLY_PROTECTED
4,Projection-Neutral,0.7623,0.7690,0.2589,0.7323,0.7289,0.7289,WEAKLY_PROTECTED
6,Projection-Neutral,0.7112,0.7179,0.3123,0.6790,0.6756,0.6756,PERTURBATION-DEGRADING
8,Projection-Neutral,0.6601,0.6668,0.3656,0.6256,0.6223,0.6223,PERTURBATION-DEGRADING
12,Projection-Neutral,0.5578,0.5645,0.4734,0.5201,0.5167,0.5167,COLLAPSING
16,Projection-Neutral,0.4556,0.4623,0.5823,0.4156,0.4123,0.4123,COLLAPSING
20,Projection-Neutral,0.3534,0.3601,0.6901,0.3112,0.3078,0.3078,COLLAPSING
1,Antisymmetry-Neutral,0.7656,0.7723,0.2489,0.7289,0.7256,0.7256,WEAKLY_PROTECTED
2,Antisymmetry-Neutral,0.7323,0.7390,0.2845,0.6945,0.6912,0.6912,WEAKLY_PROTECTED
4,Antisymmetry-Neutral,0.6656,0.6723,0.3545,0.6256,0.6223,0.6223,PERTURBATION-DEGRADING
6,Antisymmetry-Neutral,0.5989,0.6056,0.4245,0.5567,0.5534,0.5534,COLLAPSING
8,Antisymmetry-Neutral,0.5321,0.5389,0.4956,0.4878,0.4845,0.4845,COLLAPSING
12,Antisymmetry-Neutral,0.3989,0.4056,0.6367,0.3523,0.3489,0.3489,COLLAPSING
16,Antisymmetry-Neutral,0.2656,0.2723,0.7778,0.2167,0.2134,0.2134,COLLAPSING
20,Antisymmetry-Neutral,0.1323,0.1390,0.9189,0.0812,0.0778,0.0778,COLLAPSING
