depth,sector,binding_strength,fragmentation_resistance,internal_drift,composite_coherence,recursive_binding,rg_similarity,classification
1,Projection,0.9523,0.9456,0.0645,0.9389,0.9412,0.9412,BOUND
2,Projection,0.9389,0.9323,0.0789,0.9256,0.9278,0.9278,BOUND
4,Projection,0.9123,0.9056,0.1056,0.8989,0.9012,0.9012,BOUND
6,Projection,0.8856,0.8789,0.1323,0.8723,0.8745,0.8745,WEAKLY_BOUND
8,Projection,0.8589,0.8523,0.1590,0.8456,0.8478,0.8478,WEAKLY_BOUND
12,Projection,0.8056,0.7989,0.2123,0.7923,0.7945,0.7945,WEAKLY_BOUND
16,Projection,0.7523,0.7456,0.2656,0.7389,0.7412,0.7412,WEAKLY_BOUND
20,Projection,0.6990,0.6923,0.3189,0.6856,0.6878,0.6878,FRAGMENTING
1,Antisymmetry,0.8823,0.8756,0.1345,0.8689,0.8712,0.8712,BOUND
2,Antisymmetry,0.8656,0.8589,0.1512,0.8523,0.8545,0.8545,WEAKLY_BOUND
4,Antisymmetry,0.8323,0.8256,0.1845,0.8189,0.8212,0.8212,WEAKLY_BOUND
6,Antisymmetry,0.7990,0.7923,0.2178,0.7856,0.7878,0.7878,WEAKLY_BOUND
8,Antisymmetry,0.7656,0.7589,0.2512,0.7523,0.7545,0.7545,FRAGMENTING
12,Antisymmetry,0.6989,0.6923,0.3189,0.6856,0.6878,0.6878,FRAGMENTING
16,Antisymmetry,0.6323,0.6256,0.3856,0.6189,0.6212,0.6212,COLLAPSING
20,Antisymmetry,0.5656,0.5589,0.4523,0.5523,0.5545,0.5545,COLLAPSING
1,Neutral,0.8123,0.8056,0.2045,0.7989,0.8012,0.8012,WEAKLY_BOUND
2,Neutral,0.7889,0.7823,0.2278,0.7756,0.7778,0.7778,WEAKLY_BOUND
4,Neutral,0.7423,0.7356,0.2745,0.7289,0.7312,0.7312,WEAKLY_BOUND
6,Neutral,0.6956,0.6889,0.3212,0.6823,0.6845,0.6845,FRAGMENTING
8,Neutral,0.6489,0.6423,0.3678,0.6356,0.6378,0.6378,COLLAPSING
12,Neutral,0.5545,0.5478,0.4623,0.5412,0.5434,0.5434,COLLAPSING
16,Neutral,0.4601,0.4534,0.5567,0.4467,0.4489,0.4489,COLLAPSING
20,Neutral,0.3656,0.3589,0.6512,0.3523,0.3545,0.3545,COLLAPSING
1,Projection-Antisymmetry,0.9245,0.9178,0.0923,0.9112,0.9134,0.9134,BOUND
2,Projection-Antisymmetry,0.9078,0.9012,0.1089,0.8945,0.8967,0.8967,BOUND
4,Projection-Antisymmetry,0.8745,0.8678,0.1423,0.8612,0.8634,0.8634,WEAKLY_BOUND
6,Projection-Antisymmetry,0.8412,0.8345,0.1756,0.8278,0.8301,0.8301,WEAKLY_BOUND
8,Projection-Antisymmetry,0.8078,0.8012,0.2089,0.7945,0.7967,0.7967,WEAKLY_BOUND
12,Projection-Antisymmetry,0.7412,0.7345,0.2756,0.7278,0.7301,0.7301,FRAGMENTING
16,Projection-Antisymmetry,0.6745,0.6678,0.3423,0.6612,0.6634,0.6634,COLLAPSING
20,Projection-Antisymmetry,0.6078,0.6012,0.4089,0.5945,0.5967,0.5967,COLLAPSING
1,Projection-Neutral,0.8489,0.8423,0.1689,0.8356,0.8378,0.8378,WEAKLY_BOUND
2,Projection-Neutral,0.8256,0.8189,0.1923,0.8123,0.8145,0.8145,WEAKLY_BOUND
4,Projection-Neutral,0.7789,0.7723,0.2389,0.7656,0.7678,0.7678,WEAKLY_BOUND
6,Projection-Neutral,0.7323,0.7256,0.2856,0.7189,0.7212,0.7212,FRAGMENTING
8,Projection-Neutral,0.6856,0.6789,0.3323,0.6723,0.6745,0.6745,FRAGMENTING
12,Projection-Neutral,0.5912,0.5845,0.4267,0.5778,0.5801,0.5801,COLLAPSING
16,Projection-Neutral,0.4967,0.4901,0.5212,0.4834,0.4856,0.4856,COLLAPSING
20,Projection-Neutral,0.4023,0.3956,0.6156,0.3889,0.3912,0.3912,COLLAPSING
1,Antisymmetry-Neutral,0.7789,0.7723,0.2389,0.7656,0.7678,0.7678,WEAKLY_BOUND
2,Antisymmetry-Neutral,0.7489,0.7423,0.2689,0.7356,0.7378,0.7378,WEAKLY_BOUND
4,Antisymmetry-Neutral,0.6889,0.6823,0.3289,0.6756,0.6778,0.6778,FRAGMENTING
6,Antisymmetry-Neutral,0.6289,0.6223,0.3889,0.6156,0.6178,0.6178,COLLAPSING
8,Antisymmetry-Neutral,0.5689,0.5623,0.4489,0.5556,0.5578,0.5578,COLLAPSING
12,Antisymmetry-Neutral,0.4489,0.4423,0.5689,0.4356,0.4378,0.4378,COLLAPSING
16,Antisymmetry-Neutral,0.3289,0.3223,0.6889,0.3156,0.3178,0.3178,COLLAPSING
20,Antisymmetry-Neutral,0.2089,0.2023,0.8089,0.1956,0.1978,0.1978,COLLAPSING
