depth,sector,stabilization_gain,degradation_compensation,network_retention,propagation_bound,recursive_network_stability,rg_similarity,classification
1,Projection,0.1823,0.8756,0.9389,0.0923,0.9356,0.9356,NETWORK-STABILIZED
2,Projection,0.1745,0.8623,0.9245,0.1089,0.9201,0.9201,NETWORK-STABILIZED
4,Projection,0.1589,0.8356,0.8956,0.1423,0.8889,0.8889,NETWORK-STABILIZED
6,Projection,0.1434,0.8089,0.8667,0.1756,0.8578,0.8578,WEAKLY_NETWORKED
8,Projection,0.1278,0.7823,0.8378,0.2089,0.8267,0.8267,WEAKLY_NETWORKED
12,Projection,0.0967,0.7290,0.7801,0.2756,0.7645,0.7645,WEAKLY_NETWORKED
16,Projection,0.0656,0.6756,0.7223,0.3423,0.7023,0.7023,DEGRADATION-SPREADING
20,Projection,0.0345,0.6223,0.6645,0.4089,0.6401,0.6401,DEGRADATION-SPREADING
1,Antisymmetry,0.1623,0.8256,0.8656,0.1423,0.8589,0.8589,NETWORK-STABILIZED
2,Antisymmetry,0.1512,0.8089,0.8489,0.1656,0.8401,0.8401,NETWORK-STABILIZED
4,Antisymmetry,0.1289,0.7756,0.8156,0.2123,0.8023,0.8023,WEAKLY_NETWORKED
6,Antisymmetry,0.1067,0.7423,0.7823,0.2589,0.7645,0.7645,WEAKLY_NETWORKED
8,Antisymmetry,0.0845,0.7090,0.7490,0.3056,0.7267,0.7267,WEAKLY_NETWORKED
12,Antisymmetry,0.0401,0.6434,0.6834,0.3989,0.6512,0.6512,DEGRADATION-SPREADING
16,Antisymmetry,0.0056,0.5778,0.6178,0.4923,0.5756,0.5756,COLLAPSING
20,Antisymmetry,-0.0289,0.5123,0.5523,0.5856,0.5001,0.5001,COLLAPSING
1,Neutral,0.1289,0.7523,0.7823,0.2289,0.7756,0.7756,WEAKLY_NETWORKED
2,Neutral,0.1123,0.7290,0.7590,0.2589,0.7489,0.7489,WEAKLY_NETWORKED
4,Neutral,0.0790,0.6823,0.7123,0.3189,0.6956,0.6956,WEAKLY_NETWORKED
6,Neutral,0.0456,0.6356,0.6656,0.3789,0.6423,0.6423,DEGRADATION-SPREADING
8,Neutral,0.0123,0.5890,0.6190,0.4389,0.5890,0.5890,DEGRADATION-SPREADING
12,Neutral,-0.0434,0.4967,0.5267,0.5589,0.4823,0.4823,COLLAPSING
16,Neutral,-0.0990,0.4045,0.4345,0.6789,0.3756,0.3756,COLLAPSING
20,Neutral,-0.1545,0.3123,0.3423,0.7989,0.2689,0.2689,COLLAPSING
1,Projection-Antisymmetry,0.1923,0.8956,0.9189,0.1123,0.9123,0.9123,NETWORK-STABILIZED
2,Projection-Antisymmetry,0.1823,0.8812,0.9023,0.1323,0.8956,0.8956,NETWORK-STABILIZED
4,Projection-Antisymmetry,0.1623,0.8523,0.8690,0.1723,0.8623,0.8623,NETWORK-STABILIZED
6,Projection-Antisymmetry,0.1423,0.8234,0.8356,0.2123,0.8290,0.8290,WEAKLY_NETWORKED
8,Projection-Antisymmetry,0.1223,0.7945,0.8023,0.2523,0.7956,0.7956,WEAKLY_NETWORKED
12,Projection-Antisymmetry,0.0823,0.7378,0.7356,0.3323,0.7289,0.7289,WEAKLY_NETWORKED
16,Projection-Antisymmetry,0.0423,0.6812,0.6689,0.4123,0.6623,0.6623,DEGRADATION-SPREADING
20,Projection-Antisymmetry,0.0023,0.6245,0.6023,0.4923,0.5956,0.5956,COLLAPSING
1,Projection-Neutral,0.1623,0.8323,0.8589,0.1789,0.8489,0.8489,NETWORK-STABILIZED
2,Projection-Neutral,0.1489,0.8156,0.8389,0.2089,0.8289,0.8289,NETWORK-STABILIZED
4,Projection-Neutral,0.1223,0.7823,0.7989,0.2689,0.7889,0.7889,WEAKLY_NETWORKED
6,Projection-Neutral,0.0956,0.7490,0.7589,0.3289,0.7489,0.7489,WEAKLY_NETWORKED
8,Projection-Neutral,0.0689,0.7156,0.7189,0.3889,0.7089,0.7089,WEAKLY_NETWORKED
12,Projection-Neutral,0.0156,0.6501,0.6389,0.5089,0.6289,0.6289,DEGRADATION-SPREADING
16,Projection-Neutral,-0.0378,0.5845,0.5589,0.6289,0.5489,0.5489,COLLAPSING
20,Projection-Neutral,-0.0912,0.5189,0.4789,0.7489,0.4689,0.4689,COLLAPSING
1,Antisymmetry-Neutral,0.1089,0.7489,0.7523,0.2723,0.7456,0.7456,WEAKLY_NETWORKED
2,Antisymmetry-Neutral,0.0890,0.7223,0.7223,0.3089,0.7156,0.7156,WEAKLY_NETWORKED
4,Antisymmetry-Neutral,0.0490,0.6690,0.6623,0.3823,0.6556,0.6556,DEGRADATION-SPREADING
6,Antisymmetry-Neutral,0.0090,0.6156,0.6023,0.4556,0.5956,0.5956,DEGRADATION-SPREADING
8,Antisymmetry-Neutral,-0.0310,0.5623,0.5423,0.5289,0.5356,0.5356,COLLAPSING
12,Antisymmetry-Neutral,-0.1112,0.4556,0.4223,0.6756,0.4156,0.4156,COLLAPSING
16,Antisymmetry-Neutral,-0.1912,0.3489,0.3023,0.8223,0.2956,0.2956,COLLAPSING
20,Antisymmetry-Neutral,-0.2712,0.2423,0.1823,0.9689,0.1756,0.1756,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.2123,0.9189,0.9389,0.0889,0.9312,0.9312,NETWORK-STABILIZED
2,Projection-Antisymmetry-Neutral,0.2012,0.9045,0.9212,0.1089,0.9145,0.9145,NETWORK-STABILIZED
4,Projection-Antisymmetry-Neutral,0.1790,0.8767,0.8856,0.1489,0.8812,0.8812,NETWORK-STABILIZED
6,Projection-Antisymmetry-Neutral,0.1567,0.8489,0.8501,0.1889,0.8478,0.8478,NETWORK-STABILIZED
8,Projection-Antisymmetry-Neutral,0.1345,0.8212,0.8145,0.2289,0.8145,0.8145,WEAKLY_NETWORKED
12,Projection-Antisymmetry-Neutral,0.0901,0.7678,0.7434,0.3089,0.7489,0.7489,WEAKLY_NETWORKED
16,Projection-Antisymmetry-Neutral,0.0456,0.7145,0.6723,0.3889,0.6834,0.6834,DEGRADATION-SPREADING
20,Projection-Antisymmetry-Neutral,0.0012,0.6612,0.6012,0.4689,0.6178,0.6178,DEGRADATION-SPREADING
