depth,sector,resonant_gain,synchronization_retention,cooperative_amplification,desynchronization_drift,recursive_resonance,rg_similarity,classification
1,Projection,0.2345,0.9456,0.9323,0.0823,0.9389,0.9389,RESONANTLY_STABLE
2,Projection,0.2234,0.9323,0.9189,0.0945,0.9256,0.9256,RESONANTLY_STABLE
4,Projection,0.2012,0.9056,0.8923,0.1189,0.8989,0.8989,RESONANTLY_STABLE
6,Projection,0.1789,0.8789,0.8656,0.1434,0.8723,0.8723,WEAKLY_SYNCHRONIZED
8,Projection,0.1567,0.8523,0.8389,0.1678,0.8456,0.8456,WEAKLY_SYNCHRONIZED
12,Projection,0.1123,0.7989,0.7856,0.2167,0.7923,0.7923,WEAKLY_SYNCHRONIZED
16,Projection,0.0678,0.7456,0.7323,0.2656,0.7389,0.7389,DESYNCHRONIZING
20,Projection,0.0234,0.6923,0.6789,0.3145,0.6856,0.6856,DESYNCHRONIZING
1,Antisymmetry,0.1989,0.8856,0.8656,0.1323,0.8756,0.8756,RESONANTLY_STABLE
2,Antisymmetry,0.1845,0.8689,0.8489,0.1489,0.8589,0.8589,RESONANTLY_STABLE
4,Antisymmetry,0.1556,0.8356,0.8156,0.1823,0.8256,0.8256,RESONANTLY_STABLE
6,Antisymmetry,0.1267,0.8023,0.7823,0.2156,0.7923,0.7923,WEAKLY_SYNCHRONIZED
8,Antisymmetry,0.0978,0.7690,0.7490,0.2489,0.7590,0.7590,WEAKLY_SYNCHRONIZED
12,Antisymmetry,0.0401,0.7034,0.6834,0.3156,0.6934,0.6934,DESYNCHRONIZING
16,Antisymmetry,-0.0178,0.6378,0.6178,0.3823,0.6278,0.6278,COLLAPSING
20,Antisymmetry,-0.0756,0.5723,0.5523,0.4490,0.5623,0.5623,COLLAPSING
1,Neutral,0.1523,0.7989,0.7656,0.2189,0.7889,0.7889,WEAKLY_SYNCHRONIZED
2,Neutral,0.1323,0.7789,0.7456,0.2389,0.7689,0.7689,WEAKLY_SYNCHRONIZED
4,Neutral,0.0923,0.7389,0.7056,0.2789,0.7289,0.7289,WEAKLY_SYNCHRONIZED
6,Neutral,0.0523,0.6989,0.6656,0.3189,0.6889,0.6889,WEAKLY_SYNCHRONIZED
8,Neutral,0.0123,0.6590,0.6256,0.3589,0.6490,0.6490,DESYNCHRONIZING
12,Neutral,-0.0678,0.5790,0.5456,0.4389,0.5690,0.5690,COLLAPSING
16,Neutral,-0.1489,0.4990,0.4656,0.5189,0.4890,0.4890,COLLAPSING
20,Neutral,-0.2301,0.4190,0.3856,0.5989,0.4090,0.4090,COLLAPSING
1,Projection-Antisymmetry,0.2512,0.9356,0.9212,0.0923,0.9289,0.9289,RESONANTLY_STABLE
2,Projection-Antisymmetry,0.2378,0.9223,0.9078,0.1056,0.9156,0.9156,RESONANTLY_STABLE
4,Projection-Antisymmetry,0.2112,0.8956,0.8812,0.1323,0.8890,0.8890,RESONANTLY_STABLE
6,Projection-Antisymmetry,0.1845,0.8689,0.8545,0.1590,0.8623,0.8623,WEAKLY_SYNCHRONIZED
8,Projection-Antisymmetry,0.1578,0.8423,0.8278,0.1856,0.8356,0.8356,WEAKLY_SYNCHRONIZED
12,Projection-Antisymmetry,0.1045,0.7890,0.7745,0.2389,0.7823,0.7823,WEAKLY_SYNCHRONIZED
16,Projection-Antisymmetry,0.0512,0.7356,0.7212,0.2923,0.7289,0.7289,DESYNCHRONIZING
20,Projection-Antisymmetry,-0.0023,0.6823,0.6678,0.3456,0.6756,0.6756,DESYNCHRONIZING
1,Projection-Neutral,0.2123,0.8756,0.8523,0.1689,0.8689,0.8689,RESONANTLY_STABLE
2,Projection-Neutral,0.1923,0.8589,0.8356,0.1856,0.8523,0.8523,RESONANTLY_STABLE
4,Projection-Neutral,0.1523,0.8256,0.8023,0.2189,0.8190,0.8190,WEAKLY_SYNCHRONIZED
6,Projection-Neutral,0.1123,0.7923,0.7690,0.2523,0.7856,0.7856,WEAKLY_SYNCHRONIZED
8,Projection-Neutral,0.0723,0.7590,0.7356,0.2856,0.7523,0.7523,WEAKLY_SYNCHRONIZED
12,Projection-Neutral,0.0078,0.6923,0.6689,0.3523,0.6856,0.6856,DESYNCHRONIZING
16,Projection-Neutral,-0.0567,0.6256,0.6023,0.4190,0.6189,0.6189,COLLAPSING
20,Projection-Neutral,-0.1212,0.5590,0.5356,0.4856,0.5523,0.5523,COLLAPSING
1,Antisymmetry-Neutral,0.1389,0.7756,0.7356,0.2623,0.7689,0.7689,WEAKLY_SYNCHRONIZED
2,Antisymmetry-Neutral,0.1123,0.7556,0.7156,0.2823,0.7489,0.7489,WEAKLY_SYNCHRONIZED
4,Antisymmetry-Neutral,0.0590,0.7156,0.6756,0.3223,0.7089,0.7089,WEAKLY_SYNCHRONIZED
6,Antisymmetry-Neutral,0.0056,0.6756,0.6356,0.3623,0.6689,0.6689,DESYNCHRONIZING
8,Antisymmetry-Neutral,-0.0478,0.6356,0.5956,0.4023,0.6289,0.6289,DESYNCHRONIZING
12,Antisymmetry-Neutral,-0.1412,0.5556,0.5156,0.4823,0.5489,0.5489,COLLAPSING
16,Antisymmetry-Neutral,-0.2345,0.4756,0.4356,0.5623,0.4689,0.4689,COLLAPSING
20,Antisymmetry-Neutral,-0.3278,0.3956,0.3556,0.6423,0.3889,0.3889,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.2723,0.9589,0.9456,0.0689,0.9523,0.9523,RESONANTLY_STABLE
2,Projection-Antisymmetry-Neutral,0.2589,0.9456,0.9323,0.0823,0.9389,0.9389,RESONANTLY_STABLE
4,Projection-Antisymmetry-Neutral,0.2323,0.9189,0.9056,0.1090,0.9123,0.9123,RESONANTLY_STABLE
6,Projection-Antisymmetry-Neutral,0.2056,0.8923,0.8789,0.1356,0.8856,0.8856,WEAKLY_SYNCHRONIZED
8,Projection-Antisymmetry-Neutral,0.1789,0.8656,0.8523,0.1623,0.8589,0.8589,WEAKLY_SYNCHRONIZED
12,Projection-Antisymmetry-Neutral,0.1256,0.8123,0.7989,0.2167,0.8056,0.8056,WEAKLY_SYNCHRONIZED
16,Projection-Antisymmetry-Neutral,0.0723,0.7590,0.7456,0.2712,0.7523,0.7523,DESYNCHRONIZING
20,Projection-Antisymmetry-Neutral,0.0190,0.7056,0.6923,0.3256,0.6989,0.6989,DESYNCHRONIZING
