depth,sector,selective_gain,pathway_discrimination,suppression_efficiency,persistence_retention,recursive_selectivity,rg_similarity,classification
1,Projection,0.2823,0.9389,0.8256,0.9323,0.9289,0.9289,SELECTIVELY_STABLE
2,Projection,0.2689,0.9256,0.8112,0.9189,0.9156,0.9156,SELECTIVELY_STABLE
4,Projection,0.2423,0.8989,0.7823,0.8923,0.8890,0.8890,SELECTIVELY_STABLE
6,Projection,0.2156,0.8723,0.7534,0.8656,0.8623,0.8623,FILTER-PRESERVING
8,Projection,0.1889,0.8456,0.7245,0.8389,0.8356,0.8356,WEAKLY_SELECTIVE
12,Projection,0.1356,0.7912,0.6678,0.7856,0.7823,0.7823,WEAKLY_SELECTIVE
16,Projection,0.0823,0.7367,0.6112,0.7323,0.7290,0.7290,WEAKLY_SELECTIVE
20,Projection,0.0290,0.6823,0.5545,0.6789,0.6756,0.6756,NONDISCRIMINATING
1,Antisymmetry,0.2345,0.8756,0.7656,0.8656,0.8589,0.8589,SELECTIVELY_STABLE
2,Antisymmetry,0.2156,0.8589,0.7478,0.8489,0.8423,0.8423,SELECTIVELY_STABLE
4,Antisymmetry,0.1778,0.8256,0.7123,0.8156,0.8090,0.8090,FILTER-PRESERVING
6,Antisymmetry,0.1401,0.7923,0.6767,0.7823,0.7756,0.7756,WEAKLY_SELECTIVE
8,Antisymmetry,0.1023,0.7590,0.6412,0.7490,0.7423,0.7423,WEAKLY_SELECTIVE
12,Antisymmetry,0.0267,0.6934,0.5701,0.6834,0.6767,0.6767,NONDISCRIMINATING
16,Antisymmetry,-0.0490,0.6278,0.4989,0.6178,0.6112,0.6112,COLLAPSING
20,Antisymmetry,-0.1245,0.5623,0.4278,0.5523,0.5456,0.5456,COLLAPSING
1,Neutral,0.1656,0.7856,0.6789,0.7756,0.7689,0.7689,FILTER-PRESERVING
2,Neutral,0.1412,0.7656,0.6578,0.7556,0.7489,0.7489,WEAKLY_SELECTIVE
4,Neutral,0.0923,0.7256,0.6156,0.7156,0.7089,0.7089,WEAKLY_SELECTIVE
6,Neutral,0.0434,0.6856,0.5734,0.6756,0.6689,0.6689,WEAKLY_SELECTIVE
8,Neutral,-0.0056,0.6456,0.5312,0.6356,0.6289,0.6289,NONDISCRIMINATING
12,Neutral,-0.1023,0.5656,0.4478,0.5556,0.5489,0.5489,COLLAPSING
16,Neutral,-0.1989,0.4856,0.3645,0.4756,0.4689,0.4689,COLLAPSING
20,Neutral,-0.2956,0.4056,0.2812,0.3956,0.3889,0.3889,COLLAPSING
1,Projection-Antisymmetry,0.3012,0.9523,0.8412,0.9389,0.9323,0.9323,SELECTIVELY_STABLE
2,Projection-Antisymmetry,0.2856,0.9389,0.8267,0.9256,0.9189,0.9189,SELECTIVELY_STABLE
4,Projection-Antisymmetry,0.2545,0.9123,0.7978,0.8989,0.8923,0.8923,SELECTIVELY_STABLE
6,Projection-Antisymmetry,0.2234,0.8856,0.7689,0.8723,0.8656,0.8656,FILTER-PRESERVING
8,Projection-Antisymmetry,0.1923,0.8589,0.7401,0.8456,0.8389,0.8389,WEAKLY_SELECTIVE
12,Projection-Antisymmetry,0.1301,0.8045,0.6834,0.7912,0.7845,0.7845,WEAKLY_SELECTIVE
16,Projection-Antisymmetry,0.0678,0.7501,0.6267,0.7367,0.7301,0.7301,WEAKLY_SELECTIVE
20,Projection-Antisymmetry,0.0056,0.6956,0.5701,0.6823,0.6756,0.6756,NONDISCRIMINATING
