depth,sector,domain_coherence,boundary_retention,degradation_penetration,persistence_density,recursive_domain_stability,rg_similarity,classification
1,Projection,0.9279,0.9622,0.1264,0.9351,0.9417,0.8494,DOMAIN-STABLE
2,Projection,0.9204,0.9412,0.1118,0.9104,0.924,0.8544,DOMAIN-STABLE
4,Projection,0.8762,0.9178,0.1326,0.9,0.898,0.8261,DOMAIN-STABLE
6,Projection,0.8755,0.8637,0.1551,0.8855,0.8749,0.8435,DOMAIN-STABLE
8,Projection,0.8364,0.8453,0.1437,0.8327,0.8381,0.8021,DOMAIN-STABLE
12,Projection,0.7841,0.828,0.1731,0.8076,0.8066,0.7648,WEAKLY_DOMAINED
16,Projection,0.7773,0.7678,0.1577,0.7778,0.7743,0.7727,WEAKLY_DOMAINED
20,Projection,0.7203,0.7448,0.1846,0.7387,0.7346,0.6992,WEAKLY_DOMAINED
1,Antisymmetry,0.8922,0.8979,0.1759,0.8921,0.894,0.8464,DOMAIN-STABLE
2,Antisymmetry,0.8815,0.8768,0.1782,0.8746,0.8776,0.8565,DOMAIN-STABLE
4,Antisymmetry,0.8372,0.8608,0.1682,0.8624,0.8535,0.8537,DOMAIN-STABLE
6,Antisymmetry,0.8085,0.8197,0.1753,0.8184,0.8155,0.856,DOMAIN-STABLE
8,Antisymmetry,0.7969,0.7935,0.1878,0.7906,0.7937,0.7882,WEAKLY_DOMAINED
12,Antisymmetry,0.7664,0.7591,0.2208,0.7501,0.7585,0.805,WEAKLY_DOMAINED
16,Antisymmetry,0.7078,0.7407,0.205,0.7227,0.7237,0.7384,WEAKLY_DOMAINED
20,Antisymmetry,0.6837,0.7006,0.2283,0.7002,0.6948,0.7488,BOUNDARY-DEGRADING
1,Neutral,0.8152,0.817,0.2597,0.8035,0.8119,0.9003,WEAKLY_DOMAINED
2,Neutral,0.7983,0.8302,0.246,0.8066,0.8117,0.875,WEAKLY_DOMAINED
4,Neutral,0.7834,0.8031,0.2434,0.799,0.7952,0.8542,WEAKLY_DOMAINED
6,Neutral,0.7593,0.7694,0.2625,0.7587,0.7625,0.8119,WEAKLY_DOMAINED
8,Neutral,0.7461,0.7309,0.2946,0.7463,0.7411,0.8245,WEAKLY_DOMAINED
12,Neutral,0.7193,0.7166,0.29,0.6979,0.7113,0.7892,WEAKLY_DOMAINED
16,Neutral,0.67,0.685,0.3121,0.6587,0.6712,0.7284,BOUNDARY-DEGRADING
20,Neutral,0.6442,0.6356,0.3207,0.629,0.6363,0.7406,COLLAPSING
1,Projection-Antisymmetry,0.8039,0.8284,0.2574,0.8355,0.8226,0.8461,WEAKLY_DOMAINED
2,Projection-Antisymmetry,0.8142,0.8241,0.2511,0.7996,0.8126,0.8581,WEAKLY_DOMAINED
4,Projection-Antisymmetry,0.7792,0.8074,0.2478,0.7962,0.7942,0.861,WEAKLY_DOMAINED
6,Projection-Antisymmetry,0.7526,0.7669,0.2823,0.7634,0.7609,0.8075,WEAKLY_DOMAINED
8,Projection-Antisymmetry,0.7348,0.7333,0.2579,0.7273,0.7318,0.8222,WEAKLY_DOMAINED
12,Projection-Antisymmetry,0.7099,0.6927,0.2998,0.7166,0.7064,0.7982,WEAKLY_DOMAINED
16,Projection-Antisymmetry,0.6547,0.6723,0.2982,0.6793,0.6688,0.7426,BOUNDARY-DEGRADING
