depth,sector,transfer_retention,propagation_stability,degradation_loss,cooperative_transfer_gain,recursive_transfer_persistence,rg_similarity,classification
1,Projection,0.96,0.9431,0.1052,0.1148,0.9515,0.864,TRANSFER-STABLE
2,Projection,0.9391,0.9107,0.0983,0.1191,0.9249,0.874,TRANSFER-STABLE
4,Projection,0.9157,0.8968,0.1227,0.115,0.9063,0.8432,TRANSFER-STABLE
6,Projection,0.8616,0.8859,0.1415,0.1261,0.8738,0.8532,TRANSFER-STABLE
8,Projection,0.8433,0.8451,0.1168,0.1177,0.8442,0.8334,TRANSFER-STABLE
12,Projection,0.8261,0.8156,0.1506,0.0,0.8208,0.8069,TRANSFER-STABLE
16,Projection,0.766,0.7534,0.1744,0.0,0.7597,0.7639,WEAKLY_TRANSFERRED
20,Projection,0.7431,0.7309,0.1814,0.0,0.737,0.729,WEAKLY_TRANSFERRED
1,Antisymmetry,0.8946,0.8893,0.1755,0.0905,0.892,0.8925,TRANSFER-STABLE
2,Antisymmetry,0.8735,0.8743,0.1753,0.0965,0.8739,0.8457,TRANSFER-STABLE
4,Antisymmetry,0.8576,0.8321,0.1967,0.1009,0.8449,0.8315,TRANSFER-STABLE
6,Antisymmetry,0.8166,0.8085,0.1828,0.107,0.8126,0.8204,TRANSFER-STABLE
8,Antisymmetry,0.7905,0.7915,0.1836,0.0897,0.791,0.8135,WEAKLY_TRANSFERRED
12,Antisymmetry,0.7563,0.7679,0.1969,0.0,0.7621,0.7935,WEAKLY_TRANSFERRED
16,Antisymmetry,0.738,0.7077,0.2202,0.0,0.7228,0.7182,WEAKLY_TRANSFERRED
20,Antisymmetry,0.698,0.6845,0.2453,0.0,0.6913,0.6876,TRANSFER-DEGRADING
1,Neutral,0.8137,0.8231,0.2368,0.0851,0.8184,0.8638,WEAKLY_TRANSFERRED
2,Neutral,0.8269,0.7934,0.2561,0.0793,0.8102,0.8717,WEAKLY_TRANSFERRED
4,Neutral,0.8,0.7605,0.2803,0.0777,0.7802,0.8551,WEAKLY_TRANSFERRED
6,Neutral,0.7663,0.7501,0.2684,0.0689,0.7582,0.831,WEAKLY_TRANSFERRED
8,Neutral,0.728,0.7524,0.2846,0.0784,0.7402,0.8228,WEAKLY_TRANSFERRED
