depth,sector,modular_coherence,module_independence,cross_module_degradation,cooperative_modular_gain,recursive_modular_persistence,rg_similarity,classification
1,Projection,0.924,0.8906,0.1109,0.1447,0.9073,0.8637,MODULAR-STABLE
2,Projection,0.8995,0.8859,0.1269,0.1576,0.8927,0.8414,MODULAR-STABLE
4,Projection,0.8894,0.8526,0.1246,0.1612,0.871,0.8328,MODULAR-STABLE
6,Projection,0.8751,0.8495,0.1491,0.1505,0.8623,0.8572,MODULAR-STABLE
8,Projection,0.8226,0.8112,0.1535,0.1598,0.8169,0.8066,MODULAR-STABLE
12,Projection,0.798,0.7663,0.17,0.1474,0.7822,0.7804,WEAKLY_MODULAR
16,Projection,0.7688,0.7505,0.1746,0.0,0.7597,0.7685,WEAKLY_MODULAR
20,Projection,0.7301,0.6939,0.1838,0.0,0.712,0.7133,WEAKLY_MODULAR
1,Antisymmetry,0.8788,0.8385,0.1632,0.1089,0.8587,0.8883,MODULAR-STABLE
2,Antisymmetry,0.8615,0.838,0.1413,0.1209,0.8498,0.8459,MODULAR-STABLE
4,Antisymmetry,0.8497,0.8224,0.1501,0.1207,0.836,0.8595,MODULAR-STABLE
6,Antisymmetry,0.8061,0.8108,0.1605,0.1187,0.8084,0.8379,MODULAR-STABLE
8,Antisymmetry,0.7785,0.7575,0.1735,0.1154,0.768,0.8043,WEAKLY_MODULAR
12,Antisymmetry,0.7387,0.7464,0.1944,0.1241,0.7425,0.7691,WEAKLY_MODULAR
16,Antisymmetry,0.7119,0.6911,0.1775,0.0,0.7015,0.7536,WEAKLY_MODULAR
20,Antisymmetry,0.6899,0.6808,0.1895,0.0,0.6853,0.7153,MODULE-DEGRADING
1,Neutral,0.7868,0.8012,0.2141,0.0807,0.794,0.8843,WEAKLY_MODULAR
2,Neutral,0.7901,0.7779,0.2287,0.0798,0.784,0.8464,WEAKLY_MODULAR
4,Neutral,0.783,0.7526,0.2358,0.0799,0.7678,0.8215,WEAKLY_MODULAR
6,Neutral,0.7431,0.7153,0.2376,0.0821,0.7292,0.8042,WEAKLY_MODULAR
8,Neutral,0.7312,0.7131,0.2497,0.0917,0.7222,0.8416,WEAKLY_MODULAR
12,Neutral,0.6836,0.6745,0.2506,0.0882,0.679,0.8023,MODULE-DEGRADING
16,Neutral,0.6451,0.6258,0.285,0.0,0.6354,0.7326,COLLAPSING
20,Neutral,0.616,0.6195,0.2802,0.0,0.6177,0.6931,COLLAPSING
1,Projection-Antisymmetry,0.8188,0.765,0.238,0.0765,0.7919,0.8475,WEAKLY_MODULAR
2,Projection-Antisymmetry,0.7831,0.7669,0.2256,0.0803,0.775,0.8714,WEAKLY_MODULAR
4,Projection-Antisymmetry,0.7802,0.7569,0.2339,0.0802,0.7686,0.8218,WEAKLY_MODULAR
6,Projection-Antisymmetry,0.7478,0.7125,0.2391,0.0881,0.7302,0.8344,WEAKLY_MODULAR
8,Projection-Antisymmetry,0.7122,0.7117,0.2634,0.0842,0.712,0.8061,WEAKLY_MODULAR
12,Projection-Antisymmetry,0.7023,0.6796,0.2628,0.0786,0.691,0.7898,WEAKLY_MODULAR
16,Projection-Antisymmetry,0.6656,0.6335,0.275,0.0,0.6496,0.7506,MODULE-DEGRADING
20,Projection-Antisymmetry,0.6398,0.6211,0.2832,0.0,0.6305,0.7174,COLLAPSING
1,Projection-Neutral,0.8233,0.7661,0.2397,0.0875,0.7947,0.863,WEAKLY_MODULAR
2,Projection-Neutral,0.7837,0.7683,0.2338,0.0937,0.776,0.8387,WEAKLY_MODULAR
4,Projection-Neutral,0.7544,0.758,0.241,0.0769,0.7562,0.8452,WEAKLY_MODULAR
6,Projection-Neutral,0.7402,0.7274,0.2441,0.0826,0.7338,0.8029,WEAKLY_MODULAR
8,Projection-Neutral,0.7373,0.7193,0.2523,0.0779,0.7283,0.8361,WEAKLY_MODULAR
12,Projection-Neutral,0.7083,0.6871,0.2486,0.0825,0.6977,0.768,WEAKLY_MODULAR
16,Projection-Neutral,0.6575,0.6382,0.2735,0.0,0.6478,0.7319,MODULE-DEGRADING
20,Projection-Neutral,0.6235,0.6199,0.2929,0.0,0.6217,0.7318,COLLAPSING
1,Antisymmetry-Neutral,0.8196,0.7799,0.2248,0.086,0.7997,0.8835,WEAKLY_MODULAR
2,Antisymmetry-Neutral,0.7833,0.7675,0.2236,0.0834,0.7754,0.8715,WEAKLY_MODULAR
4,Antisymmetry-Neutral,0.7548,0.7394,0.2306,0.0789,0.7471,0.8495,WEAKLY_MODULAR
6,Antisymmetry-Neutral,0.7594,0.7382,0.2244,0.077,0.7488,0.8528,WEAKLY_MODULAR
8,Antisymmetry-Neutral,0.7448,0.6996,0.2387,0.0926,0.7222,0.8309,WEAKLY_MODULAR
12,Antisymmetry-Neutral,0.6942,0.6849,0.2544,0.0799,0.6896,0.8093,MODULE-DEGRADING
16,Antisymmetry-Neutral,0.6683,0.6548,0.2524,0.0,0.6616,0.7227,MODULE-DEGRADING
20,Antisymmetry-Neutral,0.6149,0.5996,0.2692,0.0,0.6072,0.7109,COLLAPSING
1,Projection-Antisymmetry-Neutral,0.8076,0.8011,0.2384,0.0924,0.8043,0.8705,WEAKLY_MODULAR
2,Projection-Antisymmetry-Neutral,0.7896,0.7819,0.2148,0.0852,0.7857,0.8617,WEAKLY_MODULAR
4,Projection-Antisymmetry-Neutral,0.7762,0.7602,0.2198,0.0848,0.7682,0.8301,WEAKLY_MODULAR
6,Projection-Antisymmetry-Neutral,0.7571,0.7446,0.251,0.0929,0.7509,0.8475,WEAKLY_MODULAR
8,Projection-Antisymmetry-Neutral,0.7363,0.7047,0.2411,0.0837,0.7205,0.8077,WEAKLY_MODULAR
12,Projection-Antisymmetry-Neutral,0.6759,0.6598,0.2433,0.0811,0.6679,0.8087,MODULE-DEGRADING
16,Projection-Antisymmetry-Neutral,0.6567,0.6405,0.2836,0.0,0.6486,0.7798,MODULE-DEGRADING
20,Projection-Antisymmetry-Neutral,0.6204,0.6183,0.2698,0.0,0.6194,0.7471,COLLAPSING
