depth,sector,trajectory_stability,correction_strength,divergence_bound,cooperative_pathway_gain,recursive_trajectory_retention,rg_similarity,classification
1,Projection,0.9137,0.9101,0.1384,0.1326,0.9119,0.8816,CANALIZED
2,Projection,0.9257,0.8872,0.1155,0.1403,0.9065,0.849,CANALIZED
4,Projection,0.9058,0.8665,0.1477,0.1291,0.8862,0.8685,CANALIZED
6,Projection,0.8607,0.8673,0.119,0.1322,0.864,0.8591,CANALIZED
8,Projection,0.8543,0.8229,0.1619,0.1391,0.8386,0.7921,CANALIZED
12,Projection,0.789,0.7838,0.1672,0.1423,0.7864,0.7815,WEAKLY_CANALIZED
16,Projection,0.7452,0.7564,0.1742,0.0,0.7508,0.7469,WEAKLY_CANALIZED
20,Projection,0.7118,0.7091,0.1902,0.0,0.7104,0.6949,WEAKLY_CANALIZED
1,Antisymmetry,0.8654,0.8764,0.1754,0.104,0.8709,0.8802,CANALIZED
2,Antisymmetry,0.8764,0.8409,0.1443,0.1073,0.8586,0.8932,CANALIZED
4,Antisymmetry,0.8508,0.8357,0.1659,0.1067,0.8432,0.8433,CANALIZED
6,Antisymmetry,0.8234,0.8089,0.1717,0.1084,0.8161,0.8366,CANALIZED
8,Antisymmetry,0.795,0.7763,0.1664,0.0925,0.7856,0.8015,WEAKLY_CANALIZED
12,Antisymmetry,0.769,0.7345,0.1857,0.0931,0.7517,0.7678,WEAKLY_CANALIZED
16,Antisymmetry,0.7263,0.7075,0.212,0.0,0.7169,0.7247,WEAKLY_CANALIZED
20,Antisymmetry,0.6957,0.6712,0.1954,0.0,0.6835,0.7301,DIVERGENCE-DEGRADING
1,Neutral,0.7958,0.8005,0.2079,0.0756,0.7982,0.8588,WEAKLY_CANALIZED
2,Neutral,0.7823,0.769,0.2286,0.0855,0.7757,0.8814,WEAKLY_CANALIZED
4,Neutral,0.76,0.7413,0.2156,0.0822,0.7506,0.8196,WEAKLY_CANALIZED
6,Neutral,0.743,0.7198,0.2386,0.0732,0.7314,0.8021,WEAKLY_CANALIZED
8,Neutral,0.74,0.7324,0.2406,0.0795,0.7362,0.7957,WEAKLY_CANALIZED
12,Neutral,0.6959,0.6905,0.271,0.0758,0.6932,0.8072,DIVERGENCE-DEGRADING
16,Neutral,0.6616,0.6362,0.2608,0.0,0.6489,0.7523,DIVERGENCE-DEGRADING
20,Neutral,0.6424,0.6026,0.261,0.0,0.6225,0.7046,COLLAPSING
1,Projection-Antisymmetry,0.7875,0.776,0.2332,0.0835,0.7817,0.8477,WEAKLY_CANALIZED
2,Projection-Antisymmetry,0.7832,0.7854,0.2402,0.0715,0.7843,0.8739,WEAKLY_CANALIZED
4,Projection-Antisymmetry,0.7605,0.7414,0.2383,0.0824,0.751,0.874,WEAKLY_CANALIZED
6,Projection-Antisymmetry,0.754,0.7385,0.23,0.0831,0.7463,0.8198,WEAKLY_CANALIZED
8,Projection-Antisymmetry,0.7266,0.711,0.2355,0.0732,0.7188,0.7872,WEAKLY_CANALIZED
12,Projection-Antisymmetry,0.6794,0.6834,0.2608,0.0722,0.6814,0.8085,DIVERGENCE-DEGRADING
16,Projection-Antisymmetry,0.6695,0.646,0.2515,0.0,0.6577,0.7489,DIVERGENCE-DEGRADING
