depth,sector,persistence_renewal,repair_strength,degradation_containment,cooperative_maintenance_gain,recursive_retention_regeneration,rg_similarity,classification
1,Projection,0.9162,0.922,0.83,0.1304,0.9191,0.8884,SELF-MAINTAINING
2,Projection,0.9179,0.8922,0.8048,0.1313,0.9051,0.8522,SELF-MAINTAINING
4,Projection,0.8701,0.8893,0.776,0.1342,0.8797,0.8289,SELF-MAINTAINING
6,Projection,0.8517,0.8685,0.7797,0.1345,0.8601,0.8321,SELF-MAINTAINING
8,Projection,0.841,0.8142,0.7595,0.144,0.8276,0.8295,SELF-MAINTAINING
12,Projection,0.8032,0.7845,0.7146,0.139,0.7938,0.7781,WEAKLY_SELF-MAINTAINING
16,Projection,0.7423,0.7446,0.6698,0.0,0.7435,0.7387,WEAKLY_SELF-MAINTAINING
20,Projection,0.7081,0.6995,0.6437,0.0,0.7038,0.7499,DEGRADATION-DEGRADING
1,Antisymmetry,0.8823,0.8711,0.7732,0.1067,0.8767,0.895,SELF-MAINTAINING
2,Antisymmetry,0.8758,0.872,0.7589,0.0932,0.8739,0.8562,SELF-MAINTAINING
4,Antisymmetry,0.8494,0.8253,0.7599,0.0978,0.8374,0.8568,SELF-MAINTAINING
6,Antisymmetry,0.8289,0.8081,0.7268,0.0935,0.8185,0.8121,WEAKLY_SELF-MAINTAINING
8,Antisymmetry,0.7776,0.7746,0.7202,0.0944,0.7761,0.845,WEAKLY_SELF-MAINTAINING
12,Antisymmetry,0.7386,0.7338,0.6796,0.1065,0.7362,0.7897,WEAKLY_SELF-MAINTAINING
16,Antisymmetry,0.7164,0.6917,0.6471,0.0,0.7041,0.7574,DEGRADATION-DEGRADING
20,Antisymmetry,0.693,0.6788,0.6165,0.0,0.6859,0.6998,DEGRADATION-DEGRADING
1,Neutral,0.8056,0.7835,0.7165,0.0837,0.7946,0.891,WEAKLY_SELF-MAINTAINING
2,Neutral,0.8133,0.792,0.706,0.0846,0.8027,0.864,WEAKLY_SELF-MAINTAINING
4,Neutral,0.7836,0.7401,0.6749,0.0823,0.7618,0.8575,WEAKLY_SELF-MAINTAINING
6,Neutral,0.745,0.7185,0.6524,0.0715,0.7317,0.8329,WEAKLY_SELF-MAINTAINING
8,Neutral,0.7361,0.7048,0.6359,0.0765,0.7204,0.7896,DEGRADATION-DEGRADING
12,Neutral,0.6919,0.6934,0.6122,0.0835,0.6926,0.7567,DEGRADATION-DEGRADING
16,Neutral,0.6614,0.6469,0.5625,0.0,0.6542,0.7562,DEGRADATION-DEGRADING
20,Neutral,0.626,0.6086,0.552,0.0,0.6173,0.7171,COLLAPSING
1,Projection-Antisymmetry,0.8215,0.7761,0.7261,0.0757,0.7988,0.8542,WEAKLY_SELF-MAINTAINING
2,Projection-Antisymmetry,0.7857,0.7871,0.6901,0.0665,0.7864,0.8594,WEAKLY_SELF-MAINTAINING
4,Projection-Antisymmetry,0.7839,0.7748,0.6854,0.0759,0.7793,0.8442,WEAKLY_SELF-MAINTAINING
6,Projection-Antisymmetry,0.7633,0.7294,0.6624,0.0726,0.7464,0.8252,WEAKLY_SELF-MAINTAINING
8,Projection-Antisymmetry,0.7247,0.6996,0.6556,0.0702,0.7122,0.8055,WEAKLY_SELF-MAINTAINING
12,Projection-Antisymmetry,0.6856,0.6941,0.5924,0.0852,0.6899,0.8106,DEGRADATION-DEGRADING
16,Projection-Antisymmetry,0.6609,0.6451,0.5937,0.0,0.653,0.7519,DEGRADATION-DEGRADING
20,Projection-Antisymmetry,0.6326,0.6058,0.5559,0.0,0.6192,0.7369,COLLAPSING
