depth,sector,operator,rg_improvement,closure_retention,multiscale_consistency,degradation_reduction,operator_effectiveness,recursive_retention,rg_similarity,classification
1,Projection,Baseline,0.0125,0.8555,0.8259,0.7805,0.834,0.879,0.7881,OPERATOR-ENHANCED
2,Projection,Baseline,0.0086,0.8321,0.7854,0.7557,0.8289,0.8349,0.7653,OPERATOR-ENHANCED
4,Projection,Baseline,0.0109,0.7749,0.7592,0.702,0.7817,0.8169,0.7324,OPERATOR-PARTIAL
6,Projection,Baseline,0.0066,0.7681,0.7354,0.6643,0.7544,0.7546,0.696,OPERATOR-PARTIAL
8,Projection,Baseline,0.0297,0.7284,0.7038,0.6406,0.702,0.7366,0.6897,OPERATOR-PARTIAL
12,Projection,Baseline,0.0057,0.6547,0.6547,0.5986,0.6527,0.6937,0.614,OPERATOR-WEAK
16,Projection,Baseline,0.001,0.6226,0.5814,0.5595,0.6075,0.6267,0.5651,OPERATOR-WEAK
20,Projection,Baseline,0.0135,0.5822,0.5436,0.5207,0.5578,0.5912,0.5394,OPERATOR-INEFFECTIVE
1,Projection,CrossDepthCoupling,0.0562,0.8952,0.8737,0.7777,0.88,0.89,0.8318,OPERATOR-ENHANCED
2,Projection,CrossDepthCoupling,0.0463,0.8774,0.8611,0.7596,0.8405,0.8536,0.8029,OPERATOR-ENHANCED
4,Projection,CrossDepthCoupling,0.047,0.818,0.7907,0.7282,0.8096,0.8411,0.7685,OPERATOR-ENHANCED
6,Projection,CrossDepthCoupling,0.0387,0.7944,0.7565,0.6958,0.7907,0.7971,0.7281,OPERATOR-PARTIAL
8,Projection,CrossDepthCoupling,0.0601,0.7569,0.7424,0.6674,0.74,0.7648,0.7201,OPERATOR-PARTIAL
12,Projection,CrossDepthCoupling,0.0295,0.6892,0.6865,0.6257,0.6971,0.6852,0.6378,OPERATOR-WEAK
16,Projection,CrossDepthCoupling,0.0349,0.6406,0.63,0.5931,0.6305,0.6392,0.599,OPERATOR-WEAK
20,Projection,CrossDepthCoupling,0.0473,0.5933,0.5966,0.5295,0.5839,0.6143,0.5731,OPERATOR-WEAK
1,Projection,SymmetryCompensation,0.0394,0.8588,0.8647,0.7789,0.8553,0.8879,0.815,OPERATOR-ENHANCED
2,Projection,SymmetryCompensation,0.0326,0.8548,0.8219,0.7719,0.8235,0.8707,0.7893,OPERATOR-ENHANCED
4,Projection,SymmetryCompensation,0.0459,0.7975,0.7884,0.7362,0.7982,0.8255,0.7674,OPERATOR-ENHANCED
6,Projection,SymmetryCompensation,0.0288,0.7915,0.7375,0.7155,0.7702,0.8012,0.7182,OPERATOR-PARTIAL
8,Projection,SymmetryCompensation,0.0387,0.7387,0.7242,0.6667,0.7338,0.7601,0.6988,OPERATOR-PARTIAL
12,Projection,SymmetryCompensation,0.0326,0.6994,0.6533,0.6106,0.6812,0.711,0.6409,OPERATOR-WEAK
16,Projection,SymmetryCompensation,0.047,0.6232,0.6122,0.5636,0.6261,0.6498,0.6111,OPERATOR-WEAK
20,Projection,SymmetryCompensation,0.0175,0.5959,0.5846,0.5345,0.5873,0.6047,0.5434,OPERATOR-INEFFECTIVE
1,Projection,CooperativeClosure,0.0689,0.9,0.8619,0.8233,0.8704,0.89,0.8445,OPERATOR-ENHANCED
2,Projection,CooperativeClosure,0.0692,0.8746,0.8223,0.7683,0.8536,0.8861,0.8258,OPERATOR-ENHANCED
4,Projection,CooperativeClosure,0.0762,0.8486,0.8095,0.7346,0.82,0.8509,0.7977,OPERATOR-ENHANCED
6,Projection,CooperativeClosure,0.0822,0.8122,0.7709,0.7287,0.7943,0.8098,0.7717,OPERATOR-ENHANCED
8,Projection,CooperativeClosure,0.0576,0.7546,0.7351,0.6995,0.7349,0.7676,0.7177,OPERATOR-PARTIAL
12,Projection,CooperativeClosure,0.0612,0.7112,0.6688,0.6165,0.6762,0.7018,0.6696,OPERATOR-PARTIAL
16,Projection,CooperativeClosure,0.0561,0.6533,0.6358,0.5982,0.6293,0.6666,0.6201,OPERATOR-WEAK
20,Projection,CooperativeClosure,0.0412,0.6122,0.5827,0.545,0.5964,0.5972,0.567,OPERATOR-WEAK
1,Projection,AdaptiveScale,0.0879,0.9,0.8712,0.8127,0.88,0.89,0.8635,OPERATOR-COMPLETE
2,Projection,AdaptiveScale,0.0732,0.8844,0.8741,0.8119,0.8616,0.8825,0.8299,OPERATOR-ENHANCED
4,Projection,AdaptiveScale,0.0777,0.8297,0.8245,0.7734,0.8347,0.8531,0.7991,OPERATOR-ENHANCED
6,Projection,AdaptiveScale,0.0719,0.8203,0.7865,0.7174,0.7883,0.7896,0.7614,OPERATOR-ENHANCED
8,Projection,AdaptiveScale,0.0829,0.7662,0.7534,0.681,0.7486,0.7625,0.743,OPERATOR-PARTIAL
12,Projection,AdaptiveScale,0.0681,0.7001,0.6923,0.6345,0.6898,0.7044,0.6764,OPERATOR-PARTIAL
16,Projection,AdaptiveScale,0.0807,0.6664,0.6403,0.5797,0.6566,0.6532,0.6448,OPERATOR-WEAK
20,Projection,AdaptiveScale,0.055,0.6133,0.6083,0.5573,0.6104,0.6223,0.5808,OPERATOR-WEAK
