depth,sector,condition,rg_similarity,closure_persistence,perturbation_resilience,extension_stability,operator_sensitivity,null_control_distance,classification
1,Projection,BaselineReproduction,0.8911,0.8759,0.8605,0.824,0.869,0.3969,CLOSURE-ROBUST
2,Projection,BaselineReproduction,0.8643,0.8318,0.8313,0.8168,0.8227,0.4118,CLOSURE-ROBUST
4,Projection,BaselineReproduction,0.8013,0.799,0.77,0.766,0.8009,0.3965,CLOSURE-STABLE
6,Projection,BaselineReproduction,0.7892,0.7696,0.7257,0.7357,0.7359,0.3623,CLOSURE-STABLE
8,Projection,BaselineReproduction,0.7454,0.7333,0.6962,0.6814,0.7153,0.3522,CLOSURE-PARTIAL
12,Projection,BaselineReproduction,0.6654,0.6764,0.6446,0.6286,0.6686,0.3286,CLOSURE-PARTIAL
16,Projection,BaselineReproduction,0.628,0.5982,0.5981,0.5812,0.5998,0.2944,CLOSURE-WEAK
20,Projection,BaselineReproduction,0.5838,0.556,0.5536,0.5305,0.5627,0.2804,CLOSURE-WEAK
24,Projection,BaselineReproduction,0.537,0.5187,0.5045,0.5075,0.5301,0.2599,CLOSURE-FAILED
28,Projection,BaselineReproduction,0.4993,0.4976,0.4848,0.4612,0.4824,0.2259,CLOSURE-FAILED
32,Projection,BaselineReproduction,0.4657,0.4559,0.446,0.4376,0.4681,0.2198,CLOSURE-FAILED
1,Projection,ParameterPerturbation,0.8758,0.8537,0.7957,0.8168,0.8211,0.4314,CLOSURE-STABLE
2,Projection,ParameterPerturbation,0.856,0.8391,0.7749,0.7739,0.7752,0.3979,CLOSURE-STABLE
4,Projection,ParameterPerturbation,0.7933,0.7657,0.7387,0.742,0.7622,0.3898,CLOSURE-STABLE
6,Projection,ParameterPerturbation,0.767,0.729,0.7025,0.7224,0.7182,0.3725,CLOSURE-STABLE
8,Projection,ParameterPerturbation,0.7274,0.7126,0.6708,0.6719,0.6861,0.3616,CLOSURE-PARTIAL
12,Projection,ParameterPerturbation,0.657,0.6539,0.6237,0.629,0.6083,0.3326,CLOSURE-PARTIAL
16,Projection,ParameterPerturbation,0.6067,0.596,0.587,0.5641,0.564,0.2904,CLOSURE-WEAK
20,Projection,ParameterPerturbation,0.5586,0.5614,0.5215,0.519,0.5405,0.2713,CLOSURE-WEAK
24,Projection,ParameterPerturbation,0.5196,0.5141,0.4966,0.4843,0.4875,0.2517,CLOSURE-FAILED
28,Projection,ParameterPerturbation,0.4895,0.4781,0.4726,0.449,0.4614,0.2452,CLOSURE-FAILED
32,Projection,ParameterPerturbation,0.4701,0.4613,0.4416,0.4369,0.4468,0.2235,CLOSURE-FAILED
1,Projection,RecursiveExtension,0.8394,0.8547,0.8349,0.7683,0.8569,0.4278,CLOSURE-STABLE
2,Projection,RecursiveExtension,0.8335,0.8098,0.8242,0.7365,0.838,0.4038,CLOSURE-STABLE
4,Projection,RecursiveExtension,0.773,0.7727,0.7818,0.7113,0.79,0.376,CLOSURE-STABLE
6,Projection,RecursiveExtension,0.7641,0.719,0.7552,0.6837,0.7635,0.3556,CLOSURE-STABLE
8,Projection,RecursiveExtension,0.7096,0.7031,0.7018,0.6482,0.7208,0.35,CLOSURE-PARTIAL
12,Projection,RecursiveExtension,0.6669,0.6292,0.638,0.5975,0.6694,0.3276,CLOSURE-PARTIAL
16,Projection,RecursiveExtension,0.5898,0.5857,0.5852,0.5449,0.6074,0.2867,CLOSURE-WEAK
20,Projection,RecursiveExtension,0.5611,0.5564,0.5512,0.5086,0.562,0.2759,CLOSURE-WEAK
24,Projection,RecursiveExtension,0.5271,0.5101,0.5072,0.4709,0.5183,0.2449,CLOSURE-FAILED
28,Projection,RecursiveExtension,0.4938,0.474,0.4718,0.4339,0.4762,0.2417,CLOSURE-FAILED
32,Projection,RecursiveExtension,0.4562,0.447,0.4616,0.4098,0.4572,0.2192,CLOSURE-FAILED
1,Projection,NoiseInjection,0.8455,0.8219,0.8033,0.7754,0.8038,0.4177,CLOSURE-STABLE
2,Projection,NoiseInjection,0.8142,0.781,0.7466,0.7587,0.7911,0.408,CLOSURE-STABLE
4,Projection,NoiseInjection,0.7867,0.7659,0.71,0.7256,0.7562,0.3768,CLOSURE-STABLE
6,Projection,NoiseInjection,0.7494,0.7257,0.7015,0.7006,0.7159,0.3751,CLOSURE-PARTIAL
8,Projection,NoiseInjection,0.6917,0.6888,0.6705,0.6426,0.6747,0.3373,CLOSURE-PARTIAL
