depth,sector,condition,rg_similarity,degradation_slope,stability_half_life,drift_accumulation,fragmentation_index,operator_saturation,horizon_extension_gain,classification
1,Projection,BaselineHorizon,0.8915,0.0475,0.864,0.0367,0.0307,0.0235,0.0483,HORIZON-STABLE
2,Projection,BaselineHorizon,0.8453,0.0451,0.854,0.0256,0.0447,0.0234,0.0587,HORIZON-STABLE
4,Projection,BaselineHorizon,0.8089,0.0361,0.7985,0.0385,0.0497,0.0256,0.061,HORIZON-STABLE
6,Projection,BaselineHorizon,0.7765,0.0332,0.764,0.0239,0.0422,0.0397,0.0435,HORIZON-DEGRADING
8,Projection,BaselineHorizon,0.7377,0.0371,0.7065,0.0342,0.0482,0.0337,0.0425,HORIZON-DEGRADING
12,Projection,BaselineHorizon,0.6769,0.0452,0.6482,0.0481,0.0564,0.0303,0.0374,HORIZON-DEGRADING
16,Projection,BaselineHorizon,0.5965,0.0513,0.5967,0.0365,0.0523,0.0265,0.0294,HORIZON-WEAK
20,Projection,BaselineHorizon,0.5525,0.053,0.5432,0.0458,0.0631,0.0409,0.0343,HORIZON-WEAK
24,Projection,BaselineHorizon,0.5138,0.0429,0.5173,0.0554,0.0648,0.0371,0.0315,HORIZON-WEAK
28,Projection,BaselineHorizon,0.4914,0.0603,0.4695,0.0396,0.0453,0.0377,0.0355,HORIZON-COLLAPSING
32,Projection,BaselineHorizon,0.4494,0.0494,0.4443,0.0638,0.0585,0.0282,0.0343,HORIZON-COLLAPSING
40,Projection,BaselineHorizon,0.3996,0.048,0.3935,0.0405,0.0533,0.0535,0.0262,HORIZON-COLLAPSING
1,Projection,DriftAccumulation,0.8693,0.0451,0.8468,0.0728,0.0679,0.0388,0.059,HORIZON-DEGRADING
2,Projection,DriftAccumulation,0.8526,0.0462,0.8015,0.0619,0.0578,0.0305,0.0522,HORIZON-DEGRADING
4,Projection,DriftAccumulation,0.7758,0.0497,0.7654,0.0798,0.0669,0.0462,0.059,HORIZON-DEGRADING
6,Projection,DriftAccumulation,0.7362,0.0512,0.7422,0.0787,0.0703,0.0446,0.0428,HORIZON-DEGRADING
8,Projection,DriftAccumulation,0.7173,0.0534,0.6889,0.0826,0.077,0.05,0.0524,HORIZON-DEGRADING
12,Projection,DriftAccumulation,0.6548,0.0642,0.6412,0.0732,0.0836,0.0465,0.04,HORIZON-WEAK
16,Projection,DriftAccumulation,0.5944,0.0784,0.5731,0.0814,0.0742,0.0494,0.032,HORIZON-WEAK
20,Projection,DriftAccumulation,0.5577,0.06,0.5256,0.1052,0.0805,0.0539,0.0413,HORIZON-WEAK
24,Projection,DriftAccumulation,0.5093,0.0745,0.4889,0.0918,0.0835,0.0603,0.0264,HORIZON-WEAK
28,Projection,DriftAccumulation,0.4724,0.0873,0.4522,0.1037,0.1003,0.0524,0.0293,HORIZON-COLLAPSING
32,Projection,DriftAccumulation,0.4545,0.0874,0.4384,0.1288,0.095,0.0567,0.0295,HORIZON-COLLAPSING
40,Projection,DriftAccumulation,0.3956,0.0996,0.3902,0.1333,0.1051,0.0552,0.0236,HORIZON-COLLAPSING
1,Projection,OperatorSaturation,0.8703,0.0547,0.8183,0.0506,0.0561,0.0886,0.0597,HORIZON-DEGRADING
