depth,sector,condition,rg_similarity,cross_scale_alignment,fragmentation_suppression,closure_extension_gain,drift_compensation_efficiency,recursive_coherence_retention,classification
1,Projection,BaselineDrift,0.8961,0.864,0.0467,0.041,0.8226,0.8466,DRIFT-CORRECTED
2,Projection,BaselineDrift,0.8601,0.8499,0.0355,0.0587,0.7941,0.8337,DRIFT-CORRECTED
4,Projection,BaselineDrift,0.7876,0.7876,0.048,0.0594,0.7466,0.7882,DRIFT-COMPENSATED
6,Projection,BaselineDrift,0.7344,0.7478,0.0336,0.0451,0.7238,0.7225,DRIFT-COMPENSATED
8,Projection,BaselineDrift,0.6974,0.6867,0.0433,0.0476,0.673,0.6834,DRIFT-COMPENSATED
12,Projection,BaselineDrift,0.6345,0.6225,0.056,0.0474,0.5987,0.6127,DRIFT-PARTIAL
16,Projection,BaselineDrift,0.5803,0.5674,0.0449,0.0373,0.5381,0.5503,DRIFT-PARTIAL
20,Projection,BaselineDrift,0.5308,0.5122,0.053,0.0393,0.5059,0.5129,DRIFT-PARTIAL
24,Projection,BaselineDrift,0.4792,0.4844,0.0612,0.0353,0.4619,0.4727,DRIFT-DEGRADING
28,Projection,BaselineDrift,0.456,0.4369,0.0473,0.0209,0.428,0.4463,DRIFT-DEGRADING
32,Projection,BaselineDrift,0.4166,0.4112,0.0678,0.0246,0.3917,0.4176,DRIFT-DEGRADING
40,Projection,BaselineDrift,0.3644,0.361,0.0481,0.0177,0.3588,0.3628,DRIFT-DEGRADING
48,Projection,BaselineDrift,0.3295,0.3249,0.0637,0.0175,0.3205,0.3168,DRIFT-FAILED
1,Projection,DynamicScaleAlignment,0.9113,0.91,0.005,0.1268,0.88,0.89,DRIFT-CORRECTED
2,Projection,DynamicScaleAlignment,0.8813,0.9039,0.005,0.1064,0.856,0.8734,DRIFT-CORRECTED
4,Projection,DynamicScaleAlignment,0.8293,0.8546,0.005,0.1088,0.8279,0.8308,DRIFT-CORRECTED
