depth,sector,condition,rg_similarity,self_maintenance_index,correction_regeneration_rate,stabilization_overhead,recursive_repair_efficiency,coherence_retention,maintenance_convergence,classification
1,Projection,RecursiveOpSelfReinforcement,0.9396,0.92,0.8569,0.005,0.8766,0.89,0.8658,SELF-MAINTAINING
2,Projection,RecursiveOpSelfReinforcement,0.9185,0.8709,0.8493,0.005,0.8585,0.8823,0.836,SELF-MAINTAINING
4,Projection,RecursiveOpSelfReinforcement,0.8446,0.8287,0.7945,0.005,0.8044,0.7931,0.7803,SELF-MAINTAINING
6,Projection,RecursiveOpSelfReinforcement,0.7952,0.7491,0.7275,0.0077,0.7325,0.7469,0.7131,COHERENCE-REGENERATIVE
8,Projection,RecursiveOpSelfReinforcement,0.7269,0.7153,0.6884,0.005,0.6882,0.7054,0.6723,COHERENCE-REGENERATIVE
12,Projection,RecursiveOpSelfReinforcement,0.6512,0.649,0.6179,0.005,0.6101,0.6323,0.6039,COHERENCE-PARTIAL
16,Projection,RecursiveOpSelfReinforcement,0.588,0.5699,0.5488,0.005,0.5432,0.5642,0.5368,COHERENCE-DEGRADING
20,Projection,RecursiveOpSelfReinforcement,0.5275,0.5239,0.5055,0.005,0.5023,0.5157,0.4853,COHERENCE-DEGRADING
24,Projection,RecursiveOpSelfReinforcement,0.4947,0.4851,0.4621,0.005,0.46,0.4755,0.4516,COHERENCE-DEGRADING
28,Projection,RecursiveOpSelfReinforcement,0.4449,0.4361,0.4118,0.005,0.4317,0.4385,0.4141,COHERENCE-DEGRADING
32,Projection,RecursiveOpSelfReinforcement,0.4165,0.4171,0.3887,0.005,0.4021,0.3992,0.3747,COHERENCE-DEGRADING
40,Projection,RecursiveOpSelfReinforcement,0.363,0.352,0.3352,0.0085,0.3469,0.359,0.3278,COHERENCE-FAILED
48,Projection,RecursiveOpSelfReinforcement,0.3246,0.3184,0.3,0.0084,0.3013,0.3084,0.2914,COHERENCE-FAILED
64,Projection,RecursiveOpSelfReinforcement,0.2667,0.2643,0.2436,0.0137,0.2529,0.2539,0.2381,COHERENCE-FAILED
1,Projection,AutonomousCorrectionCycling,0.94,0.9011,0.8814,0.0088,0.88,0.89,0.8744,SELF-MAINTAINING
2,Projection,AutonomousCorrectionCycling,0.8857,0.8432,0.826,0.005,0.8404,0.8798,0.839,SELF-MAINTAINING
4,Projection,AutonomousCorrectionCycling,0.8303,0.8091,0.7791,0.015,0.7929,0.8349,0.7829,SELF-MAINTAINING
6,Projection,AutonomousCorrectionCycling,0.791,0.7489,0.7289,0.0126,0.7232,0.7753,0.708,COHERENCE-REGENERATIVE
8,Projection,AutonomousCorrectionCycling,0.7259,0.7036,0.6894,0.0171,0.6928,0.7244,0.6668,COHERENCE-REGENERATIVE
12,Projection,AutonomousCorrectionCycling,0.6586,0.6081,0.6147,0.012,0.6064,0.6446,0.6047,COHERENCE-PARTIAL
16,Projection,AutonomousCorrectionCycling,0.5791,0.5505,0.539,0.0133,0.5401,0.5688,0.54,COHERENCE-DEGRADING
20,Projection,AutonomousCorrectionCycling,0.5232,0.516,0.4918,0.016,0.505,0.5092,0.4912,COHERENCE-DEGRADING
24,Projection,AutonomousCorrectionCycling,0.4801,0.4591,0.4499,0.0204,0.4488,0.486,0.4593,COHERENCE-DEGRADING
28,Projection,AutonomousCorrectionCycling,0.4395,0.428,0.4234,0.0117,0.4196,0.4468,0.4071,COHERENCE-DEGRADING
32,Projection,AutonomousCorrectionCycling,0.4204,0.4083,0.3873,0.0141,0.3921,0.4017,0.3847,COHERENCE-DEGRADING
40,Projection,AutonomousCorrectionCycling,0.3681,0.3536,0.3395,0.01,0.3401,0.3633,0.3398,COHERENCE-FAILED
48,Projection,AutonomousCorrectionCycling,0.3286,0.3129,0.2975,0.005,0.2971,0.3228,0.3055,COHERENCE-FAILED
64,Projection,AutonomousCorrectionCycling,0.2647,0.2538,0.2481,0.0245,0.2486,0.2613,0.2431,COHERENCE-FAILED
1,Projection,StabilizationRegeneration,0.94,0.92,0.8978,0.005,0.88,0.89,0.8757,SELF-MAINTAINING
2,Projection,StabilizationRegeneration,0.8968,0.8957,0.8511,0.005,0.8503,0.8709,0.8402,SELF-MAINTAINING
4,Projection,StabilizationRegeneration,0.8452,0.8271,0.7836,0.005,0.8081,0.8186,0.79,SELF-MAINTAINING
6,Projection,StabilizationRegeneration,0.7959,0.7836,0.7294,0.005,0.7549,0.7659,0.7354,SELF-MAINTAINING
