depth,sector,condition,rg_similarity,equilibrium_stability,transport_balance_index,bottleneck_equalization,recursive_flow_coherence,asymptotic_decay_suppression,equilibrium_persistence,classification
1,Projection,EquilibriumConvergenceAnalysis,0.96,0.94,0.93,0.92,0.8928,0.9,0.9113,EQUILIBRIUM-STABLE
2,Projection,EquilibriumConvergenceAnalysis,0.96,0.911,0.9243,0.8996,0.8671,0.8762,0.873,EQUILIBRIUM-STABLE
4,Projection,EquilibriumConvergenceAnalysis,0.885,0.8622,0.8534,0.8258,0.8168,0.811,0.8433,EQUILIBRIUM-STABLE
6,Projection,EquilibriumConvergenceAnalysis,0.8331,0.8169,0.822,0.7792,0.764,0.7843,0.7791,EQUILIBRIUM-STABLE
8,Projection,EquilibriumConvergenceAnalysis,0.8065,0.7788,0.7624,0.7486,0.7558,0.7356,0.7549,EQUILIBRIUM-STABLE
12,Projection,EquilibriumConvergenceAnalysis,0.7258,0.6887,0.6981,0.6891,0.6823,0.672,0.6656,EQUILIBRIUM-BOUNDED
16,Projection,EquilibriumConvergenceAnalysis,0.6655,0.6391,0.6314,0.6153,0.6004,0.6195,0.6311,EQUILIBRIUM-PARTIAL
20,Projection,EquilibriumConvergenceAnalysis,0.616,0.5901,0.582,0.5741,0.5559,0.5623,0.5626,EQUILIBRIUM-PARTIAL
24,Projection,EquilibriumConvergenceAnalysis,0.563,0.5361,0.5381,0.5296,0.5294,0.5253,0.5215,EQUILIBRIUM-DEGRADING
32,Projection,EquilibriumConvergenceAnalysis,0.4897,0.4759,0.4669,0.466,0.4452,0.4579,0.4667,EQUILIBRIUM-DEGRADING
40,Projection,EquilibriumConvergenceAnalysis,0.433,0.4142,0.422,0.4096,0.402,0.4009,0.4143,EQUILIBRIUM-DEGRADING
48,Projection,EquilibriumConvergenceAnalysis,0.3939,0.3767,0.3688,0.3619,0.3537,0.3679,0.3729,EQUILIBRIUM-FAILED
64,Projection,EquilibriumConvergenceAnalysis,0.3255,0.3081,0.3055,0.3031,0.303,0.3033,0.2993,EQUILIBRIUM-FAILED
80,Projection,EquilibriumConvergenceAnalysis,0.2764,0.2701,0.2663,0.2635,0.2569,0.2594,0.2559,EQUILIBRIUM-FAILED
96,Projection,EquilibriumConvergenceAnalysis,0.2435,0.2354,0.235,0.2274,0.2254,0.2236,0.2241,EQUILIBRIUM-FAILED
128,Projection,EquilibriumConvergenceAnalysis,0.1913,0.1896,0.1829,0.1806,0.1756,0.1815,0.178,EQUILIBRIUM-FAILED
160,Projection,EquilibriumConvergenceAnalysis,0.1606,0.1544,0.1549,0.1502,0.1474,0.148,0.149,EQUILIBRIUM-FAILED
192,Projection,EquilibriumConvergenceAnalysis,0.1411,0.1315,0.1304,0.1302,0.1264,0.1286,0.1279,EQUILIBRIUM-FAILED
256,Projection,EquilibriumConvergenceAnalysis,0.1092,0.1031,0.1025,0.0992,0.0981,0.0997,0.0995,EQUILIBRIUM-FAILED
