depth,sector,condition,rg_similarity,shock_absorption_index,cascade_suppression,recovery_coherence,redistribution_efficiency,equilibrium_resilience,self_healing_persistence,classification
1,Projection,LargeScalePerturbationInjection,0.96,0.9363,0.93,0.9197,0.91,0.9,0.9161,RESILIENCE-STABLE
2,Projection,LargeScalePerturbationInjection,0.96,0.9236,0.9178,0.9016,0.8788,0.8995,0.8952,RESILIENCE-STABLE
4,Projection,LargeScalePerturbationInjection,0.9049,0.8616,0.8739,0.8338,0.8384,0.8492,0.8495,RESILIENCE-STABLE
6,Projection,LargeScalePerturbationInjection,0.8829,0.8294,0.8123,0.8115,0.8095,0.8142,0.8037,RESILIENCE-STABLE
8,Projection,LargeScalePerturbationInjection,0.842,0.8082,0.7699,0.772,0.7639,0.7485,0.7632,RESILIENCE-STABLE
12,Projection,LargeScalePerturbationInjection,0.7467,0.7183,0.7211,0.7011,0.704,0.7032,0.6956,RESILIENCE-BOUNDED
16,Projection,LargeScalePerturbationInjection,0.6836,0.6759,0.6712,0.6492,0.6352,0.6508,0.6385,RESILIENCE-BOUNDED
20,Projection,LargeScalePerturbationInjection,0.6392,0.6207,0.6212,0.5966,0.5856,0.5858,0.5885,RESILIENCE-PARTIAL
24,Projection,LargeScalePerturbationInjection,0.5932,0.5686,0.5748,0.5508,0.5527,0.547,0.5633,RESILIENCE-PARTIAL
32,Projection,LargeScalePerturbationInjection,0.5265,0.5125,0.4921,0.4863,0.4885,0.4831,0.4789,RESILIENCE-DEGRADING
40,Projection,LargeScalePerturbationInjection,0.4649,0.4422,0.4498,0.428,0.4269,0.4255,0.4311,RESILIENCE-DEGRADING
48,Projection,LargeScalePerturbationInjection,0.4229,0.4035,0.4018,0.3896,0.3803,0.3807,0.3983,RESILIENCE-DEGRADING
64,Projection,LargeScalePerturbationInjection,0.3594,0.344,0.3337,0.333,0.3305,0.3287,0.3336,RESILIENCE-FAILED
80,Projection,LargeScalePerturbationInjection,0.3057,0.2931,0.282,0.286,0.2805,0.2821,0.2811,RESILIENCE-FAILED
96,Projection,LargeScalePerturbationInjection,0.265,0.2496,0.2485,0.2516,0.2471,0.2468,0.2492,RESILIENCE-FAILED
128,Projection,LargeScalePerturbationInjection,0.2156,0.2013,0.1991,0.1984,0.1943,0.1947,0.2003,RESILIENCE-FAILED
160,Projection,LargeScalePerturbationInjection,0.1747,0.169,0.1708,0.1658,0.1611,0.1602,0.1646,RESILIENCE-FAILED
192,Projection,LargeScalePerturbationInjection,0.1495,0.1456,0.1451,0.1425,0.1386,0.1371,0.1431,RESILIENCE-FAILED
256,Projection,LargeScalePerturbationInjection,0.1187,0.1144,0.1119,0.1082,0.1075,0.1093,0.1121,RESILIENCE-FAILED
320,Projection,LargeScalePerturbationInjection,0.0966,0.0951,0.0905,0.0885,0.0909,0.0881,0.0889,RESILIENCE-FAILED
1,Projection,CascadePropagationAnalysis,0.96,0.93,0.93,0.92,0.8961,0.9,0.92,RESILIENCE-STABLE
2,Projection,CascadePropagationAnalysis,0.9454,0.9039,0.9206,0.893,0.9012,0.8873,0.8852,RESILIENCE-STABLE
4,Projection,CascadePropagationAnalysis,0.9057,0.8574,0.8842,0.8465,0.837,0.8374,0.8485,RESILIENCE-STABLE
6,Projection,CascadePropagationAnalysis,0.8801,0.8105,0.8265,0.8282,0.8095,0.8032,0.811,RESILIENCE-STABLE
8,Projection,CascadePropagationAnalysis,0.8193,0.7828,0.8045,0.7842,0.7584,0.7661,0.7699,RESILIENCE-STABLE
12,Projection,CascadePropagationAnalysis,0.7463,0.7042,0.7394,0.7168,0.6968,0.6943,0.7152,RESILIENCE-BOUNDED
16,Projection,CascadePropagationAnalysis,0.6882,0.6727,0.6615,0.6584,0.6335,0.6285,0.6503,RESILIENCE-BOUNDED
20,Projection,CascadePropagationAnalysis,0.6284,0.6211,0.6198,0.6032,0.5796,0.5946,0.5915,RESILIENCE-PARTIAL
24,Projection,CascadePropagationAnalysis,0.5898,0.5785,0.5786,0.5532,0.5507,0.5484,0.5589,RESILIENCE-PARTIAL
32,Projection,CascadePropagationAnalysis,0.5181,0.5066,0.5063,0.5024,0.4823,0.4759,0.4928,RESILIENCE-DEGRADING
40,Projection,CascadePropagationAnalysis,0.4703,0.4406,0.4443,0.4313,0.4316,0.4226,0.4313,RESILIENCE-DEGRADING
48,Projection,CascadePropagationAnalysis,0.4278,0.3924,0.4025,0.3934,0.3865,0.3823,0.3981,RESILIENCE-FAILED
64,Projection,CascadePropagationAnalysis,0.3555,0.3388,0.3362,0.3281,0.3221,0.3309,0.3236,RESILIENCE-FAILED
80,Projection,CascadePropagationAnalysis,0.2993,0.2859,0.2953,0.2867,0.2822,0.2776,0.2785,RESILIENCE-FAILED
96,Projection,CascadePropagationAnalysis,0.2617,0.2554,0.2531,0.2478,0.2476,0.2423,0.2455,RESILIENCE-FAILED
128,Projection,CascadePropagationAnalysis,0.2109,0.2046,0.2005,0.2013,0.1966,0.1946,0.1967,RESILIENCE-FAILED
160,Projection,CascadePropagationAnalysis,0.1781,0.1685,0.1688,0.1633,0.1598,0.1631,0.1665,RESILIENCE-FAILED
192,Projection,CascadePropagationAnalysis,0.1493,0.1445,0.1483,0.1412,0.1401,0.1384,0.14,RESILIENCE-FAILED
256,Projection,CascadePropagationAnalysis,0.1198,0.1137,0.1119,0.1092,0.1103,0.1084,0.1108,RESILIENCE-FAILED
320,Projection,CascadePropagationAnalysis,0.0963,0.0926,0.0918,0.091,0.0903,0.0911,0.0896,RESILIENCE-FAILED
1,Projection,EquilibriumRecoveryTracking,0.96,0.94,0.9278,0.92,0.91,0.9,0.92,RESILIENCE-STABLE
2,Projection,EquilibriumRecoveryTracking,0.96,0.9102,0.9141,0.92,0.8952,0.8781,0.8913,RESILIENCE-STABLE
4,Projection,EquilibriumRecoveryTracking,0.9287,0.8956,0.8595,0.8571,0.8672,0.855,0.878,RESILIENCE-STABLE
6,Projection,EquilibriumRecoveryTracking,0.8856,0.8359,0.8138,0.8135,0.8042,0.7837,0.8257,RESILIENCE-STABLE
8,Projection,EquilibriumRecoveryTracking,0.8279,0.8102,0.7718,0.7893,0.7567,0.7502,0.7675,RESILIENCE-STABLE
12,Projection,EquilibriumRecoveryTracking,0.7702,0.7244,0.7117,0.7271,0.7142,0.6998,0.7071,RESILIENCE-BOUNDED
16,Projection,EquilibriumRecoveryTracking,0.6894,0.6782,0.6501,0.665,0.6386,0.6398,0.6618,RESILIENCE-BOUNDED
20,Projection,EquilibriumRecoveryTracking,0.6344,0.6231,0.6106,0.6124,0.6094,0.5984,0.5943,RESILIENCE-PARTIAL
24,Projection,EquilibriumRecoveryTracking,0.5933,0.572,0.5521,0.5554,0.5608,0.5544,0.5497,RESILIENCE-PARTIAL
32,Projection,EquilibriumRecoveryTracking,0.5193,0.4932,0.4855,0.4932,0.4829,0.4805,0.4983,RESILIENCE-DEGRADING
40,Projection,EquilibriumRecoveryTracking,0.4645,0.4541,0.4305,0.4381,0.4353,0.4304,0.4422,RESILIENCE-DEGRADING
48,Projection,EquilibriumRecoveryTracking,0.4195,0.406,0.3977,0.4074,0.3957,0.3838,0.3999,RESILIENCE-DEGRADING
64,Projection,EquilibriumRecoveryTracking,0.3496,0.344,0.3277,0.3381,0.3223,0.3269,0.3248,RESILIENCE-FAILED
80,Projection,EquilibriumRecoveryTracking,0.3028,0.2896,0.2792,0.292,0.2856,0.2724,0.2862,RESILIENCE-FAILED
96,Projection,EquilibriumRecoveryTracking,0.2691,0.2534,0.2537,0.2529,0.2465,0.246,0.248,RESILIENCE-FAILED
128,Projection,EquilibriumRecoveryTracking,0.2117,0.204,0.1987,0.2006,0.1967,0.1993,0.2024,RESILIENCE-FAILED
160,Projection,EquilibriumRecoveryTracking,0.1817,0.1733,0.1693,0.171,0.1626,0.1615,0.1697,RESILIENCE-FAILED
192,Projection,EquilibriumRecoveryTracking,0.1542,0.1485,0.1444,0.1467,0.1397,0.1419,0.1427,RESILIENCE-FAILED
256,Projection,EquilibriumRecoveryTracking,0.1197,0.1118,0.1128,0.1134,0.11,0.1114,0.1116,RESILIENCE-FAILED
320,Projection,EquilibriumRecoveryTracking,0.0977,0.0913,0.0905,0.0908,0.0901,0.0898,0.0924,RESILIENCE-FAILED
1,Projection,AdaptiveRedistributionResponse,0.96,0.94,0.93,0.92,0.91,0.9,0.9066,RESILIENCE-STABLE
2,Projection,AdaptiveRedistributionResponse,0.9424,0.94,0.9248,0.8991,0.8971,0.8611,0.893,RESILIENCE-STABLE
4,Projection,AdaptiveRedistributionResponse,0.8921,0.8636,0.8784,0.8337,0.8504,0.8471,0.8618,RESILIENCE-STABLE
6,Projection,AdaptiveRedistributionResponse,0.8601,0.8517,0.8393,0.8048,0.8153,0.8049,0.8027,RESILIENCE-STABLE
8,Projection,AdaptiveRedistributionResponse,0.8354,0.7841,0.777,0.7802,0.7721,0.7537,0.7577,RESILIENCE-STABLE
12,Projection,AdaptiveRedistributionResponse,0.7565,0.7388,0.7303,0.7075,0.7092,0.6846,0.7096,RESILIENCE-BOUNDED
16,Projection,AdaptiveRedistributionResponse,0.6903,0.6547,0.6511,0.6353,0.6437,0.6443,0.6543,RESILIENCE-BOUNDED
20,Projection,AdaptiveRedistributionResponse,0.6423,0.6215,0.5976,0.5959,0.5935,0.5717,0.5907,RESILIENCE-PARTIAL
24,Projection,AdaptiveRedistributionResponse,0.5839,0.5786,0.5766,0.5435,0.5596,0.5378,0.5644,RESILIENCE-PARTIAL
32,Projection,AdaptiveRedistributionResponse,0.516,0.4976,0.4914,0.495,0.4879,0.4718,0.4862,RESILIENCE-DEGRADING
40,Projection,AdaptiveRedistributionResponse,0.4552,0.4534,0.4383,0.4408,0.4306,0.4254,0.4287,RESILIENCE-DEGRADING
48,Projection,AdaptiveRedistributionResponse,0.4214,0.4097,0.3993,0.3979,0.398,0.3886,0.3853,RESILIENCE-DEGRADING
64,Projection,AdaptiveRedistributionResponse,0.3555,0.3441,0.3397,0.3331,0.3302,0.3167,0.3288,RESILIENCE-FAILED
80,Projection,AdaptiveRedistributionResponse,0.3044,0.2912,0.2858,0.2778,0.2899,0.272,0.284,RESILIENCE-FAILED
96,Projection,AdaptiveRedistributionResponse,0.2635,0.2525,0.253,0.2512,0.2521,0.2391,0.2452,RESILIENCE-FAILED
128,Projection,AdaptiveRedistributionResponse,0.2126,0.2022,0.2055,0.1957,0.1986,0.193,0.2006,RESILIENCE-FAILED
160,Projection,AdaptiveRedistributionResponse,0.1762,0.1684,0.1669,0.1616,0.1656,0.1642,0.164,RESILIENCE-FAILED
192,Projection,AdaptiveRedistributionResponse,0.1494,0.1473,0.142,0.1446,0.1446,0.141,0.1438,RESILIENCE-FAILED
256,Projection,AdaptiveRedistributionResponse,0.1185,0.112,0.1137,0.1117,0.1128,0.1081,0.1102,RESILIENCE-FAILED
320,Projection,AdaptiveRedistributionResponse,0.096,0.0922,0.0941,0.0893,0.0903,0.0893,0.0896,RESILIENCE-FAILED
1,Projection,ShockAbsorptionBasinMapping,0.96,0.94,0.93,0.92,0.8968,0.9,0.92,RESILIENCE-STABLE
2,Projection,ShockAbsorptionBasinMapping,0.9383,0.94,0.9269,0.9061,0.878,0.88,0.9185,RESILIENCE-STABLE
4,Projection,ShockAbsorptionBasinMapping,0.9024,0.8814,0.8698,0.8475,0.8279,0.84,0.851,RESILIENCE-STABLE
6,Projection,ShockAbsorptionBasinMapping,0.8432,0.8328,0.8303,0.7945,0.7983,0.7984,0.8182,RESILIENCE-STABLE
8,Projection,ShockAbsorptionBasinMapping,0.8143,0.8004,0.7754,0.7711,0.7757,0.7561,0.7729,RESILIENCE-STABLE
12,Projection,ShockAbsorptionBasinMapping,0.7414,0.7323,0.7094,0.687,0.709,0.6927,0.7072,RESILIENCE-BOUNDED
16,Projection,ShockAbsorptionBasinMapping,0.6809,0.6623,0.6557,0.6476,0.6256,0.6305,0.648,RESILIENCE-BOUNDED
20,Projection,ShockAbsorptionBasinMapping,0.6387,0.6245,0.6099,0.5944,0.5864,0.5786,0.5956,RESILIENCE-PARTIAL
24,Projection,ShockAbsorptionBasinMapping,0.5856,0.5777,0.5527,0.5493,0.5492,0.5525,0.5436,RESILIENCE-PARTIAL
32,Projection,ShockAbsorptionBasinMapping,0.5183,0.5116,0.4846,0.4774,0.4835,0.4913,0.487,RESILIENCE-DEGRADING
40,Projection,ShockAbsorptionBasinMapping,0.4696,0.4606,0.4421,0.4423,0.4252,0.4242,0.4289,RESILIENCE-DEGRADING
48,Projection,ShockAbsorptionBasinMapping,0.4153,0.4171,0.3879,0.3863,0.3879,0.3887,0.3931,RESILIENCE-DEGRADING
64,Projection,ShockAbsorptionBasinMapping,0.3413,0.3383,0.3337,0.3324,0.3229,0.3248,0.3287,RESILIENCE-FAILED
80,Projection,ShockAbsorptionBasinMapping,0.3016,0.2911,0.286,0.2837,0.2821,0.2766,0.2866,RESILIENCE-FAILED
96,Projection,ShockAbsorptionBasinMapping,0.266,0.2555,0.25,0.2513,0.2431,0.2445,0.2438,RESILIENCE-FAILED
128,Projection,ShockAbsorptionBasinMapping,0.2108,0.2054,0.1986,0.1947,0.1928,0.1945,0.2017,RESILIENCE-FAILED
160,Projection,ShockAbsorptionBasinMapping,0.1754,0.1752,0.1685,0.1676,0.1662,0.1623,0.168,RESILIENCE-FAILED
192,Projection,ShockAbsorptionBasinMapping,0.1484,0.1456,0.1418,0.1404,0.1407,0.1399,0.1414,RESILIENCE-FAILED
256,Projection,ShockAbsorptionBasinMapping,0.1191,0.1173,0.1121,0.1104,0.1091,0.1103,0.1102,RESILIENCE-FAILED
320,Projection,ShockAbsorptionBasinMapping,0.094,0.0934,0.0928,0.0908,0.0906,0.0907,0.0895,RESILIENCE-FAILED
1,Projection,RecursiveSelfHealingDynamics,0.96,0.9272,0.93,0.92,0.8967,0.9,0.92,RESILIENCE-STABLE
2,Projection,RecursiveSelfHealingDynamics,0.9339,0.9371,0.8932,0.8926,0.9072,0.8879,0.92,RESILIENCE-STABLE
4,Projection,RecursiveSelfHealingDynamics,0.9031,0.8603,0.8518,0.8468,0.8405,0.8199,0.8681,RESILIENCE-STABLE
6,Projection,RecursiveSelfHealingDynamics,0.8361,0.8088,0.8252,0.8075,0.8068,0.7803,0.8227,RESILIENCE-STABLE
8,Projection,RecursiveSelfHealingDynamics,0.7996,0.7758,0.7806,0.7807,0.7697,0.7402,0.8008,RESILIENCE-STABLE
12,Projection,RecursiveSelfHealingDynamics,0.7423,0.7286,0.7017,0.7108,0.7038,0.7009,0.7239,RESILIENCE-BOUNDED
16,Projection,RecursiveSelfHealingDynamics,0.6916,0.6533,0.6414,0.6498,0.6449,0.6233,0.6718,RESILIENCE-PARTIAL
20,Projection,RecursiveSelfHealingDynamics,0.6422,0.6087,0.606,0.5912,0.5928,0.5713,0.6189,RESILIENCE-PARTIAL
24,Projection,RecursiveSelfHealingDynamics,0.5773,0.575,0.5545,0.5516,0.5436,0.5436,0.5732,RESILIENCE-PARTIAL
32,Projection,RecursiveSelfHealingDynamics,0.5123,0.4979,0.4841,0.4864,0.4718,0.4855,0.5057,RESILIENCE-DEGRADING
40,Projection,RecursiveSelfHealingDynamics,0.4544,0.4385,0.4417,0.4479,0.4228,0.4308,0.4348,RESILIENCE-DEGRADING
48,Projection,RecursiveSelfHealingDynamics,0.4067,0.4067,0.3908,0.3884,0.3928,0.3874,0.406,RESILIENCE-DEGRADING
64,Projection,RecursiveSelfHealingDynamics,0.3497,0.3311,0.3303,0.3296,0.3272,0.3204,0.3329,RESILIENCE-FAILED
80,Projection,RecursiveSelfHealingDynamics,0.2949,0.287,0.2869,0.2811,0.281,0.2789,0.2872,RESILIENCE-FAILED
96,Projection,RecursiveSelfHealingDynamics,0.2559,0.255,0.2463,0.2466,0.2414,0.2448,0.251,RESILIENCE-FAILED
128,Projection,RecursiveSelfHealingDynamics,0.2086,0.2002,0.1955,0.1956,0.1997,0.196,0.2028,RESILIENCE-FAILED
