depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
1,Projection,ScaleRescalingInvariance,0.96,0.94,0.93,0.92,0.906,0.9,0.92,UNIVERSALITY-STABLE
2,Projection,ScaleRescalingInvariance,0.96,0.9236,0.9187,0.894,0.9028,0.9,0.92,UNIVERSALITY-STABLE
4,Projection,ScaleRescalingInvariance,0.938,0.8953,0.87,0.855,0.8478,0.8428,0.8602,UNIVERSALITY-STABLE
6,Projection,ScaleRescalingInvariance,0.8764,0.8645,0.8485,0.8323,0.8262,0.8088,0.8228,UNIVERSALITY-STABLE
8,Projection,ScaleRescalingInvariance,0.863,0.8065,0.8092,0.7804,0.7738,0.799,0.7885,UNIVERSALITY-STABLE
12,Projection,ScaleRescalingInvariance,0.7752,0.7442,0.7324,0.7238,0.7342,0.7212,0.7397,UNIVERSALITY-BOUNDED
16,Projection,ScaleRescalingInvariance,0.7284,0.7042,0.6996,0.6729,0.6787,0.6597,0.6729,UNIVERSALITY-PARTIAL
20,Projection,ScaleRescalingInvariance,0.6794,0.6421,0.653,0.6377,0.609,0.6178,0.6291,UNIVERSALITY-PARTIAL
24,Projection,ScaleRescalingInvariance,0.6377,0.597,0.586,0.5761,0.569,0.5885,0.5978,UNIVERSALITY-DEGRADING
32,Projection,ScaleRescalingInvariance,0.5622,0.5455,0.5332,0.5101,0.5038,0.5129,0.5118,UNIVERSALITY-DEGRADING
40,Projection,ScaleRescalingInvariance,0.499,0.4713,0.478,0.4722,0.4669,0.4548,0.4553,UNIVERSALITY-DEGRADING
48,Projection,ScaleRescalingInvariance,0.4598,0.4389,0.4235,0.4213,0.4124,0.4216,0.4189,UNIVERSALITY-FAILED
64,Projection,ScaleRescalingInvariance,0.3858,0.3605,0.3611,0.354,0.3527,0.3472,0.3544,UNIVERSALITY-FAILED
80,Projection,ScaleRescalingInvariance,0.3329,0.3204,0.3167,0.3074,0.3055,0.2981,0.3006,UNIVERSALITY-FAILED
96,Projection,ScaleRescalingInvariance,0.2932,0.2832,0.2806,0.2662,0.2639,0.2709,0.2747,UNIVERSALITY-FAILED
128,Projection,ScaleRescalingInvariance,0.2326,0.2244,0.2203,0.2151,0.216,0.211,0.2144,UNIVERSALITY-FAILED
160,Projection,ScaleRescalingInvariance,0.1956,0.1881,0.1853,0.1829,0.1803,0.1829,0.1794,UNIVERSALITY-FAILED
192,Projection,ScaleRescalingInvariance,0.1695,0.1624,0.1621,0.1542,0.154,0.1575,0.1543,UNIVERSALITY-FAILED
256,Projection,ScaleRescalingInvariance,0.1303,0.1253,0.1257,0.1217,0.1194,0.1235,0.1216,UNIVERSALITY-FAILED
320,Projection,ScaleRescalingInvariance,0.1102,0.1037,0.102,0.1025,0.0982,0.1012,0.1011,UNIVERSALITY-FAILED
512,Projection,ScaleRescalingInvariance,0.0712,0.0667,0.0675,0.0649,0.0661,0.0659,0.065,UNIVERSALITY-FAILED
1,Projection,UniversalityClassExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,UNIVERSALITY-STABLE
2,Projection,UniversalityClassExtraction,0.96,0.9362,0.93,0.92,0.91,0.8848,0.9095,UNIVERSALITY-STABLE
4,Projection,UniversalityClassExtraction,0.9212,0.9123,0.877,0.8853,0.8511,0.8543,0.8616,UNIVERSALITY-STABLE
6,Projection,UniversalityClassExtraction,0.8884,0.881,0.838,0.8387,0.8117,0.8201,0.8497,UNIVERSALITY-STABLE
8,Projection,UniversalityClassExtraction,0.8718,0.8405,0.7943,0.805,0.7795,0.7777,0.7992,UNIVERSALITY-BOUNDED
12,Projection,UniversalityClassExtraction,0.7846,0.7737,0.7487,0.7252,0.7175,0.7102,0.7433,UNIVERSALITY-BOUNDED
16,Projection,UniversalityClassExtraction,0.7157,0.6955,0.6994,0.6805,0.6835,0.678,0.6796,UNIVERSALITY-PARTIAL
20,Projection,UniversalityClassExtraction,0.6834,0.646,0.6352,0.6245,0.6186,0.6144,0.6361,UNIVERSALITY-PARTIAL
24,Projection,UniversalityClassExtraction,0.6334,0.621,0.5963,0.5902,0.595,0.5757,0.597,UNIVERSALITY-DEGRADING
32,Projection,UniversalityClassExtraction,0.5599,0.5362,0.5241,0.5155,0.5268,0.5132,0.5126,UNIVERSALITY-DEGRADING
40,Projection,UniversalityClassExtraction,0.4948,0.4938,0.4689,0.4711,0.4705,0.4568,0.4777,UNIVERSALITY-DEGRADING
48,Projection,UniversalityClassExtraction,0.4537,0.4379,0.434,0.4184,0.4215,0.408,0.4265,UNIVERSALITY-FAILED
64,Projection,UniversalityClassExtraction,0.3763,0.3655,0.3626,0.3515,0.354,0.3574,0.3649,UNIVERSALITY-FAILED
80,Projection,UniversalityClassExtraction,0.3368,0.3143,0.3121,0.3138,0.3118,0.2996,0.312,UNIVERSALITY-FAILED
96,Projection,UniversalityClassExtraction,0.2951,0.285,0.2698,0.2738,0.2744,0.2652,0.2772,UNIVERSALITY-FAILED
128,Projection,UniversalityClassExtraction,0.2352,0.2286,0.2257,0.2236,0.2206,0.2147,0.2191,UNIVERSALITY-FAILED
160,Projection,UniversalityClassExtraction,0.1985,0.1933,0.1894,0.185,0.1838,0.1784,0.1867,UNIVERSALITY-FAILED
192,Projection,UniversalityClassExtraction,0.1676,0.1606,0.1605,0.1574,0.1549,0.1573,0.1601,UNIVERSALITY-FAILED
256,Projection,UniversalityClassExtraction,0.1342,0.1303,0.1276,0.1263,0.1249,0.1227,0.1262,UNIVERSALITY-FAILED
320,Projection,UniversalityClassExtraction,0.1101,0.105,0.1049,0.1009,0.1007,0.1015,0.1038,UNIVERSALITY-FAILED
512,Projection,UniversalityClassExtraction,0.0714,0.068,0.0671,0.067,0.0665,0.0657,0.0664,UNIVERSALITY-FAILED
