depth,sector,condition,rg_similarity,conservation_stability,invariant_preservation_index,redistribution_coherence,recursive_conservation_persistence,attractor_conservation_alignment,universality_conservation_score,classification
1,Projection,RecursiveConservationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
2,Projection,RecursiveConservationTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
4,Projection,RecursiveConservationTracking,0.9371,0.9266,0.9139,0.8668,0.8644,0.8683,0.8955,CONSERVATION-STABLE
6,Projection,RecursiveConservationTracking,0.915,0.8739,0.8595,0.8552,0.8244,0.8225,0.8464,CONSERVATION-STABLE
8,Projection,RecursiveConservationTracking,0.8588,0.8431,0.8431,0.8131,0.8155,0.7948,0.8227,CONSERVATION-BOUNDED
12,Projection,RecursiveConservationTracking,0.8018,0.784,0.7807,0.7444,0.7555,0.7485,0.7508,CONSERVATION-BOUNDED
16,Projection,RecursiveConservationTracking,0.758,0.7224,0.7097,0.6887,0.6866,0.686,0.7158,CONSERVATION-PARTIAL
20,Projection,RecursiveConservationTracking,0.7115,0.6914,0.6582,0.6466,0.642,0.6422,0.6603,CONSERVATION-PARTIAL
24,Projection,RecursiveConservationTracking,0.66,0.6456,0.637,0.6304,0.6021,0.6007,0.6289,CONSERVATION-DEGRADING
32,Projection,RecursiveConservationTracking,0.5874,0.5681,0.5642,0.5526,0.5445,0.5557,0.5406,CONSERVATION-DEGRADING
40,Projection,RecursiveConservationTracking,0.5423,0.5083,0.5122,0.5068,0.4914,0.5021,0.4974,CONSERVATION-DEGRADING
48,Projection,RecursiveConservationTracking,0.4875,0.4638,0.4583,0.4617,0.4493,0.4494,0.4551,CONSERVATION-FAILED
64,Projection,RecursiveConservationTracking,0.4105,0.3999,0.3889,0.3933,0.3742,0.384,0.3821,CONSERVATION-FAILED
80,Projection,RecursiveConservationTracking,0.3648,0.3504,0.3414,0.3394,0.3285,0.3366,0.3386,CONSERVATION-FAILED
96,Projection,RecursiveConservationTracking,0.3145,0.303,0.3093,0.3015,0.2961,0.2881,0.3015,CONSERVATION-FAILED
128,Projection,RecursiveConservationTracking,0.2548,0.2535,0.2467,0.2405,0.2433,0.2417,0.2404,CONSERVATION-FAILED
160,Projection,RecursiveConservationTracking,0.2181,0.2069,0.204,0.2049,0.2003,0.1983,0.1998,CONSERVATION-FAILED
192,Projection,RecursiveConservationTracking,0.1871,0.178,0.1791,0.1759,0.1711,0.1769,0.1788,CONSERVATION-FAILED
256,Projection,RecursiveConservationTracking,0.1452,0.1395,0.1406,0.1369,0.1386,0.1373,0.1377,CONSERVATION-FAILED
320,Projection,RecursiveConservationTracking,0.1205,0.1149,0.1167,0.1129,0.1146,0.1132,0.1123,CONSERVATION-FAILED
512,Projection,RecursiveConservationTracking,0.0785,0.0772,0.0763,0.0757,0.0721,0.0723,0.0746,CONSERVATION-FAILED
768,Projection,RecursiveConservationTracking,0.0536,0.0524,0.0519,0.05,0.0506,0.05,0.0512,CONSERVATION-FAILED
1,Projection,InvariantRedistributionAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
2,Projection,InvariantRedistributionAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
4,Projection,InvariantRedistributionAnalysis,0.96,0.9035,0.9184,0.8998,0.8789,0.8605,0.8834,CONSERVATION-STABLE
6,Projection,InvariantRedistributionAnalysis,0.9145,0.8842,0.8654,0.8426,0.8616,0.8491,0.8422,CONSERVATION-STABLE
8,Projection,InvariantRedistributionAnalysis,0.8716,0.8339,0.8238,0.8153,0.814,0.7943,0.8311,CONSERVATION-BOUNDED
12,Projection,InvariantRedistributionAnalysis,0.8105,0.7771,0.7762,0.768,0.7413,0.7599,0.7572,CONSERVATION-BOUNDED
16,Projection,InvariantRedistributionAnalysis,0.7601,0.7136,0.732,0.7238,0.6951,0.7099,0.7178,CONSERVATION-PARTIAL
20,Projection,InvariantRedistributionAnalysis,0.6985,0.6767,0.6664,0.6612,0.6575,0.6424,0.6684,CONSERVATION-PARTIAL
24,Projection,InvariantRedistributionAnalysis,0.674,0.6278,0.6286,0.6307,0.6303,0.6175,0.6191,CONSERVATION-DEGRADING
32,Projection,InvariantRedistributionAnalysis,0.601,0.558,0.5741,0.5633,0.5558,0.5553,0.5548,CONSERVATION-DEGRADING
40,Projection,InvariantRedistributionAnalysis,0.5324,0.51,0.512,0.5067,0.4999,0.4982,0.4957,CONSERVATION-DEGRADING
48,Projection,InvariantRedistributionAnalysis,0.4819,0.4685,0.4705,0.4638,0.4636,0.4473,0.4565,CONSERVATION-FAILED
64,Projection,InvariantRedistributionAnalysis,0.4214,0.4059,0.3993,0.3983,0.3813,0.374,0.3934,CONSERVATION-FAILED
80,Projection,InvariantRedistributionAnalysis,0.3616,0.3464,0.3489,0.3369,0.3323,0.334,0.3344,CONSERVATION-FAILED
96,Projection,InvariantRedistributionAnalysis,0.322,0.3003,0.3058,0.2966,0.3009,0.2889,0.2964,CONSERVATION-FAILED
128,Projection,InvariantRedistributionAnalysis,0.2614,0.2471,0.2488,0.2445,0.2384,0.2354,0.2387,CONSERVATION-FAILED
160,Projection,InvariantRedistributionAnalysis,0.2184,0.21,0.2091,0.2092,0.2073,0.201,0.2091,CONSERVATION-FAILED
192,Projection,InvariantRedistributionAnalysis,0.1913,0.1835,0.1825,0.1777,0.1723,0.1713,0.1738,CONSERVATION-FAILED
256,Projection,InvariantRedistributionAnalysis,0.1465,0.1448,0.1426,0.1405,0.1362,0.1362,0.1378,CONSERVATION-FAILED
320,Projection,InvariantRedistributionAnalysis,0.1208,0.1174,0.1152,0.1131,0.1127,0.1127,0.113,CONSERVATION-FAILED
512,Projection,InvariantRedistributionAnalysis,0.0795,0.0753,0.0768,0.0752,0.0742,0.0749,0.0764,CONSERVATION-FAILED
768,Projection,InvariantRedistributionAnalysis,0.0556,0.0533,0.0524,0.0521,0.0507,0.051,0.0512,CONSERVATION-FAILED
1,Projection,PerturbationConservationRecovery,0.96,0.94,0.93,0.92,0.91,0.9,0.92,CONSERVATION-STABLE
