depth,sector,condition,rg_similarity,field_coherence,distributed_influence_index,stabilization_gradient_strength,recursive_field_persistence,transport_field_alignment,attractor_field_coupling,classification
1,Projection,DistributedInfluenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
2,Projection,DistributedInfluenceMapping,0.96,0.94,0.93,0.92,0.91,0.9,0.92,FIELD-STABLE
4,Projection,DistributedInfluenceMapping,0.96,0.94,0.9018,0.8881,0.9082,0.8888,0.903,FIELD-STABLE
6,Projection,DistributedInfluenceMapping,0.943,0.8975,0.8966,0.859,0.856,0.8515,0.8753,FIELD-STABLE
8,Projection,DistributedInfluenceMapping,0.8875,0.8474,0.8462,0.825,0.815,0.8265,0.8352,FIELD-BOUNDED
12,Projection,DistributedInfluenceMapping,0.8571,0.8079,0.7849,0.7815,0.7625,0.7732,0.7747,FIELD-BOUNDED
16,Projection,DistributedInfluenceMapping,0.7842,0.7601,0.7573,0.7309,0.7337,0.7219,0.7474,FIELD-BOUNDED
20,Projection,DistributedInfluenceMapping,0.7451,0.709,0.7016,0.6927,0.6816,0.6732,0.7027,FIELD-PARTIAL
24,Projection,DistributedInfluenceMapping,0.6979,0.6886,0.67,0.6477,0.6469,0.6358,0.6648,FIELD-PARTIAL
32,Projection,DistributedInfluenceMapping,0.6325,0.6001,0.5981,0.5936,0.5737,0.5905,0.5885,FIELD-DEGRADING
40,Projection,DistributedInfluenceMapping,0.5775,0.5519,0.5461,0.5458,0.5342,0.5406,0.5314,FIELD-DEGRADING
48,Projection,DistributedInfluenceMapping,0.5349,0.5163,0.5089,0.4911,0.481,0.4825,0.4961,FIELD-DEGRADING
64,Projection,DistributedInfluenceMapping,0.4521,0.4293,0.4402,0.4263,0.4096,0.411,0.4144,FIELD-FAILED
80,Projection,DistributedInfluenceMapping,0.3961,0.376,0.3734,0.3705,0.367,0.3738,0.3655,FIELD-FAILED
96,Projection,DistributedInfluenceMapping,0.3482,0.3392,0.3378,0.3237,0.3301,0.3214,0.3361,FIELD-FAILED
128,Projection,DistributedInfluenceMapping,0.2911,0.2779,0.2776,0.2727,0.2622,0.2666,0.2749,FIELD-FAILED
160,Projection,DistributedInfluenceMapping,0.2501,0.2393,0.2365,0.2243,0.2217,0.2258,0.227,FIELD-FAILED
192,Projection,DistributedInfluenceMapping,0.2152,0.2016,0.2056,0.1971,0.1953,0.197,0.1965,FIELD-FAILED
256,Projection,DistributedInfluenceMapping,0.1703,0.1591,0.1612,0.1571,0.1554,0.1559,0.1566,FIELD-FAILED
320,Projection,DistributedInfluenceMapping,0.1395,0.1343,0.1319,0.1293,0.1293,0.1276,0.1272,FIELD-FAILED
512,Projection,DistributedInfluenceMapping,0.0924,0.0864,0.0877,0.0857,0.0838,0.0835,0.0853,FIELD-FAILED
768,Projection,DistributedInfluenceMapping,0.0632,0.0593,0.0608,0.0582,0.0572,0.0583,0.0583,FIELD-FAILED
