depth,sector,condition,rg_similarity,emergent_mode_stability,independent_mode_coherence,recursive_mode_persistence,composite_mode_gain,mode_reproduction_index,transport_mode_alignment,classification
1,Projection,EmergentModeExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
2,Projection,EmergentModeExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODE-STABLE
4,Projection,EmergentModeExtraction,0.96,0.94,0.93,0.9157,0.9067,0.9,0.9193,MODE-STABLE
6,Projection,EmergentModeExtraction,0.96,0.9261,0.93,0.9057,0.892,0.8989,0.9134,MODE-STABLE
8,Projection,EmergentModeExtraction,0.9327,0.9026,0.9094,0.8989,0.8708,0.8753,0.8718,MODE-STABLE
12,Projection,EmergentModeExtraction,0.886,0.8748,0.8456,0.8356,0.8293,0.8328,0.8493,MODE-BOUNDED
16,Projection,EmergentModeExtraction,0.8518,0.8328,0.8071,0.7987,0.7747,0.7747,0.8098,MODE-BOUNDED
20,Projection,EmergentModeExtraction,0.8171,0.7979,0.7824,0.7654,0.7464,0.752,0.7443,MODE-PARTIAL
24,Projection,EmergentModeExtraction,0.781,0.7365,0.7443,0.7272,0.7086,0.7044,0.7333,MODE-PARTIAL
32,Projection,EmergentModeExtraction,0.7235,0.6831,0.6858,0.6597,0.6587,0.6703,0.6627,MODE-DEGRADING
40,Projection,EmergentModeExtraction,0.6613,0.6369,0.6242,0.6217,0.613,0.6074,0.6122,MODE-DEGRADING
48,Projection,EmergentModeExtraction,0.6194,0.584,0.5781,0.5722,0.571,0.5761,0.5717,MODE-DEGRADING
64,Projection,EmergentModeExtraction,0.5475,0.5131,0.5121,0.5047,0.4939,0.495,0.508,MODE-FAILED
80,Projection,EmergentModeExtraction,0.4712,0.4687,0.4539,0.4398,0.4434,0.4483,0.4447,MODE-FAILED
96,Projection,EmergentModeExtraction,0.438,0.4074,0.4031,0.4025,0.4061,0.4044,0.4081,MODE-FAILED
128,Projection,EmergentModeExtraction,0.3605,0.351,0.3468,0.3302,0.3388,0.3275,0.33,MODE-FAILED
160,Projection,EmergentModeExtraction,0.3141,0.3002,0.2886,0.2927,0.2863,0.2808,0.2905,MODE-FAILED
192,Projection,EmergentModeExtraction,0.2669,0.2583,0.2616,0.2523,0.2527,0.2513,0.2481,MODE-FAILED
256,Projection,EmergentModeExtraction,0.2207,0.2057,0.203,0.2042,0.198,0.2001,0.2051,MODE-FAILED
320,Projection,EmergentModeExtraction,0.18,0.1726,0.1749,0.1681,0.1671,0.1656,0.1687,MODE-FAILED
512,Projection,EmergentModeExtraction,0.1197,0.1167,0.1155,0.1115,0.1103,0.1105,0.1123,MODE-FAILED
768,Projection,EmergentModeExtraction,0.0834,0.0818,0.0799,0.0768,0.0767,0.0763,0.0773,MODE-FAILED
1024,Projection,EmergentModeExtraction,0.063,0.0618,0.061,0.0593,0.059,0.0595,0.0605,MODE-FAILED
1536,Projection,EmergentModeExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
2048,Projection,EmergentModeExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODE-FAILED
