depth,sector,condition,rg_similarity,identity_persistence,differentiation_coherence,lineage_stability,boundary_integrity,coexistence_stability,transport_identity_alignment,classification
1,Projection,RecursiveIdentityTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Projection,RecursiveIdentityTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Projection,RecursiveIdentityTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
6,Projection,RecursiveIdentityTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
8,Projection,RecursiveIdentityTracking,0.96,0.9303,0.9274,0.92,0.91,0.9,0.9102,IDENTITY-STABLE
12,Projection,RecursiveIdentityTracking,0.9376,0.909,0.8869,0.8566,0.8665,0.8772,0.8839,IDENTITY-BOUNDED
16,Projection,RecursiveIdentityTracking,0.8953,0.8476,0.8453,0.8453,0.8381,0.8313,0.8452,IDENTITY-BOUNDED
20,Projection,RecursiveIdentityTracking,0.8549,0.8294,0.8071,0.8104,0.8078,0.788,0.793,IDENTITY-BOUNDED
24,Projection,RecursiveIdentityTracking,0.8182,0.8,0.7936,0.776,0.7595,0.7781,0.7653,IDENTITY-PARTIAL
32,Projection,RecursiveIdentityTracking,0.7737,0.7348,0.7318,0.7165,0.7073,0.7237,0.712,IDENTITY-PARTIAL
40,Projection,RecursiveIdentityTracking,0.7213,0.6911,0.6731,0.6643,0.6673,0.6655,0.658,IDENTITY-DEGRADING
48,Projection,RecursiveIdentityTracking,0.6783,0.66,0.6441,0.6197,0.6169,0.6206,0.6215,IDENTITY-DEGRADING
64,Projection,RecursiveIdentityTracking,0.5961,0.577,0.5665,0.5701,0.554,0.5591,0.5604,IDENTITY-DEGRADING
80,Projection,RecursiveIdentityTracking,0.5332,0.5177,0.5173,0.5143,0.4939,0.5048,0.5085,IDENTITY-FAILED
96,Projection,RecursiveIdentityTracking,0.4886,0.474,0.4767,0.4539,0.4636,0.4468,0.4659,IDENTITY-FAILED
128,Projection,RecursiveIdentityTracking,0.4125,0.3983,0.394,0.3886,0.3868,0.3851,0.386,IDENTITY-FAILED
160,Projection,RecursiveIdentityTracking,0.3633,0.3495,0.3419,0.3423,0.3325,0.3379,0.3409,IDENTITY-FAILED
192,Projection,RecursiveIdentityTracking,0.3175,0.3145,0.3082,0.3035,0.2977,0.2949,0.2966,IDENTITY-FAILED
256,Projection,RecursiveIdentityTracking,0.2569,0.2496,0.244,0.2459,0.2432,0.2414,0.2441,IDENTITY-FAILED
320,Projection,RecursiveIdentityTracking,0.2158,0.2106,0.2092,0.2038,0.201,0.2026,0.2039,IDENTITY-FAILED
512,Projection,RecursiveIdentityTracking,0.1492,0.141,0.1415,0.139,0.1375,0.1358,0.1403,IDENTITY-FAILED
768,Projection,RecursiveIdentityTracking,0.1023,0.1009,0.1001,0.0963,0.0954,0.0955,0.0975,IDENTITY-FAILED
1024,Projection,RecursiveIdentityTracking,0.0786,0.0776,0.076,0.0735,0.0721,0.0747,0.0731,IDENTITY-FAILED
1536,Projection,RecursiveIdentityTracking,0.0532,0.052,0.0526,0.05,0.0506,0.05,0.0507,IDENTITY-FAILED
2048,Projection,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
3072,Projection,RecursiveIdentityTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,IDENTITY-FAILED
1,Projection,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
2,Projection,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
4,Projection,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
6,Projection,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,IDENTITY-STABLE
8,Projection,ModeDifferentiationAnalysis,0.96,0.94,0.93,0.9056,0.891,0.9,0.9041,IDENTITY-STABLE
12,Projection,ModeDifferentiationAnalysis,0.9191,0.8939,0.9046,0.8721,0.8778,0.8545,0.869,IDENTITY-BOUNDED
16,Projection,ModeDifferentiationAnalysis,0.8929,0.8809,0.844,0.8467,0.8265,0.8209,0.8397,IDENTITY-BOUNDED
20,Projection,ModeDifferentiationAnalysis,0.8711,0.8256,0.8199,0.8118,0.8149,0.7995,0.8131,IDENTITY-BOUNDED
24,Projection,ModeDifferentiationAnalysis,0.8345,0.8177,0.7856,0.7896,0.7674,0.7624,0.784,IDENTITY-PARTIAL
32,Projection,ModeDifferentiationAnalysis,0.7583,0.7453,0.751,0.7395,0.7321,0.7006,0.7387,IDENTITY-PARTIAL
40,Projection,ModeDifferentiationAnalysis,0.7105,0.704,0.6861,0.6847,0.6605,0.6552,0.6689,IDENTITY-DEGRADING
