depth,sector,condition,rg_similarity,predictive_stability,anticipatory_coherence,perturbation_forecast_accuracy,future_state_alignment,recursive_prediction_persistence,adaptive_anticipation_gain,classification
1,Projection,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Projection,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Projection,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Projection,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Projection,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Projection,PredictiveStabilizationAnalysis,0.96,0.94,0.93,0.92,0.91,0.8959,0.92,PREDICTIVE-STABLE
16,Projection,PredictiveStabilizationAnalysis,0.9345,0.9324,0.9022,0.8977,0.8747,0.892,0.8779,PREDICTIVE-STABLE
20,Projection,PredictiveStabilizationAnalysis,0.923,0.906,0.8715,0.8731,0.8593,0.843,0.8698,PREDICTIVE-BOUNDED
24,Projection,PredictiveStabilizationAnalysis,0.887,0.8626,0.8543,0.8558,0.8477,0.83,0.8322,PREDICTIVE-BOUNDED
32,Projection,PredictiveStabilizationAnalysis,0.847,0.8152,0.8008,0.7899,0.7934,0.7967,0.7996,PREDICTIVE-BOUNDED
40,Projection,PredictiveStabilizationAnalysis,0.8139,0.7938,0.786,0.7456,0.7425,0.7595,0.7692,PREDICTIVE-PARTIAL
48,Projection,PredictiveStabilizationAnalysis,0.7541,0.745,0.7319,0.7169,0.7148,0.7263,0.7372,PREDICTIVE-PARTIAL
64,Projection,PredictiveStabilizationAnalysis,0.7144,0.6895,0.6729,0.6522,0.6521,0.6597,0.6706,PREDICTIVE-DEGRADING
80,Projection,PredictiveStabilizationAnalysis,0.6548,0.6266,0.6341,0.6065,0.6064,0.6053,0.611,PREDICTIVE-DEGRADING
96,Projection,PredictiveStabilizationAnalysis,0.596,0.5723,0.5685,0.5619,0.5678,0.558,0.5681,PREDICTIVE-DEGRADING
128,Projection,PredictiveStabilizationAnalysis,0.518,0.5013,0.4939,0.4936,0.4937,0.4837,0.4935,PREDICTIVE-FAILED
160,Projection,PredictiveStabilizationAnalysis,0.4638,0.4451,0.4459,0.4392,0.4313,0.4315,0.4401,PREDICTIVE-FAILED
192,Projection,PredictiveStabilizationAnalysis,0.4185,0.4093,0.3997,0.3894,0.384,0.3863,0.3958,PREDICTIVE-FAILED
256,Projection,PredictiveStabilizationAnalysis,0.3462,0.3354,0.3379,0.3321,0.3228,0.3201,0.3318,PREDICTIVE-FAILED
320,Projection,PredictiveStabilizationAnalysis,0.2972,0.2875,0.2851,0.2766,0.2826,0.279,0.2813,PREDICTIVE-FAILED
512,Projection,PredictiveStabilizationAnalysis,0.2087,0.2002,0.1968,0.1958,0.193,0.1912,0.1938,PREDICTIVE-FAILED
768,Projection,PredictiveStabilizationAnalysis,0.1457,0.1443,0.1407,0.1388,0.1391,0.1369,0.1381,PREDICTIVE-FAILED
1024,Projection,PredictiveStabilizationAnalysis,0.1148,0.1104,0.1101,0.1067,0.1085,0.1054,0.1064,PREDICTIVE-FAILED
1536,Projection,PredictiveStabilizationAnalysis,0.0806,0.0787,0.0779,0.0745,0.0734,0.0757,0.0753,PREDICTIVE-FAILED
2048,Projection,PredictiveStabilizationAnalysis,0.0614,0.0581,0.0589,0.0574,0.0573,0.0576,0.0566,PREDICTIVE-FAILED
3072,Projection,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,PredictiveStabilizationAnalysis,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Projection,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Projection,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Projection,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Projection,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Projection,AnticipatoryRoutingTracking,0.96,0.94,0.93,0.9196,0.91,0.9,0.92,PREDICTIVE-STABLE
16,Projection,AnticipatoryRoutingTracking,0.9463,0.9183,0.93,0.9023,0.8909,0.889,0.884,PREDICTIVE-STABLE
20,Projection,AnticipatoryRoutingTracking,0.9308,0.8874,0.8883,0.8712,0.8691,0.842,0.8819,PREDICTIVE-BOUNDED
24,Projection,AnticipatoryRoutingTracking,0.8899,0.8578,0.8761,0.8457,0.8399,0.8254,0.8449,PREDICTIVE-BOUNDED
32,Projection,AnticipatoryRoutingTracking,0.8551,0.83,0.8249,0.8069,0.8126,0.7938,0.8054,PREDICTIVE-BOUNDED
40,Projection,AnticipatoryRoutingTracking,0.8104,0.7872,0.7667,0.7745,0.7716,0.7516,0.7711,PREDICTIVE-PARTIAL
48,Projection,AnticipatoryRoutingTracking,0.7685,0.754,0.7525,0.7336,0.7198,0.7127,0.7376,PREDICTIVE-PARTIAL
64,Projection,AnticipatoryRoutingTracking,0.7081,0.669,0.6766,0.6735,0.6591,0.6659,0.6684,PREDICTIVE-DEGRADING
80,Projection,AnticipatoryRoutingTracking,0.644,0.6378,0.6187,0.6048,0.6069,0.6012,0.621,PREDICTIVE-DEGRADING
96,Projection,AnticipatoryRoutingTracking,0.6067,0.5914,0.5935,0.5719,0.5731,0.5575,0.5703,PREDICTIVE-DEGRADING
128,Projection,AnticipatoryRoutingTracking,0.5325,0.5023,0.5078,0.5037,0.4997,0.4985,0.4908,PREDICTIVE-FAILED
160,Projection,AnticipatoryRoutingTracking,0.46,0.4568,0.4557,0.436,0.4395,0.4383,0.4472,PREDICTIVE-FAILED
192,Projection,AnticipatoryRoutingTracking,0.413,0.4005,0.4041,0.3944,0.3878,0.394,0.3922,PREDICTIVE-FAILED
256,Projection,AnticipatoryRoutingTracking,0.3543,0.3429,0.3426,0.335,0.334,0.3201,0.3356,PREDICTIVE-FAILED
320,Projection,AnticipatoryRoutingTracking,0.2954,0.2872,0.2873,0.2778,0.2822,0.275,0.2863,PREDICTIVE-FAILED
512,Projection,AnticipatoryRoutingTracking,0.2079,0.1977,0.2015,0.1985,0.1972,0.1945,0.1981,PREDICTIVE-FAILED
768,Projection,AnticipatoryRoutingTracking,0.1471,0.1422,0.144,0.1386,0.1423,0.1407,0.1411,PREDICTIVE-FAILED
1024,Projection,AnticipatoryRoutingTracking,0.1137,0.1114,0.112,0.1096,0.11,0.1063,0.1082,PREDICTIVE-FAILED
1536,Projection,AnticipatoryRoutingTracking,0.08,0.0758,0.0774,0.0754,0.0753,0.0733,0.0746,PREDICTIVE-FAILED
2048,Projection,AnticipatoryRoutingTracking,0.0607,0.0593,0.0582,0.0584,0.0577,0.0564,0.0575,PREDICTIVE-FAILED
3072,Projection,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
4096,Projection,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
6144,Projection,AnticipatoryRoutingTracking,0.05,0.05,0.05,0.05,0.05,0.05,0.05,PREDICTIVE-FAILED
1,Projection,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
2,Projection,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
4,Projection,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
6,Projection,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
8,Projection,PerturbationForecastingEvaluation,0.96,0.94,0.93,0.92,0.91,0.9,0.92,PREDICTIVE-STABLE
12,Projection,PerturbationForecastingEvaluation,0.96,0.9213,0.9061,0.92,0.8911,0.8802,0.9072,PREDICTIVE-STABLE
