depth,sector,condition,rg_similarity,representation_fidelity,internal_model_coherence,simulation_alignment,predictive_model_gain,recursive_representation_persistence,model_adaptation_strength,classification
1,Projection,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Projection,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Projection,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Projection,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Projection,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Projection,InternalModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Projection,InternalModelExtraction,0.96,0.94,0.93,0.9148,0.91,0.9,0.92,MODEL-STABLE
20,Projection,InternalModelExtraction,0.9337,0.9381,0.9138,0.9044,0.9001,0.8885,0.9086,MODEL-STABLE
24,Projection,InternalModelExtraction,0.9237,0.9254,0.9131,0.8723,0.8721,0.8798,0.8995,MODEL-STABLE
32,Projection,InternalModelExtraction,0.8897,0.8881,0.8541,0.8438,0.8453,0.839,0.8453,MODEL-BOUNDED
40,Projection,InternalModelExtraction,0.8507,0.8268,0.8451,0.8042,0.8157,0.7953,0.8051,MODEL-BOUNDED
48,Projection,InternalModelExtraction,0.8138,0.7953,0.8032,0.7917,0.7873,0.7775,0.7846,MODEL-PARTIAL
64,Projection,InternalModelExtraction,0.7725,0.7385,0.7514,0.7386,0.7151,0.7177,0.7194,MODEL-PARTIAL
80,Projection,InternalModelExtraction,0.7193,0.715,0.6839,0.6832,0.6776,0.6647,0.6898,MODEL-DEGRADING
96,Projection,InternalModelExtraction,0.68,0.6722,0.662,0.6456,0.6366,0.6467,0.6368,MODEL-DEGRADING
128,Projection,InternalModelExtraction,0.6034,0.5774,0.573,0.5699,0.5698,0.5574,0.5668,MODEL-DEGRADING
160,Projection,InternalModelExtraction,0.5494,0.534,0.5276,0.5057,0.5035,0.5164,0.5204,MODEL-FAILED
192,Projection,InternalModelExtraction,0.5016,0.4771,0.4862,0.4657,0.4582,0.471,0.4648,MODEL-FAILED
256,Projection,InternalModelExtraction,0.4154,0.4047,0.4118,0.3912,0.3977,0.3886,0.396,MODEL-FAILED
320,Projection,InternalModelExtraction,0.357,0.3555,0.3513,0.3519,0.3478,0.3435,0.3441,MODEL-FAILED
512,Projection,InternalModelExtraction,0.258,0.2574,0.2496,0.2519,0.2476,0.248,0.2482,MODEL-FAILED
768,Projection,InternalModelExtraction,0.1927,0.1884,0.1841,0.1807,0.1781,0.1754,0.1783,MODEL-FAILED
1024,Projection,InternalModelExtraction,0.1482,0.1444,0.1416,0.1424,0.1369,0.14,0.1386,MODEL-FAILED
1536,Projection,InternalModelExtraction,0.1057,0.1032,0.0998,0.0993,0.0984,0.0983,0.0995,MODEL-FAILED
2048,Projection,InternalModelExtraction,0.079,0.0772,0.0783,0.0762,0.0737,0.0744,0.0747,MODEL-FAILED
3072,Projection,InternalModelExtraction,0.0542,0.0543,0.0529,0.0518,0.0522,0.052,0.0515,MODEL-FAILED
4096,Projection,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
6144,Projection,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
8192,Projection,InternalModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MODEL-FAILED
1,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
2,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
4,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
6,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
8,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
12,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
16,Projection,RepresentationFidelityAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,MODEL-STABLE
20,Projection,RepresentationFidelityAnalysis,0.9443,0.9353,0.9205,0.9129,0.9064,0.876,0.9147,MODEL-STABLE
24,Projection,RepresentationFidelityAnalysis,0.9383,0.9188,0.9109,0.9062,0.8993,0.8878,0.9042,MODEL-STABLE
