depth,sector,condition,rg_similarity,self_reference_fidelity,reflexive_coherence,self_simulation_alignment,reflexive_stabilization_gain,recursive_self_persistence,self_model_adaptation_strength,classification
1,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
16,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
20,Projection,SelfModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
24,Projection,SelfModelExtraction,0.96,0.94,0.9211,0.92,0.91,0.9,0.9055,SELF-REF-STABLE
32,Projection,SelfModelExtraction,0.9582,0.9377,0.9271,0.8784,0.9032,0.898,0.8889,SELF-REF-STABLE
40,Projection,SelfModelExtraction,0.9058,0.9089,0.8949,0.8595,0.8644,0.8756,0.8599,SELF-REF-BOUNDED
48,Projection,SelfModelExtraction,0.9095,0.8582,0.8777,0.8527,0.8518,0.8415,0.8541,SELF-REF-BOUNDED
64,Projection,SelfModelExtraction,0.8382,0.8159,0.8144,0.7969,0.8052,0.7997,0.8061,SELF-REF-BOUNDED
80,Projection,SelfModelExtraction,0.8045,0.7871,0.7656,0.7747,0.763,0.749,0.7641,SELF-REF-PARTIAL
96,Projection,SelfModelExtraction,0.7616,0.7479,0.7407,0.7209,0.716,0.7274,0.7214,SELF-REF-PARTIAL
128,Projection,SelfModelExtraction,0.7087,0.6746,0.6926,0.6749,0.6661,0.6732,0.6683,SELF-REF-DEGRADING
160,Projection,SelfModelExtraction,0.6431,0.6381,0.6368,0.6253,0.5992,0.5995,0.6144,SELF-REF-DEGRADING
192,Projection,SelfModelExtraction,0.5993,0.5855,0.581,0.5749,0.5638,0.5642,0.5627,SELF-REF-DEGRADING
256,Projection,SelfModelExtraction,0.5185,0.5081,0.5146,0.4989,0.4928,0.4897,0.5004,SELF-REF-FAILED
320,Projection,SelfModelExtraction,0.4741,0.4583,0.4532,0.4402,0.4392,0.4455,0.4361,SELF-REF-FAILED
512,Projection,SelfModelExtraction,0.3446,0.3353,0.3393,0.3347,0.3314,0.3248,0.326,SELF-REF-FAILED
768,Projection,SelfModelExtraction,0.2577,0.2543,0.2498,0.2502,0.2489,0.2473,0.2447,SELF-REF-FAILED
1024,Projection,SelfModelExtraction,0.2117,0.2024,0.2024,0.1962,0.1943,0.1954,0.1956,SELF-REF-FAILED
1536,Projection,SelfModelExtraction,0.1512,0.1458,0.1447,0.142,0.1399,0.1389,0.1415,SELF-REF-FAILED
2048,Projection,SelfModelExtraction,0.1175,0.1127,0.1134,0.1086,0.1073,0.1078,0.1107,SELF-REF-FAILED
3072,Projection,SelfModelExtraction,0.0803,0.077,0.077,0.0765,0.0758,0.0741,0.0755,SELF-REF-FAILED
4096,Projection,SelfModelExtraction,0.0617,0.0604,0.0594,0.0578,0.0573,0.0568,0.0583,SELF-REF-FAILED
6144,Projection,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
8192,Projection,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
12288,Projection,SelfModelExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SELF-REF-FAILED
1,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
2,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
4,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
6,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
8,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
12,Projection,ReflexiveRepresentationFidelity,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SELF-REF-STABLE
