depth,sector,condition,rg_similarity,abstraction_coherence,meta_model_fidelity,cross_model_integration,recursive_abstraction_persistence,predictive_abstraction_gain,higher_order_stabilization_strength,classification
1,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
2,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
4,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
6,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
8,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
12,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
16,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
20,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
24,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,ABSTRACTION-STABLE
32,Projection,MetaModelExtraction,0.96,0.94,0.93,0.92,0.91,0.8944,0.9086,ABSTRACTION-STABLE
40,Projection,MetaModelExtraction,0.9529,0.9283,0.9069,0.8824,0.9086,0.8919,0.9063,ABSTRACTION-STABLE
48,Projection,MetaModelExtraction,0.9262,0.9239,0.9131,0.8757,0.8579,0.89,0.8883,ABSTRACTION-STABLE
64,Projection,MetaModelExtraction,0.9116,0.8589,0.8529,0.8439,0.8522,0.8477,0.8515,ABSTRACTION-BOUNDED
80,Projection,MetaModelExtraction,0.8531,0.8434,0.8266,0.8095,0.7985,0.7936,0.8048,ABSTRACTION-BOUNDED
96,Projection,MetaModelExtraction,0.8418,0.8205,0.791,0.7884,0.7721,0.7756,0.7719,ABSTRACTION-PARTIAL
128,Projection,MetaModelExtraction,0.7852,0.754,0.7434,0.7323,0.7113,0.7201,0.7383,ABSTRACTION-PARTIAL
160,Projection,MetaModelExtraction,0.7158,0.7085,0.7023,0.6682,0.6856,0.6623,0.6848,ABSTRACTION-PARTIAL
192,Projection,MetaModelExtraction,0.677,0.6681,0.6547,0.6482,0.637,0.6251,0.6333,ABSTRACTION-DEGRADING
256,Projection,MetaModelExtraction,0.6087,0.5849,0.5924,0.5607,0.56,0.5659,0.5622,ABSTRACTION-DEGRADING
320,Projection,MetaModelExtraction,0.5541,0.5362,0.5282,0.523,0.5027,0.5183,0.5141,ABSTRACTION-FAILED
512,Projection,MetaModelExtraction,0.4242,0.4137,0.4015,0.3944,0.3967,0.3996,0.4049,ABSTRACTION-FAILED
768,Projection,MetaModelExtraction,0.3265,0.3186,0.309,0.305,0.299,0.3064,0.3075,ABSTRACTION-FAILED
1024,Projection,MetaModelExtraction,0.2639,0.2533,0.2476,0.2425,0.2444,0.2449,0.2433,ABSTRACTION-FAILED
1536,Projection,MetaModelExtraction,0.1869,0.1851,0.1826,0.1804,0.1807,0.1787,0.1778,ABSTRACTION-FAILED
2048,Projection,MetaModelExtraction,0.1469,0.1451,0.1417,0.1406,0.14,0.1405,0.1396,ABSTRACTION-FAILED
3072,Projection,MetaModelExtraction,0.1054,0.0998,0.1017,0.0978,0.0985,0.0974,0.0972,ABSTRACTION-FAILED
