depth,sector,condition,rg_similarity,semantic_coherence,relational_meaning_persistence,semantic_transport_alignment,recursive_semantic_stability,semantic_reproduction_index,abstraction_semantic_gain,classification
1,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
4,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
8,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
12,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
16,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
20,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
24,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
32,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
40,Projection,SemanticRelationExtraction,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
48,Projection,SemanticRelationExtraction,0.96,0.94,0.9272,0.9026,0.8971,0.9,0.92,SEMANTIC-STABLE
64,Projection,SemanticRelationExtraction,0.9349,0.9302,0.9016,0.8904,0.8952,0.8986,0.899,SEMANTIC-STABLE
80,Projection,SemanticRelationExtraction,0.9376,0.8889,0.8717,0.8765,0.8442,0.8451,0.882,SEMANTIC-BOUNDED
96,Projection,SemanticRelationExtraction,0.9073,0.8688,0.8473,0.8361,0.8304,0.8299,0.8466,SEMANTIC-BOUNDED
128,Projection,SemanticRelationExtraction,0.8483,0.831,0.8282,0.8008,0.8008,0.8045,0.8024,SEMANTIC-BOUNDED
160,Projection,SemanticRelationExtraction,0.7979,0.798,0.7702,0.7529,0.7429,0.7511,0.7683,SEMANTIC-PARTIAL
192,Projection,SemanticRelationExtraction,0.7673,0.7599,0.7381,0.7223,0.7087,0.7173,0.7343,SEMANTIC-PARTIAL
256,Projection,SemanticRelationExtraction,0.6956,0.6922,0.6902,0.6749,0.649,0.6616,0.6602,SEMANTIC-DEGRADING
320,Projection,SemanticRelationExtraction,0.6481,0.6414,0.6229,0.612,0.6113,0.604,0.6153,SEMANTIC-DEGRADING
512,Projection,SemanticRelationExtraction,0.5259,0.5028,0.4994,0.4964,0.4861,0.4952,0.4949,SEMANTIC-FAILED
768,Projection,SemanticRelationExtraction,0.4158,0.4113,0.4064,0.4011,0.3903,0.3971,0.4039,SEMANTIC-FAILED
1024,Projection,SemanticRelationExtraction,0.3472,0.3391,0.3369,0.3359,0.3288,0.3325,0.3255,SEMANTIC-FAILED
1536,Projection,SemanticRelationExtraction,0.2583,0.2536,0.2491,0.2489,0.2451,0.2415,0.2442,SEMANTIC-FAILED
2048,Projection,SemanticRelationExtraction,0.2082,0.2052,0.2009,0.1967,0.1918,0.1966,0.1976,SEMANTIC-FAILED
3072,Projection,SemanticRelationExtraction,0.1496,0.1445,0.1449,0.1385,0.1368,0.1391,0.1415,SEMANTIC-FAILED
4096,Projection,SemanticRelationExtraction,0.1165,0.1133,0.1105,0.1106,0.1085,0.1096,0.1088,SEMANTIC-FAILED
6144,Projection,SemanticRelationExtraction,0.0808,0.0777,0.0768,0.0763,0.0744,0.0749,0.0754,SEMANTIC-FAILED
8192,Projection,SemanticRelationExtraction,0.061,0.0596,0.0596,0.0574,0.0565,0.0575,0.0574,SEMANTIC-FAILED
12288,Projection,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
16384,Projection,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
24576,Projection,SemanticRelationExtraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,SEMANTIC-FAILED
1,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
2,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
4,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
6,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
8,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
12,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
16,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
20,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
24,Projection,RelationalMeaningPersistenceAnalysis,0.96,0.94,0.93,0.92,0.91,0.9,0.92,SEMANTIC-STABLE
