depth,sector,condition,rg_similarity,geometric_coherence,relational_metric_stability,topology_persistence,spatial_transport_alignment,locality_geometry_consistency,recursive_spatialization_gain,classification
1,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
2,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
4,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
6,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
8,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
12,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
16,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
20,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
24,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
32,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
40,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
48,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
64,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
80,Projection,EmergentDistanceMetricAnalysis,0.96,0.96,0.94,0.93,0.92,0.91,0.93,GEOMETRY-STABLE
