depth,sector,condition,rg_similarity,causal_coherence,temporal_order_stability,propagation_directionality,causal_chain_persistence,recursive_temporal_alignment,temporal_emergence_gain,classification
1,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
2,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
4,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
6,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
8,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
12,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
16,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
20,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
24,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
32,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
40,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
48,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
64,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
80,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
96,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
128,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
160,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
192,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
256,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
320,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
512,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
768,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
1024,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
1536,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
2048,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
3072,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
4096,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
6144,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
8192,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
12288,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
16384,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
24576,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
32768,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
65536,Projection,CausalOrderingExtraction,0.96,0.96,0.94,0.93,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
131072,Projection,CausalOrderingExtraction,0.96,0.96,0.9376,0.9283,0.92,0.91,0.93,CAUSAL-TEMPORAL-STABLE
262144,Projection,CausalOrderingExtraction,0.9442,0.9314,0.885,0.8997,0.8794,0.8757,0.8908,CAUSAL-TEMPORAL-STABLE
524288,Projection,CausalOrderingExtraction,0.8274,0.8236,0.8059,0.7841,0.7735,0.7882,0.7917,CAUSAL-TEMPORAL-BOUNDED
